|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[174.81982167 140.14338388  54.08692747 109.18188953  50.66940113
  98.10282758 145.69795637 103.112078   185.29217157 112.67957849
  51.29088927 187.84895679  94.33464266 133.87209546 193.72728361
 158.11511928  99.50939898 176.07063411  67.06753453 114.95006826
  54.35817739 144.92152616 193.51415943 167.16107953  62.1399996
 174.83890127  83.6124533   88.55115888 180.24939239  93.25386696
  77.74259982  64.70217748 160.64114888  88.6449635  190.37072957
 148.16549015  74.69602171  58.82059082  93.63545436 159.64631473
 163.2121031  186.39515454 199.27330944  63.69048271 101.67147425
 140.23995894 199.78123328 105.49674    107.87550073 132.23171046
  86.96256111 140.29796839 174.08059082 180.11349768 144.43823347
 195.660135    75.87041223  90.04184815 190.92792105 108.44544485
 195.9409044  118.77060928 108.24922627 174.5224187  192.21569251
 127.01315033  66.50997082  73.43049252 183.61704198 119.25210385
 114.89072089  71.43881062 166.92640627  58.9951836   84.22610608]"|"[ 50.9677687  140.5624451  146.11208698  86.6710752  162.01706671
  97.85672554 176.62785124 198.20715094 158.90596786 151.89886606
 141.08601714  61.10676968 180.15514217 137.01444492 106.80700886
  74.98763903  56.81560436 184.14458237 109.66215931 195.16396506
 122.79950491 176.82025795  78.8960648  130.20405571 123.21187751
 188.96769687 167.27518046 105.40822286 180.58031744 107.54423251
 113.88063668 176.21671022 151.63561689  63.75219666 144.41919236
  91.10275438  55.25951841 186.76296993 158.32643383 155.21000917
  98.21543478 122.52341656  66.12596489 121.62381463  61.32857069
  77.93174166  75.79014471 168.67540186 182.98140542 182.47817766
 162.3187437   84.15948343 151.02850457 150.98020133 183.01946856
  59.60169374 123.90849715  73.11589003 188.18540939  62.3169506
 199.55425499 146.61751829  87.32951889  79.37400578 162.14673106
  82.12739763  73.8963225  198.04842174 194.48612057 137.81941199
  75.70460414 103.98149285  58.9124659   91.49646863 172.85583079]"|[184.37098026  69.28924055]|[12.35794289 11.0247537 ]
1|"[174.69091603 140.14338388  54.08692747 109.18188953  50.66940113
  98.10282758 145.69795637 103.112078   185.29217157 112.67957849
  51.29088927 187.63158251  94.33464266 133.87209546 193.72728361
 158.11511928  99.70143254 176.07063411  67.06753453 114.95006826
  54.55747833 144.92152616 193.51415943 167.16107953  62.1399996
 175.19036995  83.6124533   88.55115888 180.24939239  93.25386696
  77.74259982  64.70217748 159.65409112  89.27834634 190.37072957
 148.16549015  75.16853716  58.82059082  93.63545436 159.64631473
 163.2121031  186.39515454 198.80625865  63.69048271 101.82222035
 140.23995894 199.78123328 105.49674    107.87550073 132.23171046
  86.96256111 140.29796839 174.08059082 180.11349768 144.7127738
 195.32699992  75.87041223  89.62785832 190.92792105 108.4560772
 195.9409044  118.77060928 108.24922627 174.5224187  192.21569251
 127.56320479  66.66327527  73.43049252 183.61704198 119.25210385
 114.89072089  71.43881062 166.94418405  58.9951836   84.22610608]"|"[ 51.95942556 140.5624451  146.11208698  86.6710752  162.01706671
  97.85672554 176.62785124 198.20715094 158.90596786 151.89886606
 141.08601714  62.08285801 180.15514217 137.01444492 106.80700886
  74.98763903  57.79699272 184.14458237 109.66215931 195.16396506
 121.81956658 176.82025795  78.8960648  130.20405571 123.21187751
 189.90389651 167.27518046 105.40822286 180.58031744 107.54423251
 113.88063668 176.21671022 151.47525173  64.52603526 144.41919236
  91.10275438  56.14084079 186.76296993 158.32643383 155.21000917
  98.21543478 122.52341656  67.01019538 121.62381463  62.3171432
  77.93174166  75.79014471 168.67540186 182.98140542 182.47817766
 162.3187437   84.15948343 151.02850457 150.98020133 182.05789298
  60.54457285 123.90849715  74.02617153 188.18540939  63.31689408
 199.55425499 146.61751829  87.32951889  79.37400578 162.14673106
  82.96252642  74.88450151 198.04842174 194.48612057 137.81941199
  75.70460414 103.98149285  59.91230786  91.49646863 172.85583079]"|[185.44390869  68.7874426 ]|[13.40619123 12.4383303 ]
2|"[174.8849141  140.14338388  54.08692747 109.18188953  50.66940113
  98.10282758 145.69795637 102.92766446 185.29217157 112.67957849
  51.29088927 187.24936105  94.33464266 133.87209546 193.72728361
 158.11511928  99.83894222 176.07063411  67.06753453 114.95006826
  54.55747833 145.786145   193.51415943 167.16107953  62.1399996
 175.19036995  83.6124533   88.55115888 180.24939239  93.25386696
  77.74259982  64.70217748 158.92377432  89.82595304 190.37072957
 148.16549015  75.6224459   58.82059082  93.63545436 159.64631473
 163.2121031  186.39515454 198.31955225  63.69048271 102.10091784
 140.23995894 199.0400795  105.49674    107.87550073 132.23171046
  86.96256111 140.29796839 174.08059082 180.11349768 144.7127738
 195.01610891  75.87041223  90.09834691 190.92792105 108.59497906
 195.9409044  118.77060928 107.2996755  174.5224187  192.21569251
 127.56320479  67.05713864  73.43049252 183.61704198 119.25210385
 114.89072089  71.43881062 167.00647004  58.9951836   84.22610608]"|"[ 52.94042747 140.5624451  146.11208698  86.6710752  162.01706671
  97.85672554 176.62785124 197.2243022  158.90596786 151.89886606
 141.08601714  63.00692876 180.15514217 137.01444492 106.80700886
  74.98763903  58.78749314 184.14458237 109.66215931 195.16396506
 121.81956658 176.31782959  78.8960648  130.20405571 123.21187751
 189.90389651 167.27518046 105.40822286 180.58031744 107.54423251
 113.88063668 176.21671022 152.15836034  65.36277112 144.41919236
  91.10275438  57.03188897 186.76296993 158.32643383 155.21000917
  98.21543478 122.52341656  67.88376099 121.62381463  63.27752214
  77.93174166  76.46148001 168.67540186 182.98140542 182.47817766
 162.3187437   84.15948343 151.02850457 150.98020133 182.05789298
  61.49501842 123.90849715  74.9085776  188.18540939  64.30720023
 199.55425499 146.61751829  87.01590554  79.37400578 162.14673106
  82.96252642  75.8036705  198.04842174 194.48612057 137.81941199
  75.70460414 103.98149285  60.9103662   91.49646863 172.85583079]"|[186.50520017  68.29713065]|[14.46621972 13.85593186]
3|"[175.12009661 140.14338388  54.08692747 109.18188953  50.66940113
  98.10282758 145.69795637 102.92766446 185.29217157 112.67957849
  51.29088927 186.98389682  94.33464266 133.87209546 193.72728361
 158.11511928  99.97514201 176.07063411  67.06753453 114.95006826
  54.55747833 145.786145   192.88999931 167.16107953  62.1399996
 175.19036995  83.6124533   88.55115888 180.24939239  93.91875204
  77.74259982  64.70217748 158.92377432  90.4333284  190.37072957
 148.16549015  76.17603351  58.82059082  93.63545436 159.64631473
 163.2121031  185.57051168 197.70325359  63.69048271 102.28543699
 140.23995894 198.3903168  105.49674    107.87550073 132.23171046
  86.28438902 140.29796839 174.08059082 180.11349768 144.7127738
 194.49885685  75.87041223  90.57349664 190.92792105 108.79787876
 195.9409044  118.77060928 107.2996755  174.5224187  192.21569251
 127.56320479  67.56608464  73.43049252 183.61704198 119.25210385
 114.89072089  71.43881062 166.92600951  58.9951836   84.22610608]"|"[ 53.9123787  140.5624451  146.11208698  86.6710752  162.01706671
  97.85672554 176.62785124 197.2243022  158.90596786 151.89886606
 141.08601714  63.97104947 180.15514217 137.01444492 106.80700886
  74.98763903  59.77817453 184.14458237 109.66215931 195.16396506
 121.81956658 176.31782959  79.67736125 130.20405571 123.21187751
 189.90389651 167.27518046 105.40822286 180.58031744 108.29117817
 113.88063668 176.21671022 152.15836034  66.15718611 144.41919236
  91.10275438  57.86467991 186.76296993 158.32643383 155.21000917
  98.21543478 123.0890703   68.67127351 121.62381463  64.26035106
  77.93174166  77.22161712 168.67540186 182.98140542 182.47817766
 163.05364683  84.15948343 151.02850457 150.98020133 182.05789298
  62.35085153 123.90849715  75.78848256 188.18540939  65.28639975
 199.55425499 146.61751829  87.01590554  79.37400578 162.14673106
  82.96252642  76.66446895 198.04842174 194.48612057 137.81941199
  75.70460414 103.98149285  61.907124    91.49646863 172.85583079]"|[187.55485857  67.81879645]|[15.53776871 15.27761973]
4|"[175.34130948 140.14338388  54.08692747 109.18188953  50.66940113
  98.10282758 145.69795637 102.92766446 185.29217157 112.67957849
  51.29088927 186.63711165  94.33464266 133.87209546 193.72728361
 157.7226124  100.1144351  176.07063411  67.06753453 114.95006826
  54.55747833 145.786145   192.04497827 167.16107953  62.1399996
 175.19036995  83.6124533   88.55115888 180.24939239  93.91875204
  77.74259982  64.70217748 158.92377432  91.00889913 190.37072957
 148.16549015  76.54281617  58.82059082  93.63545436 159.64631473
 163.2121031  185.57051168 197.06868396  63.69048271 102.52163199
 140.23995894 197.54376526 105.49674    107.87550073 132.23171046
  86.28438902 140.29796839 174.08059082 180.11349768 144.7127738
 194.06647882  75.87041223  91.07430566 190.92792105 109.18277618
 195.9409044  118.77060928 107.2996755  174.5224187  192.21569251
 127.56320479  67.95840185  73.43049252 183.61704198 119.25210385
 114.89072089  71.43881062 166.98123557  58.9951836   84.22610608]"|"[ 54.88760425 140.5624451  146.11208698  86.6710752  162.01706671
  97.85672554 176.62785124 197.2243022  158.90596786 151.89886606
 141.08601714  64.90899406 180.15514217 137.01444492 106.80700886
  74.06788997  60.76842573 184.14458237 109.66215931 195.16396506
 121.81956658 176.31782959  80.21209432 130.20405571 123.21187751
 189.90389651 167.27518046 105.40822286 180.58031744 108.29117817
 113.88063668 176.21671022 152.15836034  66.9749381  144.41919236
  91.10275438  58.79498657 186.76296993 158.32643383 155.21000917
  98.21543478 123.0890703   69.4441392  121.62381463  65.23205674
  77.93174166  77.75392388 168.67540186 182.98140542 182.47817766
 163.05364683  84.15948343 151.02850457 150.98020133 182.05789298
  63.25254396 123.90849715  76.65404038 188.18540939  66.20935911
 199.55425499 146.61751829  87.01590554  79.37400578 162.14673106
  82.96252642  77.58429894 198.04842174 194.48612057 137.81941199
  75.70460414 103.98149285  62.90559788  91.49646863 172.85583079]"|[188.59289247  67.35288821]|[16.62058246 16.7034281 ]
5|"[175.31700859 140.14338388  54.08692747 109.18188953  50.66940113
  98.10282758 145.69795637 102.92766446 185.29217157 112.67957849
  51.29088927 186.27155596  94.33464266 133.87209546 193.72728361
 157.7226124  100.46802655 176.07063411  66.16205561 114.95006826
  54.55747833 145.786145   191.22086246 167.16107953  62.1399996
 175.19036995  83.6124533   89.23687594 180.24939239  93.91875204
  77.74259982  64.70217748 158.92377432  91.53992801 190.37072957
 148.16549015  77.03157817  58.82059082  93.63545436 159.64631473
 163.2121031  185.57051168 196.61066612  63.69048271 102.90546805
 140.23995894 196.68526165 105.49674    107.87550073 132.23171046
  86.28438902 140.29796839 174.08059082 180.11349768 144.7127738
 193.70542923  75.87041223  91.54460106 190.92792105 109.61045595
 195.9409044  118.77060928 107.2996755  173.54545325 192.21569251
 127.56320479  68.36746342  73.43049252 183.61704198 119.25210385
 114.89072089  71.43881062 166.85264825  58.9951836   84.22610608]"|"[ 55.88730894 140.5624451  146.11208698  86.6710752  162.01706671
  97.85672554 176.62785124 197.2243022  158.90596786 151.89886606
 141.08601714  65.83978353 180.15514217 137.01444492 106.80700886
  74.06788997  61.70382569 184.14458237 109.23776806 195.16396506
 121.81956658 176.31782959  80.77851564 130.20405571 123.21187751
 189.90389651 167.27518046 104.68035467 180.58031744 108.29117817
 113.88063668 176.21671022 152.15836034  67.82229183 144.41919236
  91.10275438  59.66740374 186.76296993 158.32643383 155.21000917
  98.21543478 123.0890703   70.3330822  121.62381463  66.15545799
  77.93174166  78.2667314  168.67540186 182.98140542 182.47817766
 163.05364683  84.15948343 151.02850457 150.98020133 182.05789298
  64.18509057 123.90849715  77.53654943 188.18540939  67.11328943
 199.55425499 146.61751829  87.01590554  79.58740334 162.14673106
  82.96252642  78.49680572 198.04842174 194.48612057 137.81941199
  75.70460414 103.98149285  63.89729607  91.49646863 172.85583079]"|[189.61931472  66.89981315]|[17.7144094  18.13336621]
6|"[175.47469296 140.14338388  54.08692747 109.18188953  50.66940113
  98.10282758 145.69795637 102.92766446 185.29217157 112.67957849
  51.29088927 185.83702172  94.33464266 133.87209546 193.72728361
 158.37244582 100.67358096 176.07063411  66.16205561 114.95006826
  54.55747833 145.786145   190.45127628 167.16107953  62.1399996
 175.19036995  83.6124533   89.23687594 180.24939239  93.91875204
  77.74259982  64.70217748 158.92377432  91.96317925 190.37072957
 148.55891548  77.40102303  58.82059082  93.63545436 159.64631473
 163.2121031  185.57051168 196.02885749  63.69048271 103.3163469
 140.23995894 195.81543743 105.49674    107.87550073 132.23171046
  86.28438902 140.29796839 174.08059082 180.11349768 144.7127738
 193.13780671  75.87041223  91.97866398 190.92792105 109.93732184
 195.9409044  118.77060928 107.2996755  172.57502529 192.21569251
 127.56320479  68.76645667  73.43049252 184.53470997 119.26953302
 114.89072089  71.43881062 166.89191609  58.9951836   84.22610608]"|"[ 56.8747985  140.5624451  146.11208698  86.6710752  162.01706671
  97.85672554 176.62785124 197.2243022  158.90596786 151.89886606
 141.08601714  66.74043884 180.15514217 137.01444492 106.80700886
  74.82796662  62.68247138 184.14458237 109.23776806 195.16396506
 121.81956658 176.31782959  81.41705861 130.20405571 123.21187751
 189.90389651 167.27518046 104.68035467 180.58031744 108.29117817
 113.88063668 176.21671022 152.15836034  68.72830418 144.41919236
  90.18339781  60.59665639 186.76296993 158.32643383 155.21000917
  98.21543478 123.0890703   71.14640792 121.62381463  67.06714794
  77.93174166  78.76009315 168.67540186 182.98140542 182.47817766
 163.05364683  84.15948343 151.02850457 150.98020133 182.05789298
  65.00837951 123.90849715  78.43743199 188.18540939  68.05836016
 199.55425499 146.61751829  87.01590554  79.34601241 162.14673106
  82.96252642  79.41375958 198.04842174 194.88346861 136.81956389
  75.70460414 103.98149285  64.89652479  91.49646863 172.85583079]"|[190.63414192  66.45993996]|[18.81900242 19.56742046]
7|"[175.42188641 140.14338388  54.08692747 109.18188953  50.66940113
  97.43129677 145.69795637 102.92766446 185.29217157 112.67957849
  51.29088927 185.54173865  94.33464266 133.87209546 193.72728361
 158.99787103 101.00875751 176.07063411  66.16205561 114.95006826
  55.31626315 145.786145   189.68859476 167.16107953  62.1399996
 175.19036995  83.6124533   89.23687594 180.24939239  93.91875204
  77.74259982  64.70217748 158.92377432  92.5181997  190.37072957
 148.55891548  77.76300332  59.63842472  93.63545436 160.63919404
 163.2121031  185.57051168 195.52780853  63.69048271 103.76038147
 140.23995894 194.94036369 105.49674    107.1331382  132.23171046
  86.28438902 140.29796839 174.08059082 180.11349768 144.7127738
 192.52862465  75.87041223  92.43202527 190.92792105 109.93732184
 195.9409044  118.77060928 107.2996755  171.61798207 192.21569251
 127.56320479  69.35475895  73.16420006 184.53470997 119.26953302
 114.89072089  71.43881062 166.91106191  58.9951836   84.22610608]"|"[ 57.87340326 140.5624451  146.11208698  86.6710752  162.01706671
  97.11574891 176.62785124 197.2243022  158.90596786 151.89886606
 141.08601714  67.69584865 180.15514217 137.01444492 106.80700886
  75.60825074  63.62462672 184.14458237 109.23776806 195.16396506
 122.47090796 176.31782959  82.06383283 130.20405571 123.21187751
 189.90389651 167.27518046 104.68035467 180.58031744 108.29117817
 113.88063668 176.21671022 152.15836034  69.56014089 144.41919236
  90.18339781  61.52884214 187.33842428 158.32643383 155.32913379
  98.21543478 123.0890703   72.01182686 121.62381463  67.9631576
  77.93174166  79.24408278 168.67540186 183.65140384 182.47817766
 163.05364683  84.15948343 151.02850457 150.98020133 182.05789298
  65.80140991 123.90849715  79.32875883 188.18540939  68.05836016
 199.55425499 146.61751829  87.01590554  79.6359577  162.14673106
  82.96252642  80.22240068 199.01231402 194.88346861 136.81956389
  75.70460414 103.98149285  65.89634149  91.49646863 172.85583079]"|[191.63739401  66.03360114]|[19.93411912 21.00555648]
8|"[175.43932702 140.14338388  54.08692747 109.18188953  50.66940113
  97.43129677 145.69795637 102.92766446 185.29217157 112.67957849
  51.29088927 185.32954092  94.33464266 133.87209546 193.72728361
 159.37003738 101.26596171 176.07063411  66.16205561 114.95006826
  55.31626315 145.786145   188.75630032 167.16107953  62.1399996
 175.19036995  83.6124533   89.23687594 180.24939239  93.91875204
  77.74259982  64.70217748 158.92377432  93.01447288 190.37072957
 148.55891548  78.28967763  59.63842472  93.63545436 160.63919404
 163.2121031  185.57051168 194.94362874  63.04007863 104.25147899
 140.23995894 194.25555367 105.49674    107.1331382  132.23171046
  86.28438902 141.05029519 174.08059082 180.11349768 144.7127738
 191.88155435  75.87041223  92.74508602 191.66340835 110.28739838
 195.9409044  118.77060928 107.2996755  171.32010697 192.21569251
 127.56320479  70.02476716  73.16420006 184.53470997 119.26953302
 114.89072089  71.43881062 166.95925121  58.9951836   84.22610608]"|"[ 58.87325116 140.5624451  146.11208698  86.6710752  162.01706671
  97.11574891 176.62785124 197.2243022  158.90596786 151.89886606
 141.08601714  68.6730754  180.15514217 137.01444492 106.80700886
  76.53641679  64.5909838  184.14458237 109.23776806 195.16396506
 122.47090796 176.31782959  82.42553308 130.20405571 123.21187751
 189.90389651 167.27518046 104.68035467 180.58031744 108.29117817
 113.88063668 176.21671022 152.15836034  70.42830731 144.41919236
  90.18339781  62.3789093  187.33842428 158.32643383 155.32913379
  98.21543478 123.0890703   72.82345114 122.38340303  68.8342622
  77.93174166  79.97280442 168.67540186 183.65140384 182.47817766
 163.05364683  83.50069334 151.02850457 150.98020133 182.05789298
  66.56384026 123.90849715  80.27849194 187.50787088  68.99508126
 199.55425499 146.61751829  87.01590554  80.59056255 162.14673106
  82.96252642  80.96475438 199.01231402 194.88346861 136.81956389
  75.70460414 103.98149285  66.89517971  91.49646863 172.85583079]"|[192.62909386  65.62109521]|[21.05952189 22.44772112]
9|"[175.51945993 140.14338388  54.08692747 109.18188953  50.66940113
  97.43129677 145.69795637 102.92766446 185.29217157 112.67957849
  51.29088927 184.96710799  94.33464266 133.87209546 193.72728361
 159.79322971 101.67107151 176.07063411  66.16205561 114.95006826
  55.31626315 145.786145   187.7925914  167.16107953  62.1399996
 175.19036995  83.6124533   89.23687594 180.24939239  93.91875204
  78.47829911  63.87979525 158.92377432  93.54309887 190.37072957
 148.55891548  78.85204426  59.63842472  93.63545436 160.63919404
 163.2121031  185.57051168 194.42164949  63.04007863 104.62692921
 140.23995894 193.56000836 105.49674    107.1331382  132.23171046
  86.28438902 141.05029519 174.08059082 180.11349768 144.7127738
 191.32284253  75.87041223  92.98636117 191.66340835 110.70975451
 195.9409044  118.77060928 107.2996755  172.0274962  192.21569251
 127.56320479  70.56432475  73.16420006 185.47405049 119.26953302
 114.89072089  71.43881062 166.84559393  58.9951836   84.22610608]"|"[ 59.87003535 140.5624451  146.11208698  86.6710752  162.01706671
  97.11574891 176.62785124 197.2243022  158.90596786 151.89886606
 141.08601714  69.60508526 180.15514217 137.01444492 106.80700886
  77.44245666  65.50525184 184.14458237 109.23776806 195.16396506
 122.47090796 176.31782959  82.69248837 130.20405571 123.21187751
 189.90389651 167.27518046 104.68035467 180.58031744 108.29117817
 113.20332837 175.64777484 152.15836034  71.27716216 144.41919236
  90.18339781  63.2057973  187.33842428 158.32643383 155.32913379
  98.21543478 123.0890703   73.67640932 122.38340303  69.76110476
  77.93174166  80.69128666 168.67540186 183.65140384 182.47817766
 163.05364683  83.50069334 151.02850457 150.98020133 182.05789298
  67.39320212 123.90849715  81.24894868 187.50787088  69.90151123
 199.55425499 146.61751829  87.01590554  81.29738678 162.14673106
  82.96252642  81.80670307 199.01231402 195.2264546  136.81956389
  75.70460414 103.98149285  67.88869973  91.49646863 172.85583079]"|[193.60926688  65.2226888 ]|[22.19497813 23.89384433]
