|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[194.36002328  93.87143276  76.80521418  63.92440807  55.48257747
 180.34574911  83.93363156 164.24805113  66.40858668 137.30339394
 175.97973521 107.09558703 182.86433679  54.92843    106.66296153
  90.26087729  60.25328571 124.88234315  85.35108417 120.73986628
  96.58873209 184.64759371 103.18411383  82.66930275 181.89698839
 105.2109095   97.07729222 169.42609845 183.85004166  94.371506
 186.94348369 182.15192263 103.64073703  76.85180958  95.83203911
  66.76715817  83.96049748 182.70377146 104.75715437 195.1586795
  61.88860599 169.43988453 139.96176995  94.78013086 128.81417131
 163.90635457  85.73798381  54.23088179  92.1784488  172.51368771
 143.61572032 193.10655971 115.1412425   99.64641266  69.97794532
 142.42121933 162.37882102 113.52056201 189.31867724 115.69082717
  82.12373464  60.0721746   75.58596315  79.96152406 146.49634196
  78.1586202   97.3463172  141.01898631  63.39346159 163.91346441
 172.83736663  93.25828381 173.76957805  50.09826313  67.12285827]"|"[ 90.63475253  94.41599693 171.03808953 116.47748708 149.23391697
  91.88218835  57.66921852 185.30941969  99.33915013 115.17565373
 112.82197944 181.96821594 133.36345936  80.26166568 127.40684149
 186.51959148 102.0432454   68.09763541  76.30308973 147.55568408
 119.90408023 158.93804781  83.42901307  54.15637869 116.02943096
 186.38911066 114.00512939 168.73921698 148.58052698 113.93465166
 110.75813766 163.80492382 183.44616297 176.83100552 155.7537492
 181.03641184 120.44675827  71.74127804  58.64471151 114.02116828
  94.27572122 157.59136623 190.76732484  60.16094195 112.73462125
 184.21346993 148.76551917 102.74471733  97.66131364 178.99221455
  81.48941524  72.81145643 119.29913949 157.72401357 126.86704138
 117.94913459 138.84031889 167.61840841  55.57801668 173.65714442
 197.24900356 142.06075333 149.27303484 108.23040299  90.75147357
 101.50441118 141.79223096 194.0845651  146.00352721 148.96491275
  97.34678234  80.3786999  147.30707669  86.62459631 163.32346161]"|[120.35463097 139.70810938]|[12.297035   11.76050108]
1|"[194.36002328  93.87143276  76.80521418  63.92440807  55.48257747
 180.34574911  83.61058267 164.24805113  66.40858668 137.30339394
 175.97973521 107.09558703 182.86433679  54.92843    106.66296153
  90.26087729  60.25328571 124.32255072  85.35108417 120.73986628
  96.58873209 184.64759371 103.18411383  82.63591129 181.89698839
 104.90889678  97.5163559  169.42609845 183.85004166  94.371506
 186.94348369 182.15192263 103.64073703  76.85180958  95.83203911
  66.76715817  83.96049748 182.70377146 104.24654713 195.1586795
  61.88860599 169.43988453 139.96176995  94.76711531 128.81417131
 163.21238142  85.73798381  54.23088179  92.1784488  172.51368771
 143.61572032 193.10655971 115.1412425   99.64641266  69.97794532
 142.42121933 162.37882102 113.52056201 189.31867724 115.69082717
  82.12373464  60.0721746   75.58596315  79.96152406 146.49634196
  78.1586202   97.3463172  141.01898631  63.39346159 163.91346441
 172.83736663  94.24731518 173.76957805  50.09826313  67.12285827]"|"[ 90.63475253  94.41599693 171.03808953 116.47748708 149.23391697
  91.88218835  58.61560079 185.30941969  99.33915013 115.17565373
 112.82197944 181.96821594 133.36345936  80.26166568 127.40684149
 186.51959148 102.0432454   68.92626828  76.30308973 147.55568408
 119.90408023 158.93804781  83.42901307  55.15582104 116.02943096
 185.43580676 113.10667344 168.73921698 148.58052698 113.93465166
 110.75813766 163.80492382 183.44616297 176.83100552 155.7537492
 181.03641184 120.44675827  71.74127804  59.50452559 114.02116828
  94.27572122 157.59136623 190.76732484  61.16085725 112.73462125
 183.49346905 148.76551917 102.74471733  97.66131364 178.99221455
  81.48941524  72.81145643 119.29913949 157.72401357 126.86704138
 117.94913459 138.84031889 167.61840841  55.57801668 173.65714442
 197.24900356 142.06075333 149.27303484 108.23040299  90.75147357
 101.50441118 141.79223096 194.0845651  146.00352721 148.96491275
  97.34678234  80.5264055  147.30707669  86.62459631 163.32346161]"|[118.89783782 141.2075333 ]|[12.6544615  11.71893275]
2|"[194.36002328  93.87143276  76.80521418  63.92440807  55.48257747
 180.34574911  83.5037649  164.24805113  66.40858668 137.30339394
 175.97973521 107.09558703 182.86433679  54.92843    106.66296153
  90.26087729  60.25328571 123.68573078  85.35108417 120.73986628
  96.58873209 184.64759371 103.18411383  82.40548095 181.30183356
 104.90889678  97.5163559  169.42609845 183.85004166  94.371506
 186.94348369 182.15192263 103.64073703  76.85180958  95.83203911
  66.76715817  83.96049748 182.70377146 103.81911469 194.55262042
  61.88860599 169.43988453 139.96176995  94.51231339 128.81417131
 163.21238142  85.73798381  54.23088179  92.1784488  172.51368771
 143.61572032 193.10655971 115.1412425   99.64641266  69.97794532
 142.42121933 162.37882102 113.52056201 189.31867724 115.69082717
  82.12373464  60.62973191  75.58596315  79.96152406 146.49634196
  78.1586202   97.3463172  141.01898631  63.39346159 163.91346441
 172.83736663  94.24731518 173.76957805  49.40654655  67.12285827]"|"[ 90.63475253  94.41599693 171.03808953 116.47748708 149.23391697
  91.88218835  59.60987941 185.30941969  99.33915013 115.17565373
 112.82197944 181.96821594 133.36345936  80.26166568 127.40684149
 186.51959148 102.0432454   69.69728084  76.30308973 147.55568408
 119.90408023 158.93804781  83.42901307  56.12890986 115.2258199
 185.43580676 113.10667344 168.73921698 148.58052698 113.93465166
 110.75813766 163.80492382 183.44616297 176.83100552 155.7537492
 181.03641184 120.44675827  71.74127804  60.40857289 114.81658791
  94.27572122 157.59136623 190.76732484  62.12785051 112.73462125
 183.49346905 148.76551917 102.74471733  97.66131364 178.99221455
  81.48941524  72.81145643 119.29913949 157.72401357 126.86704138
 117.94913459 138.84031889 167.61840841  55.57801668 173.65714442
 197.24900356 142.89089178 149.27303484 108.23040299  90.75147357
 101.50441118 141.79223096 194.0845651  146.00352721 148.96491275
  97.34678234  80.5264055  147.30707669  85.90242724 163.32346161]"|[117.45963661 142.70621621]|[13.08058037 11.65608738]
3|"[194.36002328  93.87143276  76.80521418  63.92440807  55.48257747
 180.24854699  83.43561962 164.24805113  66.40858668 137.30339394
 175.97973521 107.09558703 182.86433679  54.92843    106.66296153
  90.26087729  60.25328571 123.13081194  85.35108417 120.73986628
  96.58873209 184.64759371 103.18411383  82.21230442 181.30183356
 104.90889678  97.5163559  169.42609845 183.85004166  94.371506
 186.94348369 182.15192263 104.59305953  76.85180958  95.83203911
  66.76715817  83.96049748 182.70377146 103.28604033 194.55262042
  61.88860599 169.43988453 139.96176995  94.42437656 128.81417131
 162.57496917  85.73798381  54.23088179  92.1784488  172.51368771
 143.61572032 193.10655971 115.1412425   99.64641266  69.97794532
 142.42121933 163.24884878 113.52056201 189.55300075 115.69082717
  82.12373464  60.62973191  75.58596315  79.96152406 146.49634196
  78.1586202   97.3463172  141.01898631  63.39346159 163.91346441
 172.83736663  94.24731518 173.76957805  49.40654655  67.12285827]"|"[ 90.63475253  94.41599693 171.03808953 116.47748708 149.23391697
  90.88692369  60.60755482 185.30941969  99.33915013 115.17565373
 112.82197944 181.96821594 133.36345936  80.26166568 127.40684149
 186.51959148 102.0432454   70.52918533  76.30308973 147.55568408
 119.90408023 158.93804781  83.42901307  57.11007388 115.2258199
 185.43580676 113.10667344 168.73921698 148.58052698 113.93465166
 110.75813766 163.80492382 183.75125615 176.83100552 155.7537492
 181.03641184 120.44675827  71.74127804  61.25464128 114.81658791
  94.27572122 157.59136623 190.76732484  63.12397657 112.73462125
 182.7229461  148.76551917 102.74471733  97.66131364 178.99221455
  81.48941524  72.81145643 119.29913949 157.72401357 126.86704138
 117.94913459 139.33332162 167.61840841  56.55017536 173.65714442
 197.24900356 142.89089178 149.27303484 108.23040299  90.75147357
 101.50441118 141.79223096 194.0845651  146.00352721 148.96491275
  97.34678234  80.5264055  147.30707669  85.90242724 163.32346161]"|[116.04357932 144.20383421]|[13.57533458 11.57158697]
4|"[194.36002328  93.87143276  76.80521418  63.92440807  55.48257747
 180.24854699  83.32501588 165.14328896  66.40858668 137.30339394
 175.97973521 107.09558703 182.86433679  54.92843    106.66296153
  90.26087729  60.25328571 122.55362537  85.35108417 120.73986628
  96.58873209 184.64759371 103.18411383  81.97960532 181.30183356
 104.90889678  97.5163559  169.42609845 183.85004166  94.371506
 186.94348369 182.15192263 104.59305953  76.85180958  95.83203911
  66.76715817  83.96049748 182.70377146 102.68626994 194.55262042
  61.88860599 169.43988453 139.96176995  94.39533824 129.00716841
 163.54748376  85.73798381  54.23088179  92.1784488  172.51368771
 143.61572032 193.10655971 115.1412425   99.64641266  69.97794532
 142.42121933 163.24884878 113.97677855 189.77950424 115.69082717
  82.12373464  60.62973191  75.58596315  79.96152406 146.49634196
  78.1586202   97.3463172  141.01898631  63.39346159 163.91346441
 172.83736663  94.24731518 173.76957805  49.40654655  67.12285827]"|"[ 90.63475253  94.41599693 171.03808953 116.47748708 149.23391697
  90.88692369  61.6014194  184.86383106  99.33915013 115.17565373
 112.82197944 181.96821594 133.36345936  80.26166568 127.40684149
 186.51959148 102.0432454   71.34579764  76.30308973 147.55568408
 119.90408023 158.93804781  83.42901307  58.08262266 115.2258199
 185.43580676 113.10667344 168.73921698 148.58052698 113.93465166
 110.75813766 163.80492382 183.75125615 176.83100552 155.7537492
 181.03641184 120.44675827  71.74127804  62.05481344 114.81658791
  94.27572122 157.59136623 190.76732484  64.12355487 111.75342193
 182.95578804 148.76551917 102.74471733  97.66131364 178.99221455
  81.48941524  72.81145643 119.29913949 157.72401357 126.86704138
 117.94913459 139.33332162 166.72853961  57.52418571 173.65714442
 197.24900356 142.89089178 149.27303484 108.23040299  90.75147357
 101.50441118 141.79223096 194.0845651  146.00352721 148.96491275
  97.34678234  80.5264055  147.30707669  85.90242724 163.32346161]"|[114.65170202 145.70005127]|[14.13451041 11.4651234 ]
5|"[194.36002328  93.87143276  76.80521418  63.92440807  55.48257747
 180.24854699  83.23884956 165.23004021  66.40858668 137.30339394
 175.97973521 107.09558703 182.86433679  54.92843    106.66296153
  90.26087729  60.25328571 122.06739167  85.35108417 120.73986628
  96.58873209 184.64759371 103.18411383  81.97134578 181.30183356
 104.90889678  97.5163559  169.42609845 183.85004166  94.371506
 186.94348369 182.15192263 104.59305953  76.85180958  95.83203911
  66.76715817  83.96049748 182.70377146 102.28152236 194.55262042
  61.88860599 169.43988453 139.96176995  94.2992845  129.00716841
 163.54748376  85.73798381  54.23088179  92.1784488  172.51368771
 143.61572032 193.10655971 115.1412425   99.64641266  69.97794532
 141.64987094 163.24884878 113.97677855 189.96582608 115.69082717
  82.12373464  60.62973191  75.58596315  79.96152406 146.49634196
  78.1586202   97.3463172  141.01898631  63.39346159 163.91346441
 172.83736663  94.24731518 173.76957805  49.40654655  67.12285827]"|"[ 90.63475253  94.41599693 171.03808953 116.47748708 149.23391697
  90.88692369  62.59770017 185.86006106  99.33915013 115.17565373
 112.82197944 181.96821594 133.36345936  80.26166568 127.40684149
 186.51959148 102.0432454   72.21962645  76.30308973 147.55568408
 119.90408023 158.93804781  83.42901307  59.08258855 115.2258199
 185.43580676 113.10667344 168.73921698 148.58052698 113.93465166
 110.75813766 163.80492382 183.75125615 176.83100552 155.7537492
 181.03641184 120.44675827  71.74127804  62.96924189 114.81658791
  94.27572122 157.59136623 190.76732484  65.11893102 111.75342193
 182.95578804 148.76551917 102.74471733  97.66131364 178.99221455
  81.48941524  72.81145643 119.29913949 157.72401357 126.86704138
 118.5855477  139.33332162 166.72853961  58.50667448 173.65714442
 197.24900356 142.89089178 149.27303484 108.23040299  90.75147357
 101.50441118 141.79223096 194.0845651  146.00352721 148.96491275
  97.34678234  80.5264055  147.30707669  85.90242724 163.32346161]"|[113.28571881 147.19453802]|[14.75426025 11.33663465]
6|"[194.36002328  93.87143276  76.80521418  63.92440807  55.48257747
 180.24854699  82.9395209  165.23004021  67.31202712 136.91689018
 175.97973521 107.09558703 182.86433679  54.92843    106.66296153
  90.26087729  60.25328571 121.63386455  85.35108417 120.73986628
  96.58873209 184.64759371 103.18411383  82.00583967 181.30183356
 104.90889678  97.5163559  169.42609845 183.85004166  94.371506
 186.94348369 182.15192263 104.59305953  76.85180958  95.83203911
  66.76715817  83.96049748 182.70377146 101.85980519 194.55262042
  61.88860599 169.43988453 139.21352646  94.04184359 129.00716841
 163.54748376  85.73798381  54.23088179  92.1784488  172.51368771
 143.61572032 193.10655971 115.1412425  100.49533008  69.97794532
 141.64987094 163.24884878 113.97677855 190.13939898 115.69082717
  82.12373464  60.62973191  75.92072284  79.96152406 146.49634196
  78.1586202   97.3463172  141.01898631  63.39346159 163.91346441
 172.83736663  94.24731518 173.76957805  49.40654655  67.12285827]"|"[ 90.63475253  94.41599693 171.03808953 116.47748708 149.23391697
  90.88692369  63.55185024 185.86006106  98.9104365  116.09794156
 112.82197944 181.96821594 133.36345936  80.26166568 127.40684149
 186.51959148 102.0432454   73.12076697  76.30308973 147.55568408
 119.90408023 158.93804781  83.42901307  60.08199345 115.2258199
 185.43580676 113.10667344 168.73921698 148.58052698 113.93465166
 110.75813766 163.80492382 183.75125615 176.83100552 155.7537492
 181.03641184 120.44675827  71.74127804  63.87596932 114.81658791
  94.27572122 157.59136623 190.10390063  66.08522506 111.75342193
 182.95578804 148.76551917 102.74471733  97.66131364 178.99221455
  81.48941524  72.81145643 119.29913949 157.19548806 126.86704138
 118.5855477  139.33332162 166.72853961  59.4914955  173.65714442
 197.24900356 142.89089178 150.21533837 108.23040299  90.75147357
 101.50441118 141.79223096 194.0845651  146.00352721 148.96491275
  97.34678234  80.5264055  147.30707669  85.90242724 163.32346161]"|[111.94926061 148.68697681]|[15.43534723 11.18621369]
7|"[194.36002328  93.87143276  76.80521418  63.92440807  55.48257747
 180.24854699  82.64851725 165.23004021  67.31202712 136.91689018
 175.97973521 107.14603738 182.86433679  54.92843    106.66296153
  90.26087729  60.25328571 121.13689463  85.35108417 120.73986628
  96.58873209 184.64759371 103.18411383  82.00065273 181.30183356
 104.90889678  97.5163559  169.42609845 183.85004166  94.371506
 186.94348369 182.15192263 104.59305953  76.85180958  95.83203911
  66.76715817  83.96049748 182.70377146 101.43583998 194.55262042
  61.88860599 169.43988453 139.21352646  93.82980215 129.00716841
 163.54748376  84.78497251  54.23088179  92.1784488  172.51368771
 143.61572032 193.10655971 115.1412425  100.49533008  69.97794532
 141.64987094 163.24884878 113.97677855 190.47132433 115.69082717
  82.12373464  60.62973191  75.92072284  79.96152406 146.49634196
  78.1586202   97.3463172  141.01898631  63.39346159 163.91346441
 172.83736663  94.24731518 173.76957805  49.40654655  67.12285827]"|"[ 90.63475253  94.41599693 171.03808953 116.47748708 149.23391697
  90.88692369  64.50857218 185.86006106  98.9104365  116.09794156
 112.82197944 182.96694251 133.36345936  80.26166568 127.40684149
 186.51959148 102.0432454   73.98853473  76.30308973 147.55568408
 119.90408023 158.93804781  83.42901307  61.08198    115.2258199
 185.43580676 113.10667344 168.73921698 148.58052698 113.93465166
 110.75813766 163.80492382 183.75125615 176.83100552 155.7537492
 181.03641184 120.44675827  71.74127804  64.7816478  114.81658791
  94.27572122 157.59136623 190.10390063  67.06248573 111.75342193
 182.95578804 149.06845391 102.74471733  97.66131364 178.99221455
  81.48941524  72.81145643 119.29913949 157.19548806 126.86704138
 118.5855477  139.33332162 166.72853961  60.43480115 173.65714442
 197.24900356 142.89089178 150.21533837 108.23040299  90.75147357
 101.50441118 141.79223096 194.0845651  146.00352721 148.96491275
  97.34678234  80.5264055  147.30707669  85.90242724 163.32346161]"|[110.64373505 150.17704321]|[16.17399667 11.01387061]
8|"[194.36002328  93.87143276  76.80521418  63.92440807  55.48257747
 180.24854699  82.30481927 165.23004021  67.31202712 136.91689018
 175.97973521 107.14603738 182.86433679  54.92843    106.66296153
  90.26087729  60.25328571 120.58456901  85.35108417 120.73986628
  96.58873209 184.64759371 103.18411383  81.74783876 181.30183356
 104.90889678  97.5163559  169.42609845 183.85004166  94.371506
 186.94348369 182.15192263 104.59305953  76.85180958  95.83203911
  67.39869782  83.96049748 182.70377146 101.16741627 194.55262042
  61.88860599 170.07723172 139.21352646  93.59638205 129.00716841
 163.54748376  84.78497251  54.23088179  92.1784488  172.51368771
 143.61572032 193.10655971 115.1412425  100.49533008  69.97794532
 141.64987094 163.24884878 113.97677855 190.71410281 115.69082717
  82.12373464  60.62973191  75.92072284  79.96152406 146.49634196
  78.1586202   97.3463172  142.0044711   63.39346159 163.91346441
 172.83736663  94.24731518 173.76957805  48.41274539  67.12285827]"|"[ 90.63475253  94.41599693 171.03808953 116.47748708 149.23391697
  90.88692369  65.44765242 185.86006106  98.9104365  116.09794156
 112.82197944 182.96694251 133.36345936  80.26166568 127.40684149
 186.51959148 102.0432454   74.82216319  76.30308973 147.55568408
 119.90408023 158.93804781  83.42901307  62.04949491 115.2258199
 185.43580676 113.10667344 168.73921698 148.58052698 113.93465166
 110.75813766 163.80492382 183.75125615 176.83100552 155.7537492
 180.26106826 120.44675827  71.74127804  65.74494874 114.81658791
  94.27572122 158.361943   190.10390063  68.03486172 111.75342193
 182.95578804 149.06845391 102.74471733  97.66131364 178.99221455
  81.48941524  72.81145643 119.29913949 157.19548806 126.86704138
 118.5855477  139.33332162 166.72853961  61.40488291 173.65714442
 197.24900356 142.89089178 150.21533837 108.23040299  90.75147357
 101.50441118 141.79223096 194.25432884 146.00352721 148.96491275
  97.34678234  80.5264055  147.30707669  86.01359941 163.32346161]"|[109.37020791 151.66442641]|[16.96654234 10.81972838]
9|"[194.36002328  93.87143276  76.80521418  63.92440807  55.48257747
 180.24854699  82.00867985 165.23004021  67.31202712 136.91689018
 175.97973521 107.14603738 182.86433679  54.92843    107.14131337
  90.26087729  59.95505057 120.25127994  85.04349431 120.73986628
  96.58873209 184.64759371 103.18411383  81.53645391 181.30183356
 104.90889678  96.70923791 169.42609845 183.85004166  94.371506
 186.94348369 182.15192263 104.59305953  76.85180958  95.83203911
  67.39869782  83.96049748 182.70377146 100.8463053  194.55262042
  61.88860599 170.07723172 139.21352646  93.30791839 129.00716841
 163.54748376  84.78497251  54.23088179  92.1784488  172.51368771
 143.61572032 193.10655971 115.1412425  100.49533008  69.97794532
 141.64987094 163.24884878 113.97677855 191.06410853 115.69082717
  82.12373464  60.62973191  76.54575338  79.96152406 146.49634196
  78.1586202   97.3463172  142.0044711   63.39346159 163.91346441
 172.83736663  94.24731518 173.76957805  48.41274539  66.69995389]"|"[ 90.63475253  94.41599693 171.03808953 116.47748708 149.23391697
  90.88692369  66.40279715 185.86006106  98.9104365  116.09794156
 112.82197944 182.96694251 133.36345936  80.26166568 126.52867322
 186.51959148 101.08875297  75.76498788  77.25460876 147.55568408
 119.90408023 158.93804781  83.42901307  63.02689782 115.2258199
 185.43580676 112.51628327 168.73921698 148.58052698 113.93465166
 110.75813766 163.80492382 183.75125615 176.83100552 155.7537492
 180.26106826 120.44675827  71.74127804  66.69199032 114.81658791
  94.27572122 158.361943   190.10390063  68.99235256 111.75342193
 182.95578804 149.06845391 102.74471733  97.66131364 178.99221455
  81.48941524  72.81145643 119.29913949 157.19548806 126.86704138
 118.5855477  139.33332162 166.72853961  62.34163047 173.65714442
 197.24900356 142.89089178 150.99593867 108.23040299  90.75147357
 101.50441118 141.79223096 194.25432884 146.00352721 148.96491275
  97.34678234  80.5264055  147.30707669  86.01359941 164.22963593]"|[108.13106532 153.14883142]|[17.81183853 10.60399295]
