,flock_gcm,avg_sheep_dist_from_gcm,furthest_sheep_from_gcm
0,"[123.70496501306665, 126.72787164586661]",58.97355859780173,94.68822006854528
1,"[123.74353300439999, 126.80240446279994]",58.87154192666617,94.66289951545288
2,"[123.74223856386665, 126.89748587773329]",58.79668819591734,94.59489450485171
3,"[123.74135656999997, 126.99294170653329]",58.742618762583746,94.52696490669562
4,"[123.77917782906665, 127.08349565373331]",58.68175872738175,94.49001297839729
5,"[123.81363616906667, 127.1699035884]",58.62624185283216,94.4536751396527
6,"[123.81952870453334, 127.22296883826665]",58.59447358853259,94.42054060834388
7,"[123.80587509533332, 127.31643655799999]",58.5478336133069,94.34512456466001
8,"[123.82450600039998, 127.40249596053332]",58.51586879309324,94.29792930257669
9,"[123.82753363026667, 127.49585027719998]",58.4687518250829,94.234556590629
10,"[123.82857350426666, 127.57566712533333]",58.430526418887496,94.17930918882656
11,"[123.82649946266666, 127.69296696946665]",58.34856334051879,94.095610569035
12,"[123.8848580136, 127.72254408586669]",58.3067234437071,93.2229356874506
13,"[123.91343135013332, 127.79565949893333]",58.268959908160554,93.19251947048213
14,"[123.93530471186665, 127.88630930893333]",58.222016069986566,93.14514934400825
15,"[123.94650585533331, 127.97204008906668]",58.170644773459074,93.0935933274674
16,"[123.95511462253332, 128.03772049733334]",58.11390941267706,93.054149689793
17,"[123.98192335733329, 128.11524343573333]",58.03689956207558,93.01961821332713
18,"[123.97069848799995, 128.17148285266666]",57.99316717888931,92.97251112038643
19,"[123.98537932359997, 128.24514617386663]",57.93263776002693,92.93200030959962
20,"[123.98410200533331, 128.3581167316]",57.85059855532632,92.8527944890241
21,"[124.05133077439997, 128.44189769320002]",57.772235875328796,92.84331492449837
22,"[124.06107910786663, 128.57378331]",57.72719176970899,92.75916843053623
23,"[124.07848479346669, 128.68159837906666]",57.636166020463705,92.69729007463798
24,"[124.09769700146666, 128.78621266666664]",57.55970373564165,92.63901470419705
25,"[124.12667778293333, 128.89215511986663]",57.45801337374799,92.58699063434565
26,"[124.1423558648, 129.02096704546662]",57.36350876223595,92.50967867772111
27,"[124.18828078666662, 129.10013196933335]",57.24649489474895,92.48857710754476
28,"[124.23714943239996, 129.24028882706665]",57.12964103758473,92.42783226355434
29,"[124.28805269893329, 129.33750342773328]",57.030683213351246,92.39819791236836
30,"[124.31519566906667, 129.4508307529333]",56.92290587967973,92.34033461222936
31,"[124.37746151613327, 129.5489801332]",56.825026612857314,92.31858870083533
32,"[124.41391937679994, 129.6714893846667]",56.752312158807264,92.2614956581954
33,"[124.44807197226663, 129.7842804750667]",56.68556328163451,92.2094861125363
34,"[124.49003293239994, 129.87383427306665]",56.612294490931184,92.21552526599228
35,"[124.54553753933327, 129.98221198093333]",56.49435639520426,92.23807953188597
36,"[124.58952535133331, 130.1086214316]",56.3630662391263,92.09233299017896
37,"[124.6376692478666, 130.19359311773331]",56.25394681283925,92.06998314128576
38,"[124.65405421266665, 130.3493464934666]",56.154486446854996,92.10676860267729
39,"[124.69438865853336, 130.50972580653337]",56.02347250740511,92.17240451735772
40,"[124.73453135066669, 130.62662278679997]",55.928004775354154,92.21189248876588
41,"[124.78140307386667, 130.79667743066668]",55.82756708457672,92.27871880691045
42,"[124.81696123840001, 130.9539341025333]",55.727975791669486,92.34692375649044
43,"[124.86218680253334, 131.09680110946667]",55.66242415271287,92.39889171423496
44,"[124.91013927573333, 131.24784575026666]",55.54591342716359,92.45395773767098
45,"[124.9595951572, 131.4132201272]",55.449783853221135,92.5169188058254
46,"[125.0208698605333, 131.5621971082667]",55.38084590428941,92.56073170256347
47,"[125.02297969360002, 131.71795617986672]",55.26851846866888,92.65545284469461
48,"[125.07789829053334, 131.86887691733338]",55.18143332609653,92.70592221870136
49,"[125.14671463626665, 132.04463003280003]",55.082372851771304,92.76120534924551
50,"[125.21579731480003, 132.19142085720003]",54.969971873479835,92.79857221270109
51,"[125.28686178586666, 132.38264097426665]",54.871445297508856,92.86242503025278
52,"[125.406567602, 132.54557326733334]",54.763483036995204,92.87104985983522
53,"[125.47908205733336, 132.7079530052]",54.66225107886203,92.91647909223957
54,"[125.55662090853332, 132.89533249266668]",54.561669985911394,92.97406662951819
55,"[125.63636920426669, 133.0537338102667]",54.45606121421057,93.01205132838632
56,"[125.74643575600004, 133.2405864416]",54.337603823015236,93.96188238056259
57,"[125.86551853253336, 133.42888149773333]",54.230482143317445,93.98821991312177
58,"[126.00056761720005, 133.60659625466667]",54.08909189998782,93.99602137255874
59,"[126.12812066413336, 133.7926122849333]",53.99161010240243,94.01541481791587
60,"[126.22482810320001, 134.00621934826665]",53.850939730118895,94.07669874987265
61,"[126.3531911008, 134.20806951586667]",53.7409306996636,94.10666481147979
62,"[126.50933699213334, 134.39993938239994]",53.6406312782121,94.10950789756373
63,"[126.64681248426668, 134.60418579799997]",53.474940044531856,94.13525798203521
64,"[126.78157048013331, 134.82128755026665]",53.33812968931137,94.17201421200944
65,"[126.9276643204, 135.0297547512]",53.22036876469681,94.19521932614472
66,"[127.06622563266663, 135.23990167626664]",53.119032434911205,94.22592624678623
67,"[127.21335754879998, 135.4504738261333]",52.98652769125168,94.2510683605972
68,"[127.3244329946667, 135.65195527800003]",52.845229698858326,94.29826699092389
69,"[127.47956923373334, 135.86723050186666]",52.718907195666254,94.32174660942692
70,"[127.62605887266672, 136.09234094866662]",52.56190723972065,94.35894775920698
71,"[127.798022464, 136.32008732226666]",52.426689416910115,94.37948848912873
72,"[127.99712275093337, 136.54991830999998]",52.298606692631886,94.3819268068468
73,"[128.14382586760001, 136.80232159519997]",52.201228913027265,94.4395032438351
74,"[128.2917918698667, 137.0510520437333]",52.081364229295616,94.49455699151754
75,"[128.4451847090667, 137.27935187333333]",51.9938602946597,94.53276725830705
76,"[128.59181598453333, 137.48386598853332]",51.89041523558388,94.56082337122507
77,"[128.76495214853333, 137.72789835613332]",51.79887101865932,94.59651847192876
78,"[128.8918108488, 137.9563638214666]",51.70079608155247,94.31231438280544
79,"[129.09689424853335, 138.17471940146658]",51.57433574740971,94.3764939006296
80,"[129.30777173400006, 138.3994282066666]",51.47503721358054,94.4435844011064
81,"[129.53907039133333, 138.63733433253327]",51.34463248178205,94.51116940439798
82,"[129.79960019386667, 138.8650141346666]",51.21547501396845,94.55512626223414
83,"[130.0413301085334, 139.10247268799995]",51.09601083436143,94.61886660775185
84,"[130.2890734041333, 139.35504846760003]",50.95760711089111,94.69310083064728
85,"[130.53290752920003, 139.5483924024]",50.81029479333256,94.72113684734275
86,"[130.73955148693338, 139.77941591506672]",50.70290256215145,94.80203606516584
87,"[130.96014921293337, 139.99996965346665]",50.621657373214745,94.86752092510365
88,"[131.1822789568, 140.2409077941333]",50.509189842994665,93.975650314251
89,"[131.3756085096, 140.47517043013332]",50.39370268908443,94.07000946334789
90,"[131.6266450889334, 140.7065825932]",50.29194030051143,94.13218097354162
91,"[131.90695920373338, 140.94620128613332]",50.22394476435724,94.187063230375
92,"[132.1570020058667, 141.16939292599997]",50.11225047625616,94.24525311098938
93,"[132.43935973266667, 141.37098446706665]",50.024972443697294,94.26931127045523
94,"[132.67911361800003, 141.57634382959998]",49.937545507235235,94.31995900589338
95,"[132.9756885345334, 141.75930319679998]",49.78401346121365,94.3231350041239
96,"[133.28264913226673, 141.933892352]",49.681852975630946,94.315088247069
97,"[133.60788867293334, 142.11444900746667]",49.55955609237147,94.30419223794728
98,"[133.90702845733333, 142.28971143013328]",49.458838750189834,94.30339652055547
99,"[134.20250977840004, 142.47269004519998]",49.314092991901575,94.31238485499122
100,"[134.47753166719997, 142.62381976333327]",49.14559641676498,94.30528885652447
101,"[134.78789242, 142.75501612733322]",48.98267970486638,94.26437916902204
102,"[135.09836969266664, 142.88964596293332]",48.84311450837764,94.22758505132357
103,"[135.45155555693333, 143.05275550359997]",48.73685197027555,94.19587242671551
104,"[135.79491333986667, 143.2231364798666]",48.63532953487339,94.17689073731809
105,"[136.09555969160002, 143.4080811574666]",48.550671109660584,94.19285190776469
106,"[136.4381206101334, 143.51478190346666]",48.42252507096928,94.12137294688684
107,"[136.78016463586673, 143.65265727826664]",48.29567988411833,94.07886030400863
108,"[137.06235278920005, 143.76561905933332]",48.18672522254087,94.04416905778427
109,"[137.38357473640005, 143.86851322639995]",48.083949969382275,93.98318926807013
110,"[137.6972867696, 143.94914982226663]",47.9173774637102,93.9072185080996
111,"[138.00600682826666, 144.0393096505333]",47.79237240979609,93.8430566730088
112,"[138.32455127146673, 144.16234376479994]",47.65826184013503,93.80458085582923
113,"[138.62516486413335, 144.23241932266666]",47.52483703803786,93.72848940240164
114,"[138.9869932144, 144.31146244519996]",47.34051248405647,93.63344990061124
115,"[139.35744276346665, 144.32517581066668]",47.13753559378383,93.47760734502027
116,"[139.6931836198667, 144.36861842973332]",46.98744729240059,93.36512403347143
117,"[139.94663427666669, 144.40950670719997]",46.827040531516545,93.28817554158677
118,"[140.2654500036, 144.45613654946666]",46.725699410472764,93.18799135182395
119,"[140.5611332401334, 144.47098659999997]",46.562202924799124,93.07049141534551
120,"[140.88035674973335, 144.4901672046666]",46.45625107062983,92.9473586423508
121,"[141.1346936918667, 144.4536290438666]",46.312581310222214,92.80329293589958
122,"[141.42016049306665, 144.48775181506662]",46.188520210508635,92.70987447520056
123,"[141.70071322253335, 144.4676274805333]",46.06746700582521,92.57042383177951
124,"[141.95651894799997, 144.46347929319998]",45.966272233715884,92.45666439134236
125,"[142.20471881080002, 144.42378318479996]",45.814367366286504,92.31457255088286
126,"[142.43608657400003, 144.37402621519993]",45.6524431747477,92.1709933407736
127,"[142.69433466973337, 144.29594152186664]",45.47296069811435,91.99075749075305
128,"[142.92495420546672, 144.26441914866658]",45.31147104639892,91.8648279855056
129,"[143.1793583858667, 144.21728016746658]",45.1525731814296,91.71516809379361
130,"[143.3633260210667, 144.18599023746657]",45.03600137771265,92.58855135395575
131,"[143.51178642040003, 144.1932991667999]",44.93805382633356,92.53299712613266
132,"[143.70487318920004, 144.14990425426657]",44.841614669997206,92.41295891336412
133,"[143.9383516649334, 144.1602745286666]",44.72984390212966,92.3253534208787
134,"[144.15801140240006, 144.11720819679996]",44.63852318736763,92.195281715631
135,"[144.3582707350667, 144.0355807369333]",44.506294119892715,92.03839454587107
136,"[144.52529603906666, 144.00364342639998]",44.39906088320246,91.94069447560531
137,"[144.72783110986668, 143.87828191480003]",44.225615184410216,91.74342616193753
138,"[144.95016280733338, 143.7525686988]",44.04762739537361,91.5379710521284
139,"[145.21607147533337, 143.65932948893334]",43.881789690803124,91.34479480137334
140,"[145.42992733533336, 143.6025729562666]",43.729038705131416,91.2064506587311
141,"[145.6321947498667, 143.50299053919994]",43.62440430316215,91.03386981399336
142,"[145.90319775293335, 143.4936603908]",43.47387788863214,90.91675897039893
143,"[146.08714846320004, 143.418610374]",43.346922755382664,90.77459674487527
144,"[146.31399001106672, 143.29290473319995]",43.206715937929175,90.56913811343418
145,"[146.56344466399997, 143.29063722599997]",43.097188774748645,90.46847052409522
146,"[146.80566517960003, 143.17710870066665]",42.912333472354746,90.26885754323591
147,"[147.09204009960004, 143.02671729199994]",42.71556149834394,91.00347464183261
148,"[147.3434364256, 142.8568822006666]",42.52231967739624,90.74885381133484
149,"[147.59890656, 142.68995486226663]",42.32692108338389,90.49563028037244
150,"[147.82207961173336, 142.52104922226667]",42.12468890363214,90.25339982096439
151,"[148.03789792466668, 142.3571460266666]",41.96108040451262,90.01883959073216
152,"[148.27714969079997, 142.19067334133328]",41.76943176834319,89.7731098645309
153,"[148.56200772666668, 142.01634332679998]",41.557127995967356,89.50296138305873
154,"[148.8384538589334, 141.77907024213326]",41.30807075624387,89.17822565653019
155,"[149.1406859942667, 141.60422803213328]",41.085582240765106,88.90183012350946
156,"[149.48434923173338, 141.45189301066665]",40.87305542627893,88.63124422090733
157,"[149.8240883830667, 141.30333840879996]",40.675217592999914,88.36639940073813
158,"[150.17695929093338, 141.1448768157333]",40.43102380998242,88.08825741208115
159,"[150.52404337306666, 140.97146570413335]",40.20634908384863,87.79915635131033
160,"[150.85372834600003, 140.7823852681333]",39.957466803108815,87.5025702699064
161,"[151.1765214862667, 140.5908297562667]",39.75843644752375,87.20682009049064
162,"[151.554062774, 140.42646056373334]",39.52539143618011,86.9173840839705
163,"[151.8755320748, 140.22868047373336]",39.32255048424242,86.6176890967304
164,"[152.20914720560003, 139.98977451546668]",39.067027437506134,86.27584169826356
165,"[152.54655042133334, 139.76447039119998]",38.81187394424719,85.9459958376192
166,"[152.87481766079998, 139.49577315866668]",38.54272253832382,85.57932628215839
167,"[153.20145205000006, 139.25352044213338]",38.30783407819179,85.23856072280773
168,"[153.54003361946673, 138.99814639160005]",38.075287976767,84.88194334770326
169,"[153.9218302389334, 138.7591920937333]",37.812867446909536,84.5266299255286
170,"[154.26557590093338, 138.4816736330667]",37.56231670288064,84.14880872758148
171,"[154.58847501640005, 138.21134864453333]",37.304059243227464,83.78539462499833
172,"[154.922235198, 137.93846635866666]",37.04935467160141,83.41648793278426
