|X_Positions|Y_Positions
177|[110.29258049]|[159.12861127]
178|[109.82425277]|[157.70359577]
179|[109.35447989]|[156.27905605]
180|[108.8841122]|[154.85471261]
181|[108.41349668]|[153.43045103]
182|[107.9427793]|[152.00622312]
183|[107.47201664]|[150.58201017]
184|[107.00123534]|[149.15780338]
185|[106.53044202]|[147.73360057]
186|[106.05963979]|[146.30940071]
187|[105.58882976]|[144.88520342]
188|[105.11801434]|[143.46100791]
189|[104.64718455]|[142.03681716]
190|[104.17633316]|[140.61263354]
191|[103.70545119]|[139.18846004]
192|[103.23452812]|[137.76430012]
193|[104.12295891]|[138.97289051]
194|[104.84967111]|[140.28509834]
195|[105.50638113]|[141.63370204]
196|[106.13377299]|[142.99619221]
197|[106.74901655]|[144.36421098]
198|[107.35924094]|[145.73447599]
199|[107.96739551]|[147.10566088]
200|[108.5746961]|[148.47722423]
201|[109.18164193]|[149.84894459]
202|[109.78844205]|[151.22072942]
203|[110.39517805]|[152.59254261]
204|[111.00188757]|[153.96436751]
205|[111.60858337]|[155.33619848]
206|[112.21526235]|[156.70803688]
207|[112.82193157]|[158.07987961]
208|[113.42858804]|[159.45172797]
209|[114.03522874]|[160.8235833]
210|[114.64185477]|[162.19544513]
211|[115.24846093]|[163.56731574]
212|[115.85503769]|[164.93919934]
213|[116.46158008]|[166.31109815]
214|[116.10215143]|[164.85479768]
215|[115.63996194]|[163.42777951]
216|[115.13631296]|[162.01486135]
217|[114.61578545]|[160.60807384]
218|[114.08835628]|[159.2038593]
219|[113.55809958]|[157.80071005]
220|[113.02668188]|[156.39800009]
221|[112.49478762]|[154.99547076]
222|[111.96269767]|[153.59301568]
223|[111.43052731]|[152.19059109]
224|[110.89832391]|[150.78817905]
225|[110.36610691]|[149.38577216]
226|[109.83388342]|[147.98336775]
227|[109.30165522]|[146.58096512]
228|[108.76942507]|[145.17856322]
229|[108.23719149]|[143.77616263]
230|[107.70495649]|[142.37376258]
231|[107.17271857]|[140.97136364]
232|[106.64046868]|[139.56896923]
233|[106.10819779]|[138.1665828]
234|[105.57589052]|[136.76421018]
235|[106.27522659]|[138.09121021]
236|[106.90714237]|[139.45160811]
237|[107.5108736]|[140.82474634]
238|[108.10294188]|[142.20295356]
239|[108.69019911]|[143.58321765]
240|[109.27547534]|[144.96432291]
241|[109.85993438]|[146.34577418]
242|[110.44405592]|[147.7273682]
243|[111.02803566]|[149.10902216]
244|[111.61195694]|[150.49070083]
245|[112.19585409]|[151.87238969]
246|[112.77974129]|[153.25408276]
247|[113.36362149]|[154.63577879]
248|[113.94749579]|[156.01747731]
249|[114.53136766]|[157.39917685]
250|[115.11523631]|[158.78087776]
251|[115.69910362]|[160.16257924]
252|[116.282965]|[161.54428322]
253|[116.86681902]|[162.92599031]
254|[117.45065958]|[164.30770308]
255|[118.03448119]|[165.68942387]
256|[118.61827285]|[167.07115731]
257|[119.21418981]|[168.4477048]
258|[119.829542]|[169.8156747]
259|[120.46821856]|[171.1729117]
260|[120.0841532]|[169.72291384]
261|[119.59415528]|[168.3052037]
262|[119.06153811]|[166.90294875]
263|[118.51160723]|[165.50739293]
264|[117.95460507]|[164.11464436]
265|[117.39470866]|[162.72305677]
266|[116.83362476]|[161.33194755]
267|[116.27205096]|[159.94103603]
268|[115.71027624]|[158.55020564]
269|[115.14841798]|[157.159409]
270|[114.58652439]|[155.76862663]
271|[114.0246163]|[154.37785012]
272|[113.46270226]|[152.98707602]
273|[112.90078577]|[151.59630291]
274|[112.33886827]|[150.2055302]
275|[111.77695036]|[148.81475766]
276|[111.21503063]|[147.42398585]
277|[110.65311014]|[146.03321435]
278|[110.09118806]|[144.64244349]
279|[109.52926532]|[143.2516729]
280|[108.96734231]|[141.86090242]
281|[108.40541918]|[140.47013199]
282|[107.84349059]|[139.07936377]
283|[107.2815485]|[137.68860099]
284|[106.71958356]|[136.29784745]
285|[106.15757697]|[134.90711074]
286|[105.59552929]|[133.51639064]
287|[106.40768331]|[134.77750358]
288|[107.12051573]|[136.09730278]
289|[107.79134174]|[137.43894076]
290|[108.44472754]|[138.78915815]
291|[109.09091901]|[140.14283337]
292|[109.73415021]|[141.49791773]
293|[110.37616081]|[142.85358081]
294|[111.01766707]|[144.20948262]
295|[111.65896588]|[145.56548256]
296|[112.30017932]|[146.92152287]
297|[112.9413551]|[148.27758098]
298|[113.58251538]|[149.63364643]
299|[114.22366663]|[150.98971615]
300|[114.86481414]|[152.34578763]
301|[115.50595737]|[153.70186114]
302|[116.14709884]|[155.05793548]
303|[116.78823301]|[156.41401327]
304|[117.42935955]|[157.77009467]
305|[118.07048101]|[159.12617847]
306|[118.71159268]|[160.4822669]
307|[119.35269519]|[161.83835966]
308|[119.99378868]|[163.19445668]
309|[120.63486809]|[164.55056036]
310|[121.27594105]|[165.90666709]
311|[121.91700288]|[167.26277908]
312|[122.55803849]|[168.61890346]
313|[122.04530276]|[167.20925738]
314|[122.96614335]|[168.39334041]
315|[123.727354]|[169.68584122]
316|[123.44580479]|[168.21250146]
317|[122.96264216]|[166.79244728]
318|[122.39952732]|[165.40215894]
319|[121.80418149]|[164.02536435]
320|[121.19571856]|[162.65431626]
321|[120.58189376]|[161.28566031]
322|[119.96587172]|[159.91799191]
323|[119.34894683]|[158.55073053]
324|[118.73164942]|[157.1836373]
325|[118.11419877]|[155.81661327]
326|[117.49668444]|[154.449618]
327|[116.87914116]|[153.08263582]
328|[116.26158598]|[151.71565901]
329|[115.64402424]|[150.34868516]
330|[115.02645805]|[148.98171333]
331|[114.40889003]|[147.61474232]
332|[113.79132125]|[146.24777165]
333|[113.17375064]|[144.88080181]
334|[112.55617929]|[143.51383231]
335|[111.93860501]|[142.14686412]
336|[111.32102954]|[140.77989648]
337|[110.70345358]|[139.41292906]
338|[110.08587197]|[138.04596419]
339|[109.46827982]|[136.67900408]
340|[108.8506699]|[135.312052]
341|[109.56317345]|[136.63202878]
342|[110.23714858]|[137.97208756]
343|[110.89514425]|[139.32006444]
344|[111.54655004]|[140.6712382]
345|[112.19524376]|[142.02371609]
346|[112.84282228]|[143.37672831]
347|[113.48994222]|[144.72995992]
348|[114.13687355]|[146.0832817]
349|[114.78372728]|[147.43664058]
350|[115.43054906]|[148.79001472]
351|[116.07735515]|[150.14339637]
352|[116.72415478]|[151.49678111]
353|[117.37094911]|[152.85016837]
354|[118.01774126]|[154.20355668]
355|[118.6645325]|[155.55694542]
356|[119.31132338]|[156.91033434]
357|[119.9581141]|[158.26372333]
358|[120.60489937]|[159.61711493]
359|[121.25168239]|[160.9705076]
360|[121.89845668]|[162.32390445]
361|[122.54522736]|[163.67730302]
362|[123.19199424]|[165.0307034]
363|[123.83875955]|[166.38410454]
364|[124.48551894]|[167.7375085]
365|[125.13226375]|[169.09091943]
366|[124.53460543]|[167.71512711]
367|[125.32757188]|[168.98839228]
368|[126.04131359]|[170.30769997]
369|[126.72125715]|[171.64474026]
370|[127.40006659]|[172.98235671]
371|[128.09349093]|[174.31245546]
372|[127.57529759]|[172.90480647]
373|[128.69715969]|[173.90050996]
374|[129.60999491]|[175.09077541]
375|[129.51469934]|[173.59380555]
376|[130.91424301]|[174.13350687]
377|[131.99503643]|[175.17364416]
378|[132.90646015]|[176.3649908]
379|[133.78997561]|[177.57717908]
380|[134.67049382]|[178.79154628]
381|[135.56319719]|[179.99698425]
382|[136.476881]|[181.18659842]
383|[136.26068767]|[179.70226004]
384|[137.72439296]|[180.03023384]
385|[138.92407999]|[180.93065098]
386|[139.96281692]|[182.01279033]
387|[140.94119343]|[183.14979491]
388|[141.90924907]|[184.29559956]
389|[142.8549215]|[185.45994643]
390|[143.80189616]|[186.62323445]
391|[144.74400494]|[187.79046666]
392|[145.77247651]|[188.88236694]
393|[146.75863081]|[190.01263227]
394|[147.73647749]|[191.15009254]
395|[148.72486236]|[192.27840781]
396|[149.7353307]|[193.38698966]
397|[150.7549186]|[194.48718988]
398|[151.79571441]|[195.56734917]
399|[152.86266776]|[196.6216786]
400|[153.9467403]|[197.65839781]
401|[155.10872424]|[198.60697217]
402|[156.24635212]|[199.58462385]
403|[157.44879889]|[200.48135223]
404|[158.59747064]|[201.44600408]
405|[159.73899973]|[202.41909778]
406|[160.79590571]|[203.4834989]
407|[161.9850123]|[204.39784321]
408|[163.21351389]|[205.25853121]
409|[164.44827788]|[206.11021067]
410|[165.66917914]|[206.98164633]
411|[166.86485915]|[207.88737769]
412|[168.069597]|[208.78102568]
413|[169.29575461]|[209.64504971]
414|[170.5540183]|[210.46161109]
415|[171.82150632]|[211.26377947]
416|[173.02677699]|[212.1567087]
417|[174.21579254]|[213.0711714]
418|[175.41919777]|[213.9666131]
419|[176.65971343]|[214.80989295]
420|[177.90797112]|[215.64166981]
