|X_Positions|Y_Positions
0|[18.3209348]|[179.65915491]
1|[19.82024731]|[179.61374572]
2|[21.2436847]|[179.14064319]
3|[22.60209485]|[178.50446565]
4|[23.92877486]|[177.80452268]
5|[25.24171721]|[177.07913838]
6|[26.54894278]|[176.34350171]
7|[27.85382301]|[175.60371284]
8|[29.15774748]|[174.86224066]
9|[30.46128189]|[174.12008298]
10|[31.76524605]|[173.37868061]
11|[33.06938317]|[172.63758253]
12|[34.37359067]|[171.89660829]
13|[35.67782485]|[171.15568104]
14|[36.98207027]|[170.41477357]
15|[38.28631861]|[169.67387123]
16|[39.5905663]|[168.93296776]
17|[40.89481399]|[168.19206427]
18|[42.19906003]|[167.45115789]
19|[43.50330389]|[166.71024768]
20|[44.80754425]|[165.96933129]
21|[46.11178227]|[165.22841079]
22|[47.4160211]|[164.48749171]
23|[48.72025929]|[163.74657152]
24|[50.02449588]|[163.0056485]
25|[51.32873054]|[162.26472209]
26|[52.63296261]|[161.52379112]
27|[53.93718976]|[160.78285147]
28|[55.24340125]|[160.04541568]
29|[56.55041454]|[159.30940193]
30|[57.85775006]|[158.57396068]
31|[59.16521394]|[157.83874764]
32|[60.47272617]|[157.1036206]
33|[61.7773577]|[157.84384799]
34|[62.71231834]|[159.01681371]
35|[63.45009724]|[160.32283144]
36|[64.10181855]|[161.67385303]
37|[64.71541601]|[163.04261092]
38|[65.30977061]|[164.41983371]
39|[65.89190517]|[165.80226611]
40|[66.47128582]|[167.18585495]
41|[67.04839633]|[168.57039222]
42|[67.62768611]|[169.9540191]
43|[68.20554854]|[171.33824271]
44|[68.78122731]|[172.7233759]
45|[69.35548128]|[174.1091004]
46|[69.93215474]|[175.49381977]
47|[70.5109874]|[176.87763795]
48|[71.0897765]|[178.26147434]
49|[71.67277797]|[179.64354138]
50|[72.26114935]|[181.0233309]
51|[72.85661078]|[182.40007549]
52|[73.45335116]|[183.77626622]
53|[74.05569502]|[185.15001361]
54|[74.6651339]|[186.52062816]
55|[75.28320495]|[187.8873718]
56|[75.9033111]|[189.25319329]
