|X_Positions|Y_Positions
0|[23.63022646]|[177.92805782]
1|[25.03424041]|[178.45602073]
2|[26.50451258]|[178.75317347]
3|[27.99098016]|[178.95420608]
4|[29.48223801]|[179.11591581]
5|[30.9751459]|[179.26160736]
6|[32.46867542]|[179.40078195]
7|[33.96244955]|[179.53730611]
8|[35.45632172]|[179.67275336]
9|[36.95023344]|[179.8077636]
10|[38.44416113]|[179.94259703]
11|[39.93809523]|[180.07735944]
12|[41.43203185]|[180.21209395]
13|[42.92596934]|[180.34681874]
14|[44.41990684]|[180.48154348]
15|[45.91384392]|[180.61627285]
16|[47.40778038]|[180.75100899]
17|[48.90171619]|[180.88575247]
18|[50.39565118]|[181.02050499]
19|[51.88958531]|[181.15526708]
20|[53.38351853]|[181.29003925]
21|[54.87745072]|[181.42482282]
22|[56.37138171]|[181.55961967]
23|[57.86531142]|[181.69443072]
24|[59.35923951]|[181.82925973]
25|[60.85316572]|[181.96410963]
26|[62.34708995]|[182.09898139]
27|[63.84101208]|[182.23387637]
28|[65.33493202]|[182.36879573]
29|[66.82884972]|[182.50373977]
30|[68.32276516]|[182.63870887]
31|[69.81667828]|[182.7737037]
32|[71.31058875]|[182.9087278]
33|[72.80449643]|[183.04378267]
34|[74.29840128]|[183.17886893]
35|[75.79230321]|[183.3139875]
36|[77.28620221]|[183.44913846]
37|[78.78009826]|[183.58432208]
38|[80.27399136]|[183.71953814]
39|[81.76788115]|[183.85479085]
40|[83.26176754]|[183.99008118]
41|[84.75565045]|[184.12540981]
42|[86.24952997]|[184.26077587]
43|[87.74340614]|[184.39617896]
44|[89.23727858]|[184.53162315]
45|[90.73114734]|[184.66710792]
46|[92.22501247]|[184.80263275]
47|[93.71887376]|[184.93819985]
48|[95.21273139]|[185.07380734]
49|[96.70658523]|[185.20945658]
50|[98.20043518]|[185.34514853]
51|[99.6942813]|[185.48088275]
52|[101.18812293]|[185.61666641]
53|[102.68195971]|[185.75250331]
54|[104.17579165]|[185.88839345]
55|[105.66961875]|[186.0243368]
56|[107.16344136]|[186.16032951]
57|[108.65725914]|[186.2963752]
58|[110.15107212]|[186.43247365]
59|[111.64488007]|[186.56862727]
60|[113.13868277]|[186.70483843]
61|[114.63247976]|[186.84111227]
62|[116.1262712]|[186.97744689]
63|[117.62005727]|[187.11384038]
64|[119.11383769]|[187.25029573]
65|[120.60761296]|[187.38680739]
66|[122.10138297]|[187.52337666]
67|[123.59514806]|[187.65999968]
68|[125.08890833]|[187.79667548]
69|[126.5826637]|[187.93340475]
70|[128.07641426]|[188.07018652]
71|[129.57015988]|[188.2070223]
72|[131.06390042]|[188.34391352]
73|[132.55763573]|[188.48086177]
74|[134.05136554]|[188.61786992]
75|[135.54509008]|[188.75493561]
76|[137.03880899]|[188.89206259]
77|[138.53252223]|[189.02925141]
78|[140.02622921]|[189.16650829]
79|[141.51992972]|[189.30383561]
80|[143.01362398]|[189.44123088]
81|[144.5073114]|[189.5787005]
82|[146.00099148]|[189.7162498]
83|[147.49466383]|[189.85388299]
84|[148.98832826]|[189.99160221]
85|[150.48198348]|[190.12942125]
86|[151.97562871]|[190.26734846]
87|[153.46926404]|[190.40538287]
88|[154.96288909]|[190.54352855]
89|[156.45650385]|[190.6817853]
90|[157.95158806]|[190.80312458]
91|[159.44838108]|[190.90115851]
92|[160.94664956]|[190.97321106]
93|[162.44596171]|[191.01863201]
94|[163.9458709]|[191.0351372]
95|[165.44580482]|[191.02105771]
96|[166.94504464]|[190.9733088]
97|[166.95430829]|[189.47333741]
98|[166.31046586]|[188.11854335]
99|[165.43447763]|[186.9009044]
100|[164.47182767]|[185.75055443]
101|[163.47530416]|[184.62942067]
102|[162.4652002]|[183.5205068]
103|[161.44957837]|[182.41664435]
104|[160.43168806]|[181.31487336]
105|[159.41285061]|[180.21397816]
106|[158.39360139]|[179.11346418]
107|[157.37415803]|[178.01313003]
108|[156.35460925]|[176.91289356]
109|[155.33498984]|[175.81272255]
110|[154.31532011]|[174.71259817]
111|[153.29560079]|[173.61251976]
112|[152.27583226]|[172.51248697]
113|[151.25601624]|[171.4124982]
114|[150.23615443]|[170.31255189]
115|[149.2162444]|[169.21265028]
116|[148.1962842]|[168.11279521]
117|[147.17627399]|[167.01298652]
118|[146.15620994]|[165.91322776]
119|[145.13609597]|[164.81351529]
120|[144.11592895]|[163.71385205]
121|[143.09571596]|[162.61423146]
122|[142.0754576]|[161.51465296]
123|[141.0551531]|[160.41511726]
124|[140.03481583]|[159.31561199]
125|[139.01445448]|[158.21612906]
126|[137.99407316]|[157.11666466]
127|[136.9736762]|[156.01721477]
128|[135.95326476]|[154.91777833]
129|[134.9328419]|[153.81835249]
130|[133.91241189]|[152.71893329]
131|[132.89197408]|[151.61952131]
132|[131.87153652]|[150.52010911]
133|[130.85108967]|[149.42070554]
134|[132.30662027]|[149.05817186]
135|[133.79150862]|[149.27055498]
136|[135.22516903]|[149.71171007]
137|[136.62761861]|[150.24381456]
138|[138.0155729]|[150.81265802]
139|[139.3972921]|[151.39648338]
140|[140.77640209]|[151.98644578]
141|[142.15442116]|[152.57895186]
142|[143.53198629]|[153.17251256]
143|[144.90935417]|[153.76653084]
144|[146.28662946]|[154.36076378]
145|[147.66385237]|[154.9551181]
146|[149.04104057]|[155.54955283]
147|[150.41819702]|[156.14406114]
148|[151.79532388]|[156.73863797]
149|[153.17242162]|[157.33328223]
150|[154.54948373]|[157.92800902]
151|[155.92650325]|[158.52283441]
152|[155.41515469]|[157.11268454]
153|[154.49579047]|[155.92745485]
154|[153.43434303]|[154.86758252]
155|[152.31961481]|[153.86389881]
156|[151.18393393]|[152.88398609]
157|[150.03981354]|[151.91394046]
158|[148.89225401]|[150.94796575]
159|[147.74328465]|[149.98366838]
160|[146.59373878]|[149.02005835]
161|[145.44395272]|[148.05673493]
162|[144.29406478]|[147.09353312]
