|dog_x_positions|dog_y_positions
766|[147.61398506]|[194.60248854]
767|[147.61398506]|[194.60248854]
768|[147.49055122]|[193.10757581]
769|[147.36711014]|[191.61266367]
770|[147.36711014]|[191.61266367]
771|[147.36711014]|[191.61266367]
772|[147.24359253]|[190.11775786]
773|[147.24359253]|[190.11775786]
774|[147.24359253]|[190.11775786]
775|[147.24359253]|[190.11775786]
776|[147.11998519]|[188.62285945]
777|[146.99636071]|[187.12796247]
778|[146.99636071]|[187.12796247]
779|[146.86939156]|[185.63334586]
780|[146.86939156]|[185.63334586]
781|[146.86939156]|[185.63334586]
782|[146.7498771]|[184.13811467]
783|[146.66511067]|[182.6405117]
784|[146.66511067]|[182.6405117]
785|[146.60194952]|[181.14184207]
786|[146.53876821]|[179.64317329]
787|[146.4755547]|[178.14450586]
788|[146.41231391]|[176.64583959]
789|[146.34904725]|[175.1471744]
790|[146.28575372]|[173.64851035]
791|[146.22243223]|[172.14984749]
792|[146.1590751]|[170.65118613]
793|[146.09568051]|[169.15252635]
794|[146.03224646]|[167.65386824]
795|[145.96662131]|[166.15530448]
796|[145.90008501]|[164.6567809]
797|[145.83316267]|[163.15827451]
798|[145.76606924]|[161.65977578]
799|[145.69888096]|[160.16128129]
800|[145.63162067]|[158.66279003]
801|[145.56428794]|[157.16430202]
802|[145.49687447]|[155.66581765]
803|[145.42939739]|[154.16733613]
804|[145.36184941]|[152.66885781]
805|[145.29422473]|[151.17038296]
806|[145.22651807]|[149.6719118]
807|[145.1587245]|[148.17344457]
808|[145.09084544]|[146.67498121]
809|[145.02287519]|[145.17652199]
810|[144.95481046]|[143.67806705]
811|[144.88664454]|[142.17961672]
812|[144.81838529]|[140.68117063]
813|[144.75002039]|[139.18272936]
814|[144.68155724]|[137.68429258]
815|[144.60662682]|[136.18616527]
816|[144.52899611]|[134.68817546]
817|[144.45019712]|[133.19024665]
818|[144.37086206]|[131.69234614]
819|[144.29124424]|[130.19446063]
820|[144.21145949]|[128.696584]
821|[144.13155347]|[127.19871383]
822|[144.05155573]|[125.70084856]
823|[143.97146899]|[124.20298805]
824|[143.89129535]|[122.70513219]
825|[143.81104798]|[121.20728027]
826|[143.73073879]|[119.70943167]
827|[143.65035459]|[118.21158709]
828|[143.56989666]|[116.71374647]
829|[143.48937553]|[115.21590925]
830|[143.40881976]|[113.71807389]
831|[143.32823096]|[112.22024031]
832|[143.24761095]|[110.7224084]
833|[143.16695677]|[109.22457834]
834|[143.08627295]|[107.72674987]
835|[143.00555509]|[106.22892323]
836|[142.92479231]|[104.73109902]
837|[142.84399966]|[103.23327642]
838|[142.76317223]|[101.73545569]
839|[142.68231045]|[100.23763682]
840|[142.60140172]|[98.73982049]
841|[142.52044628]|[97.24200667]
842|[142.43943567]|[95.74419584]
843|[142.35838572]|[94.24638714]
844|[142.2772917]|[92.74858083]
845|[142.19614226]|[91.25077751]
846|[142.11494773]|[89.75297664]
847|[142.03371503]|[88.25517784]
848|[141.96975123]|[86.75654225]
849|[141.93226667]|[85.25701069]
850|[141.84566433]|[83.75951276]
851|[141.7523341]|[82.26241909]
852|[141.67112671]|[80.76461891]
853|[141.59383515]|[79.26661157]
854|[141.53341259]|[77.76782902]
855|[141.55311226]|[76.26795839]
856|[141.67347023]|[74.77279486]
857|[141.81878099]|[73.27984986]
858|[141.97458721]|[71.78796366]
859|[142.14875279]|[70.29810919]
860|[142.32778403]|[68.80883158]
861|[142.48844675]|[67.31746057]
862|[142.62616946]|[65.82379646]
863|[142.75781627]|[64.32958459]
864|[142.88450115]|[62.83494385]
865|[143.00798206]|[61.340035]
866|[143.12410059]|[59.84453626]
867|[143.25647225]|[58.35038843]
868|[143.40770236]|[56.85803142]
869|[143.5834354]|[55.36836102]
870|[143.79728538]|[53.88368321]
871|[143.99504036]|[52.39677603]
872|[144.27044887]|[50.92227606]
873|[144.51951407]|[49.44309841]
874|[144.73901022]|[47.95924483]
875|[144.91473984]|[46.46957403]
876|[145.08171309]|[44.97889635]
877|[145.20767578]|[43.48419458]
878|[145.4221358]|[41.99960477]
879|[145.66318504]|[40.5190997]
880|[145.88790957]|[39.03602894]
881|[146.12138324]|[37.55431032]
882|[146.33553893]|[36.06967658]
883|[146.52544412]|[34.58174647]
884|[146.68396561]|[33.09014635]
885|[146.80556971]|[31.59508366]
886|[146.89990999]|[30.09805329]
887|[146.98608716]|[28.60053084]
888|[147.05463975]|[27.10209815]
889|[147.05463975]|[27.10209815]
890|[147.05463975]|[27.10209815]
891|[147.15223379]|[25.60527638]
892|[147.15223379]|[25.60527638]
893|[147.14377731]|[24.10530022]
894|[147.14377731]|[24.10530022]
895|[147.07604127]|[22.60683039]
896|[147.07604127]|[22.60683039]
897|[146.96586917]|[21.11088182]
898|[146.96586917]|[21.11088182]
899|[146.94677812]|[19.61100332]
900|[146.98995487]|[18.11162486]
901|[146.98995487]|[18.11162486]
902|[147.03455789]|[16.61228815]
903|[147.03455789]|[16.61228815]
904|[146.85176941]|[15.12346701]
905|[146.85176941]|[15.12346701]
906|[146.85176941]|[15.12346701]
907|[146.86518534]|[13.62352701]
908|[146.80379914]|[12.12478362]
909|[146.80379914]|[12.12478362]
910|[146.80379914]|[12.12478362]
911|[146.80379914]|[12.12478362]
912|[146.80379914]|[12.12478362]
913|[146.80379914]|[12.12478362]
914|[146.80379914]|[12.12478362]
915|[146.80379914]|[12.12478362]
916|[146.80379914]|[12.12478362]
917|[147.04604312]|[10.64447357]
918|[147.04604312]|[10.64447357]
919|[147.04604312]|[10.64447357]
920|[147.04604312]|[10.64447357]
921|[147.04604312]|[10.64447357]
922|[147.88049716]|[9.39800397]
923|[147.88049716]|[9.39800397]
924|[148.78911656]|[8.20451715]
925|[148.78911656]|[8.20451715]
926|[149.85122687]|[7.1453091]
927|[149.85122687]|[7.1453091]
928|[151.17508481]|[6.44004308]
929|[152.47122227]|[5.68504131]
930|[152.47122227]|[5.68504131]
931|[153.76441926]|[4.92501398]
932|[153.76441926]|[5.92501398]
933|[155.26441926]|[5.92512251]
934|[155.26441926]|[5.92512251]
935|[156.65571928]|[5.36451191]
936|[156.65571928]|[5.36451191]
937|[158.13796996]|[5.13444035]
938|[158.13796996]|[5.13444035]
939|[159.62716124]|[4.95469234]
940|[161.11409356]|[5.75712646]
941|[161.11409356]|[5.75712646]
942|[161.11409356]|[5.75712646]
943|[162.58870509]|[5.48231595]
944|[164.04792526]|[5.13493072]
945|[165.53432531]|[4.93339934]
946|[165.53432531]|[5.93339934]
947|[165.53432531]|[5.93339934]
948|[167.03396145]|[5.96643625]
949|[168.53370208]|[5.93854244]
950|[170.03326434]|[5.97477779]
951|[170.03326434]|[5.97477779]
952|[171.47582802]|[6.3858861]
953|[172.94608774]|[6.68310041]
954|[174.41077243]|[7.00667232]
955|[175.84009589]|[7.4616827]
956|[175.84009589]|[7.4616827]
957|[176.93027339]|[8.49198023]
958|[176.93027339]|[8.49198023]
959|[177.90351761]|[9.63338099]
960|[178.93298984]|[10.72433787]
961|[178.93298984]|[10.72433787]
962|[177.6751003]|[11.5414755]
963|[176.46338281]|[12.42563653]
964|[175.36139699]|[13.44329426]
965|[175.70363691]|[14.90372976]
966|[175.70363691]|[14.90372976]
967|[176.9609508]|[15.72175286]
968|[176.9609508]|[15.72175286]
969|[175.73204046]|[16.58185715]
970|[175.83567795]|[18.07827262]
971|[175.83567795]|[18.07827262]
972|[175.83567795]|[18.07827262]
973|[176.42568211]|[19.45736475]
974|[176.42568211]|[19.45736475]
975|[175.86289594]|[20.84778617]
976|[175.42019103]|[22.28096876]
977|[175.42019103]|[22.28096876]
978|[176.7232148]|[23.02402262]
979|[176.7232148]|[23.02402262]
980|[176.59993119]|[24.51894776]
981|[176.47664251]|[26.01387247]
982|[176.47664251]|[26.01387247]
983|[176.47664251]|[26.01387247]
984|[176.47664251]|[26.01387247]
985|[176.35330504]|[27.50879316]
986|[176.35330504]|[27.50879316]
987|[176.22994054]|[29.00371162]
988|[176.22994054]|[29.00371162]
989|[176.10653493]|[30.49862668]
990|[176.10653493]|[30.49862668]
991|[175.98309516]|[31.99353893]
992|[175.98309516]|[31.99353893]
993|[175.98309516]|[31.99353893]
994|[175.85959442]|[33.48844614]
995|[175.73608216]|[34.9833524]
996|[175.73608216]|[34.9833524]
997|[175.61251839]|[36.4782544]
998|[175.61251839]|[36.4782544]
999|[175.48890103]|[37.97315197]
1000|[175.48890103]|[37.97315197]
1001|[175.36522844]|[39.46804498]
1002|[175.36522844]|[39.46804498]
1003|[175.24149001]|[40.96293253]
1004|[175.11772642]|[42.457818]
1005|[174.99393079]|[43.95270082]
1006|[174.87009718]|[45.44758049]
1007|[174.74621486]|[46.94245613]
1008|[174.62228437]|[48.43732778]
1009|[174.49830801]|[49.93219562]
1010|[174.37428968]|[51.42705998]
1011|[174.25022811]|[52.92192075]
1012|[174.12611916]|[54.41677759]
1013|[174.00196428]|[55.91163061]
1014|[173.87776908]|[57.40648029]
1015|[173.75353122]|[58.90132642]
1016|[173.62925154]|[60.39616907]
1017|[173.5049346]|[61.89100863]
1018|[173.38057796]|[63.38584488]
1019|[173.25618271]|[64.88067792]
1020|[173.13174454]|[66.37550739]
1021|[173.00726904]|[67.87033375]
1022|[172.8827613]|[69.36515743]
1023|[172.75822533]|[70.85997875]
1024|[172.6336592]|[72.35479757]
1025|[172.50905132]|[73.8496129]
1026|[172.38440392]|[75.34442493]
1027|[172.25971597]|[76.83923359]
1028|[172.13498682]|[78.33403881]
1029|[172.01020996]|[79.82884004]
1030|[173.27629522]|[79.02445946]
1031|[174.18941342]|[77.83441108]
1032|[174.92222794]|[76.52560136]
1033|[175.57545326]|[75.17530633]
1034|[176.20096622]|[73.81195254]
1035|[176.81301463]|[72.44250129]
1036|[177.43245798]|[71.07637906]
1037|[178.00134037]|[69.68844072]
1038|[178.62609767]|[68.3247405]
1039|[179.26588151]|[66.96802511]
1040|[179.91006215]|[65.61339184]
1041|[180.56156989]|[64.26226724]
1042|[181.23522906]|[62.9220496]
1043|[181.91075613]|[61.5827725]
1044|[182.60408427]|[60.2526236]
1045|[183.29100897]|[58.91915652]
1046|[183.98914023]|[57.59152225]
1047|[184.62864579]|[56.23467567]
1048|[185.33799828]|[54.91300285]
1049|[186.07065352]|[53.60410396]
1050|[186.80973912]|[52.29882526]
1051|[187.53661533]|[50.98670828]
1052|[188.25647051]|[49.67072632]
1053|[188.98285325]|[48.35833609]
1054|[189.73426829]|[47.06011599]
1055|[190.50081314]|[45.77077158]
1056|[191.28577072]|[44.49255345]
1057|[192.09435844]|[43.22915094]
1058|[192.8980854]|[41.96265066]
1059|[193.6856061]|[40.68601009]
1060|[194.45344289]|[39.39743464]
1061|[195.1847242]|[38.08776765]
1062|[195.87526232]|[36.7561682]
1063|[196.51659502]|[35.40018428]
1064|[197.11142879]|[34.02316839]
1065|[197.70750207]|[32.64668858]
1066|[198.29804422]|[31.26782674]
1067|[198.87572633]|[29.88352787]
1068|[199.47549109]|[28.50865252]
1069|[200.1188545]|[27.15363092]
1070|[200.80530057]|[25.81991739]
1071|[201.54955756]|[24.51758043]
1072|[202.35496113]|[23.25214569]
1073|[203.22480306]|[22.03010846]
1074|[203.22480306]|[22.03010846]
1075|[203.22480306]|[22.03010846]
1076|[203.22480306]|[22.03010846]
1077|[204.14866043]|[20.84837771]
1078|[204.14866043]|[20.84837771]
1079|[204.14866043]|[20.84837771]
1080|[204.94972721]|[19.58019317]
1081|[204.94972721]|[19.58019317]
1082|[205.82212941]|[18.35998237]
1083|[205.82212941]|[18.35998237]
1084|[206.7813183]|[17.20674489]
1085|[207.72985881]|[16.04473332]
1086|[207.72985881]|[16.04473332]
1087|[207.72985881]|[16.04473332]
1088|[208.64711913]|[14.85787465]
1089|[208.64711913]|[14.85787465]
1090|[209.48336361]|[13.61260553]
1091|[209.48336361]|[13.61260553]
1092|[209.48336361]|[13.61260553]
1093|[210.27171568]|[12.33647818]
1094|[210.27171568]|[12.33647818]
1095|[210.27171568]|[12.33647818]
1096|[210.27171568]|[12.33647818]
1097|[210.27171568]|[12.33647818]
1098|[210.27171568]|[12.33647818]
1099|[211.44983532]|[11.40802026]
1100|[211.44983532]|[11.40802026]
1101|[211.44983532]|[11.40802026]
1102|[211.44983532]|[11.40802026]
1103|[211.44983532]|[11.40802026]
1104|[211.44983532]|[11.40802026]
1105|[211.44983532]|[11.40802026]
1106|[211.44983532]|[11.40802026]
1107|[211.44983532]|[11.40802026]
1108|[211.44983532]|[11.40802026]
1109|[212.80306598]|[10.76089833]
1110|[212.80306598]|[10.76089833]
1111|[212.80306598]|[10.76089833]
1112|[212.80306598]|[10.76089833]
1113|[214.18101923]|[10.16823921]
1114|[214.18101923]|[10.16823921]
1115|[214.18101923]|[10.16823921]
1116|[215.49631785]|[9.44713621]
1117|[215.49631785]|[9.44713621]
1118|[215.49631785]|[9.44713621]
1119|[215.49631785]|[9.44713621]
1120|[216.92753193]|[8.99810809]
1121|[216.92753193]|[8.99810809]
1122|[218.37745243]|[8.61375077]
1123|[218.37745243]|[8.61375077]
1124|[219.81312248]|[8.17918028]
1125|[219.81312248]|[8.17918028]
1126|[221.27511116]|[7.84363728]
1127|[221.27511116]|[7.84363728]
1128|[222.72900515]|[7.47459491]
1129|[222.72900515]|[7.47459491]
1130|[224.20367993]|[7.20012401]
1131|[224.20367993]|[7.20012401]
1132|[225.6347811]|[6.75073616]
1133|[225.6347811]|[6.75073616]
1134|[227.07330069]|[6.32569335]
1135|[227.07330069]|[6.32569335]
1136|[228.53948329]|[6.00897804]
1137|[230.03615703]|[5.90913959]
1138|[230.03615703]|[5.90913959]
1139|[230.03615703]|[5.90913959]
1140|[230.03615703]|[5.90913959]
1141|[231.52721485]|[5.74559583]
1142|[231.52721485]|[5.74559583]
1143|[232.99628399]|[5.44255151]
1144|[234.4761444]|[5.19757564]
1145|[235.94817607]|[4.90926546]
1146|[235.94817607]|[5.90926546]
1147|[235.94817607]|[5.90926546]
1148|[237.43097191]|[5.68273401]
1149|[238.92534114]|[5.55288556]
1150|[238.92534114]|[5.55288556]
1151|[238.92534114]|[5.55288556]
1152|[238.92534114]|[5.55288556]
1153|[240.38638145]|[5.89253422]
1154|[240.38638145]|[5.89253422]
1155|[241.65328805]|[6.69562055]
1156|[241.65328805]|[6.69562055]
1157|[241.65328805]|[6.69562055]
1158|[241.65328805]|[6.69562055]
1159|[242.67443458]|[7.79437429]
1160|[242.67443458]|[7.79437429]
1161|[242.67443458]|[7.79437429]
1162|[242.97335639]|[9.26428781]
1163|[243.61039582]|[10.62229398]
1164|[243.61039582]|[10.62229398]
1165|[243.60642742]|[12.12228873]
1166|[243.60642742]|[12.12228873]
1167|[244.15436214]|[13.51862949]
1168|[244.68347045]|[14.9222122]
1169|[244.68347045]|[14.9222122]
1170|[245.22366332]|[16.32156621]
1171|[244.43875229]|[17.80606503]
1172|[244.43875229]|[17.80606503]
1173|[244.43875229]|[17.80606503]
1174|[243.77169028]|[19.14957843]
1175|[243.77169028]|[19.14957843]
1176|[243.77169028]|[19.14957843]
1177|[243.34052517]|[20.58627487]
1178|[243.34052517]|[20.58627487]
1179|[242.41260932]|[21.7648215]
1180|[242.41260932]|[21.7648215]
1181|[242.41260932]|[21.7648215]
1182|[241.68246255]|[23.07512135]
1183|[241.68246255]|[23.07512135]
1184|[240.57647832]|[24.08843221]
1185|[240.57647832]|[24.08843221]
1186|[239.84788534]|[25.39959668]
1187|[239.84788534]|[25.39959668]
1188|[240.41831248]|[26.78690085]
1189|[240.89230485]|[28.21004218]
1190|[240.89230485]|[28.21004218]
1191|[240.94444328]|[29.70913577]
1192|[240.91258517]|[31.20879741]
1193|[240.91258517]|[31.20879741]
1194|[240.86426308]|[32.70801887]
1195|[240.72070285]|[34.20113322]
1196|[240.72070285]|[34.20113322]
1197|[239.25224493]|[34.50712563]
1198|[238.62201139]|[35.86830368]
1199|[238.62201139]|[35.86830368]
1200|[239.1448402]|[37.27423754]
1201|[239.53200144]|[38.72341185]
1202|[239.53200144]|[38.72341185]
1203|[239.68315535]|[40.21577658]
1204|[239.68315535]|[40.21577658]
1205|[238.18407695]|[40.16320328]
1206|[236.68466936]|[40.20535618]
1207|[235.19239597]|[40.35740922]
1208|[233.69847373]|[40.49230306]
1209|[232.21178897]|[40.69172326]
1210|[230.7234871]|[40.87869267]
1211|[229.25228011]|[41.17118198]
1212|[229.25228011]|[41.17118198]
1213|[228.0039378]|[42.00283184]
1214|[227.57496165]|[43.44018338]
1215|[227.57496165]|[43.44018338]
1216|[226.94516934]|[44.80156563]
1217|[226.31537231]|[46.16294571]
1218|[226.31537231]|[46.16294571]
1219|[226.31537231]|[46.16294571]
1220|[225.68553166]|[47.5243056]
1221|[225.68553166]|[47.5243056]
1222|[225.0556537]|[48.88564823]
1223|[224.42576591]|[50.24698631]
1224|[224.42576591]|[50.24698631]
1225|[223.79583498]|[51.60830443]
1226|[223.16589354]|[52.96961769]
1227|[223.16589354]|[52.96961769]
1228|[222.53587902]|[54.33089712]
1229|[222.53587902]|[54.33089712]
1230|[221.90218718]|[55.69046862]
1231|[221.90218718]|[55.69046862]
1232|[221.90218718]|[55.69046862]
1233|[221.26840316]|[57.04999715]
1234|[221.26840316]|[57.04999715]
1235|[220.63454536]|[58.40949128]
1236|[220.00066646]|[59.76897557]
1237|[219.36676085]|[61.12844741]
1238|[218.73282171]|[62.48790361]
1239|[218.09884949]|[63.84734439]
1240|[217.46484014]|[65.20676784]
1241|[216.83079365]|[66.56617398]
1242|[216.19671822]|[67.92556663]
1243|[215.56259865]|[69.28493867]
1244|[214.92843496]|[70.64429014]
1245|[214.29423037]|[72.00362253]
1246|[213.65998372]|[73.36293529]
1247|[213.02569875]|[74.72223018]
1248|[212.39137787]|[76.0815083]
1249|[211.75703042]|[77.44077402]
1250|[211.12265752]|[78.80002787]
1251|[210.48825518]|[80.15926798]
1252|[209.85382734]|[81.51849618]
1253|[209.21937534]|[82.87771312]
1254|[210.71150833]|[83.03113785]
1255|[212.1280089]|[82.53765418]
1256|[213.427182]|[81.78788804]
1257|[214.67427862]|[80.95437139]
1258|[215.91233424]|[80.10748397]
1259|[217.14813351]|[79.25730743]
1260|[218.37110223]|[78.38877562]
1261|[219.60270363]|[77.53252916]
1262|[220.8056926]|[76.6365283]
1263|[222.00965797]|[75.74183987]
1264|[223.21661181]|[74.85118705]
1265|[224.42203016]|[73.9584572]
1266|[225.63072551]|[73.07016921]
1267|[226.841881]|[72.18523849]
1268|[228.02318627]|[71.26083714]
1269|[229.17440658]|[70.29922818]
1270|[230.32076599]|[69.33182955]
1271|[231.44626283]|[68.34023646]
1272|[232.53958187]|[67.31327322]
1273|[233.62479778]|[66.27775093]
1274|[234.67328395]|[65.2050549]
1275|[235.67629276]|[64.08971939]
1276|[236.69431583]|[62.98807106]
1277|[237.72546733]|[61.89870125]
1278|[237.72546733]|[61.89870125]
1279|[237.72546733]|[61.89870125]
1280|[237.72546733]|[61.89870125]
1281|[238.67827703]|[60.74018769]
1282|[238.67827703]|[60.74018769]
1283|[238.67827703]|[60.74018769]
1284|[238.67827703]|[60.74018769]
1285|[238.67827703]|[60.74018769]
1286|[238.67827703]|[60.74018769]
1287|[238.67827703]|[60.74018769]
1288|[238.67827703]|[60.74018769]
1289|[238.67827703]|[60.74018769]
1290|[238.67827703]|[60.74018769]
1291|[239.40725161]|[59.42923534]
1292|[239.40725161]|[59.42923534]
1293|[239.40725161]|[59.42923534]
1294|[239.40725161]|[59.42923534]
1295|[239.40725161]|[59.42923534]
1296|[239.40725161]|[59.42923534]
1297|[239.40725161]|[59.42923534]
1298|[239.40725161]|[59.42923534]
1299|[239.40725161]|[59.42923534]
1300|[239.40725161]|[59.42923534]
1301|[239.40725161]|[59.42923534]
1302|[239.40725161]|[59.42923534]
1303|[239.40725161]|[59.42923534]
1304|[239.40725161]|[59.42923534]
1305|[239.40725161]|[59.42923534]
1306|[239.40725161]|[59.42923534]
1307|[239.40725161]|[59.42923534]
1308|[239.40725161]|[59.42923534]
1309|[239.40725161]|[59.42923534]
1310|[239.82460025]|[57.98846467]
1311|[239.82460025]|[57.98846467]
1312|[239.82460025]|[57.98846467]
1313|[239.82460025]|[57.98846467]
1314|[240.20328995]|[56.5370536]
1315|[240.20328995]|[56.5370536]
1316|[240.20328995]|[56.5370536]
1317|[240.50868262]|[55.06847084]
1318|[240.77749623]|[53.59275432]
1319|[240.77749623]|[53.59275432]
1320|[240.77749623]|[53.59275432]
1321|[240.77749623]|[53.59275432]
1322|[241.08617879]|[52.12485954]
1323|[241.08617879]|[52.12485954]
1324|[241.37566785]|[50.65305926]
1325|[241.37566785]|[50.65305926]
1326|[241.58935838]|[49.16835849]
1327|[241.58935838]|[49.16835849]
1328|[241.83894445]|[47.68926864]
1329|[241.83894445]|[47.68926864]
1330|[241.83894445]|[47.68926864]
1331|[242.02378401]|[46.20070076]
1332|[242.17254406]|[44.7080955]
1333|[242.17254406]|[44.7080955]
1334|[242.24000669]|[43.20961334]
1335|[242.24000669]|[43.20961334]
1336|[242.37572628]|[41.71576589]
1337|[242.56882527]|[40.22824689]
1338|[242.56882527]|[40.22824689]
1339|[242.56882527]|[40.22824689]
1340|[242.6987123]|[38.73388102]
1341|[242.6987123]|[38.73388102]
1342|[242.6987123]|[38.73388102]
1343|[242.71818097]|[37.23400737]
1344|[242.71818097]|[37.23400737]
1345|[242.71818097]|[37.23400737]
1346|[242.71818097]|[37.23400737]
1347|[242.89178679]|[35.74408757]
1348|[242.89178679]|[35.74408757]
1349|[242.93773062]|[34.24479134]
1350|[242.93773062]|[34.24479134]
1351|[242.85693037]|[32.74696915]
1352|[242.85693037]|[32.74696915]
1353|[242.69402736]|[31.25584119]
1354|[242.48338843]|[29.77070441]
1355|[242.48338843]|[29.77070441]
1356|[242.48338843]|[29.77070441]
1357|[242.54582989]|[28.27200462]
1358|[242.60172584]|[26.77304643]
1359|[242.60172584]|[26.77304643]
1360|[242.60172584]|[26.77304643]
1361|[242.55131632]|[25.27389371]
1362|[242.23805484]|[23.8069693]
1363|[242.23805484]|[23.8069693]
1364|[242.23805484]|[23.8069693]
1365|[242.11071402]|[22.3123843]
1366|[242.11071402]|[22.3123843]
1367|[241.96767965]|[20.81921948]
1368|[241.96767965]|[20.81921948]
1369|[241.68829399]|[19.34546793]
1370|[241.37355705]|[17.87885937]
1371|[241.37355705]|[17.87885937]
1372|[240.86433608]|[16.46793981]
1373|[240.86433608]|[16.46793981]
1374|[240.86433608]|[16.46793981]
1375|[240.29335745]|[15.08086252]
1376|[240.29335745]|[15.08086252]
1377|[240.29335745]|[15.08086252]
1378|[240.01816495]|[13.60632222]
1379|[239.830876]|[12.11806054]
1380|[239.830876]|[12.11806054]
1381|[239.830876]|[12.11806054]
1382|[239.8195052]|[10.61810364]
1383|[239.8195052]|[10.61810364]
1384|[239.8195052]|[10.61810364]
1385|[239.8195052]|[10.61810364]
1386|[239.8195052]|[10.61810364]
1387|[239.01087842]|[9.35472613]
1388|[238.13627136]|[8.13609473]
1389|[237.03880751]|[7.11356203]
1390|[237.03880751]|[7.11356203]
1391|[237.03880751]|[7.11356203]
1392|[235.78317673]|[6.29295778]
1393|[234.44041549]|[5.62438299]
1394|[234.44041549]|[5.62438299]
1395|[233.03410555]|[5.10256658]
1396|[233.03410555]|[5.10256658]
1397|[231.56561419]|[4.79673475]
1398|[231.56561419]|[5.79673475]
1399|[231.56561419]|[5.79673475]
1400|[231.56561419]|[5.79673475]
1401|[230.11624359]|[5.41030898]
1402|[228.64977803]|[5.09490647]
1403|[227.18871758]|[4.75534446]
1404|[225.74662636]|[5.34258189]
1405|[225.74662636]|[5.34258189]
1406|[225.74662636]|[5.34258189]
1407|[224.25730843]|[5.16388639]
1408|[222.76020512]|[5.07071087]
1409|[222.76020512]|[5.07071087]
1410|[221.28167473]|[5.32359009]
1411|[221.28167473]|[5.32359009]
1412|[219.99960118]|[6.10223468]
1413|[219.99960118]|[6.10223468]
1414|[218.6734463]|[6.80317209]
1415|[218.6734463]|[6.80317209]
1416|[217.35249044]|[7.51385881]
1417|[216.08610815]|[8.31777166]
1418|[216.08610815]|[8.31777166]
1419|[216.08610815]|[8.31777166]
1420|[215.05801977]|[9.41003276]
1421|[214.02253207]|[10.49528167]
1422|[214.02253207]|[10.49528167]
1423|[213.88211807]|[11.98869518]
1424|[213.14742647]|[13.29645214]
1425|[213.14742647]|[13.29645214]
1426|[214.16950549]|[14.39433852]
1427|[214.16950549]|[14.39433852]
1428|[215.11300928]|[15.5604434]
1429|[215.11300928]|[15.5604434]
1430|[214.12757236]|[16.69133424]
1431|[214.12757236]|[16.69133424]
1432|[214.12757236]|[16.69133424]
1433|[214.1222477]|[18.19132479]
1434|[214.1222477]|[18.19132479]
1435|[213.6922786]|[19.62837961]
1436|[214.09490742]|[21.07333291]
1437|[214.79954415]|[22.3975259]
1438|[214.79954415]|[22.3975259]
1439|[213.41673744]|[22.97877077]
1440|[213.41673744]|[22.97877077]
1441|[211.98277687]|[23.41894924]
1442|[210.5265153]|[23.77853541]
1443|[210.5265153]|[23.77853541]
1444|[209.06737436]|[24.12625329]
1445|[209.06737436]|[24.12625329]
1446|[207.81405906]|[24.95038966]
1447|[206.64550779]|[25.89086185]
1448|[206.64550779]|[25.89086185]
1449|[206.06636356]|[27.27454966]
1450|[206.06636356]|[27.27454966]
1451|[206.97816414]|[28.46560789]
1452|[206.97816414]|[28.46560789]
1453|[207.9588133]|[29.60065293]
1454|[207.9588133]|[29.60065293]
1455|[208.7367103]|[30.88318022]
1456|[209.46537524]|[32.1943047]
1457|[209.46537524]|[32.1943047]
1458|[210.26641262]|[33.46250781]
1459|[210.91368826]|[34.81566495]
1460|[210.91368826]|[34.81566495]
1461|[210.91368826]|[34.81566495]
1462|[211.14002934]|[36.29848986]
1463|[211.74474681]|[37.67119404]
1464|[211.74474681]|[37.67119404]
1465|[211.74474681]|[37.67119404]
1466|[212.4197773]|[39.01072151]
1467|[212.4197773]|[39.01072151]
1468|[213.42720429]|[40.12206793]
1469|[213.42720429]|[40.12206793]
1470|[213.97398917]|[41.51885936]
1471|[213.97398917]|[41.51885936]
1472|[214.00905577]|[43.01844941]
1473|[213.91322608]|[44.51538518]
1474|[213.91322608]|[44.51538518]
1475|[212.41428526]|[44.57174481]
1476|[210.92237853]|[44.72735424]
1477|[209.44013863]|[44.95749525]
1478|[207.98114958]|[45.30584987]
1479|[207.01966484]|[46.45717394]
1480|[207.01966484]|[46.45717394]
1481|[206.61024131]|[47.90021669]
1482|[206.20080924]|[49.34325701]
1483|[206.20080924]|[49.34325701]
1484|[206.20080924]|[49.34325701]
1485|[206.20080924]|[49.34325701]
1486|[205.79130343]|[50.78627641]
1487|[205.38179592]|[52.22929533]
1488|[205.38179592]|[52.22929533]
1489|[204.97226811]|[53.67230849]
1490|[204.97226811]|[53.67230849]
1491|[204.56202198]|[55.11511759]
1492|[204.15176837]|[56.55792457]
1493|[204.15176837]|[56.55792457]
1494|[204.15176837]|[56.55792457]
1495|[203.74147134]|[58.0007192]
1496|[203.74147134]|[58.0007192]
1497|[203.33114438]|[59.44350532]
1498|[203.33114438]|[59.44350532]
1499|[202.92078668]|[60.8862827]
1500|[202.92078668]|[60.8862827]
1501|[202.50127532]|[62.32642513]
1502|[202.50127532]|[62.32642513]
1503|[202.50127532]|[62.32642513]
1504|[202.08165266]|[63.76653513]
1505|[201.66200558]|[65.20663802]
1506|[201.24232598]|[66.64673143]
1507|[200.82017256]|[68.0861016]
1508|[200.40216893]|[69.52668237]
1509|[199.98583952]|[70.96774789]
1510|[199.57016852]|[72.40900346]
1511|[199.1547301]|[73.85032609]
1512|[198.73935906]|[75.29166814]
1513|[198.32398016]|[76.73300792]
