|dog_x_positions|dog_y_positions
177|[94.81921564]|[64.0695706]
178|[95.14168562]|[62.60464292]
179|[95.4859829]|[61.14469107]
180|[95.4859829]|[61.14469107]
181|[95.91831079]|[59.70834411]
182|[95.91831079]|[59.70834411]
183|[95.91831079]|[59.70834411]
184|[96.46337063]|[58.31087863]
185|[96.46337063]|[58.31087863]
186|[97.03776233]|[56.92521122]
187|[97.59694778]|[55.53333779]
188|[97.59694778]|[55.53333779]
189|[97.59694778]|[55.53333779]
190|[97.59694778]|[55.53333779]
191|[97.59694778]|[55.53333779]
192|[97.84868448]|[54.05461245]
193|[97.84868448]|[54.05461245]
194|[97.8414337]|[52.55462998]
195|[97.89160622]|[51.05546931]
196|[97.89160622]|[51.05546931]
197|[98.15522964]|[49.57881678]
198|[98.15522964]|[49.57881678]
199|[98.15522964]|[49.57881678]
200|[98.15522964]|[49.57881678]
201|[98.15522964]|[49.57881678]
202|[98.63147994]|[48.15642947]
203|[99.15442036]|[46.75053711]
204|[99.15442036]|[46.75053711]
205|[99.87979952]|[45.43759192]
206|[100.54273792]|[44.09203899]
207|[101.15116537]|[42.72097516]
208|[101.15116537]|[42.72097516]
209|[101.77130478]|[41.35516876]
210|[101.77130478]|[41.35516876]
211|[102.60903519]|[40.11089879]
212|[103.4737333]|[38.88521646]
213|[103.4737333]|[38.88521646]
214|[103.4737333]|[38.88521646]
215|[104.37977765]|[37.6897736]
216|[104.37977765]|[37.6897736]
217|[105.5097239]|[36.70325372]
218|[105.5097239]|[36.70325372]
219|[106.66300761]|[35.74412042]
220|[107.84363269]|[34.81885051]
221|[107.84363269]|[34.81885051]
222|[109.00009283]|[33.86354953]
223|[109.00009283]|[33.86354953]
224|[109.00009283]|[33.86354953]
225|[110.35875194]|[33.22790386]
226|[111.73569053]|[32.63289115]
227|[111.73569053]|[32.63289115]
228|[113.04973367]|[31.90950287]
229|[114.4094375]|[31.27609501]
230|[115.78884494]|[30.68682843]
231|[117.17506896]|[30.11378133]
232|[117.17506896]|[30.11378133]
233|[118.66190966]|[29.91552717]
234|[120.15989114]|[29.83773572]
235|[120.15989114]|[29.83773572]
236|[121.64432419]|[30.05327807]
237|[123.09579652]|[30.43173291]
238|[123.09579652]|[30.43173291]
239|[124.24384499]|[31.39712646]
240|[124.24384499]|[31.39712646]
241|[125.43798341]|[32.30488933]
242|[126.55362962]|[33.30755256]
243|[126.55362962]|[33.30755256]
244|[127.14823366]|[34.68466767]
245|[127.14823366]|[34.68466767]
246|[126.1101529]|[35.7674365]
247|[125.1192467]|[36.89353813]
248|[124.22853914]|[38.10045157]
249|[124.22853914]|[38.10045157]
250|[123.50800013]|[39.41605924]
251|[123.50800013]|[39.41605924]
252|[123.51421455]|[40.91604636]
253|[123.52041805]|[42.41603354]
254|[123.52041805]|[42.41603354]
255|[123.52041805]|[42.41603354]
256|[123.52653579]|[43.91602106]
257|[123.53264263]|[45.41600863]
258|[123.53264263]|[45.41600863]
259|[123.53264263]|[45.41600863]
260|[123.53867095]|[46.91599652]
261|[123.54468684]|[48.41598445]
262|[123.55068148]|[49.91597247]
263|[123.55068148]|[49.91597247]
264|[123.55659955]|[51.4159608]
265|[123.55659955]|[51.4159608]
266|[123.56244489]|[52.91594941]
267|[123.56244489]|[52.91594941]
268|[123.56821646]|[54.41593831]
269|[123.5739659]|[55.91592729]
270|[123.57967976]|[57.4159164]
271|[123.58535703]|[58.91590566]
272|[123.59728028]|[60.41585827]
273|[123.61172834]|[61.91578869]
274|[123.62718241]|[63.41570908]
275|[123.64302085]|[64.91562546]
276|[123.65899054]|[66.41554044]
277|[123.67499715]|[67.91545504]
278|[123.69099711]|[69.4153697]
279|[123.70697447]|[70.91528461]
280|[123.72292348]|[72.41519981]
281|[123.73884728]|[73.91511529]
282|[123.75474309]|[75.41503106]
283|[123.7706099]|[76.91494714]
284|[123.78644526]|[78.41486355]
285|[123.80225625]|[79.91478022]
286|[123.81804139]|[81.41469716]
287|[123.83380326]|[82.91461435]
288|[123.84953282]|[84.41453187]
289|[123.86522852]|[85.91444975]
290|[123.88089189]|[87.41436797]
291|[123.89652935]|[88.91428646]
292|[123.9116434]|[90.41421031]
293|[123.92651758]|[91.91413656]
294|[123.94126085]|[93.4140641]
295|[123.955929]|[94.91399238]
296|[123.97054108]|[96.41392121]
297|[123.98509978]|[97.91385056]
298|[123.99960567]|[99.41378042]
299|[124.01405549]|[100.91371081]
300|[124.02845009]|[102.41364175]
301|[124.04279522]|[103.91357315]
302|[124.05709037]|[105.41350503]
303|[124.07133256]|[106.91343742]
304|[124.08552771]|[108.41337025]
305|[124.09967212]|[109.91330356]
306|[124.11377203]|[111.41323729]
307|[124.12782237]|[112.91317148]
308|[124.14182774]|[114.4131061]
309|[124.15578677]|[115.91304114]
310|[124.1697058]|[117.41297656]
311|[124.1835912]|[118.91291229]
312|[124.19744751]|[120.41284829]
313|[124.21128212]|[121.91278449]
314|[124.22510188]|[123.41272083]
315|[124.23891162]|[124.91265726]
316|[124.25271224]|[126.41259377]
317|[124.26650553]|[127.91253035]
318|[124.2802963]|[129.41246695]
319|[124.29408914]|[130.91240354]
320|[124.30788319]|[132.41234011]
321|[124.32167656]|[133.91227669]
322|[124.33546692]|[135.4122133]
323|[124.34924539]|[136.91215002]
324|[124.36301291]|[138.41208683]
325|[124.37677237]|[139.91202372]
326|[124.39051568]|[141.41196076]
327|[124.40424276]|[142.91189795]
328|[124.41796566]|[144.41183518]
329|[124.4316622]|[145.91177264]
330|[124.44531544]|[147.41171051]
331|[124.45891344]|[148.91164887]
332|[124.47246257]|[150.41158768]
333|[124.48595535]|[151.91152699]
334|[124.49939529]|[153.41146678]
335|[124.51275641]|[154.91140727]
336|[124.51456591]|[156.41140618]
337|[124.45515414]|[157.91022913]
338|[124.3734623]|[159.40800296]
339|[124.29805937]|[160.90610656]
340|[124.2132844]|[162.40370905]
341|[124.13378511]|[163.90160085]
342|[124.07264661]|[165.40035436]
343|[124.04037997]|[166.90000728]
344|[124.02891744]|[168.39996348]
345|[124.02300749]|[169.89995184]
346|[124.0322648]|[171.39992327]
347|[124.02849666]|[172.89991854]
348|[124.0255492]|[174.39991564]
349|[124.040123]|[175.89984484]
350|[124.07699238]|[177.39939166]
351|[124.16885548]|[178.89657607]
352|[124.30010472]|[180.39082292]
353|[124.47466547]|[181.88063114]
354|[124.66885882]|[183.36800767]
355|[124.8759186]|[184.85364768]
356|[125.08460726]|[186.33905976]
357|[125.29611665]|[187.82407282]
358|[125.49976148]|[189.31018479]
359|[125.69622247]|[190.79726349]
360|[125.86427943]|[192.28781938]
361|[125.98633513]|[193.78284527]
362|[126.05279404]|[195.28137229]
363|[126.06122921]|[196.78134857]
364|[126.07389595]|[198.28129509]
365|[126.12028801]|[199.78057751]
366|[126.1712194]|[201.27971259]
367|[126.25607604]|[202.77731045]
368|[126.32093164]|[204.27590771]
369|[126.42068124]|[205.77258737]
370|[126.58752496]|[207.26327955]
371|[126.86312316]|[208.73774408]
372|[126.90837377]|[210.23706138]
373|[126.8797813]|[211.73678885]
374|[126.74415403]|[213.23064468]
375|[126.74415403]|[213.23064468]
376|[127.3667111]|[214.59535076]
377|[127.3667111]|[214.59535076]
378|[127.9363509]|[215.98297841]
379|[127.9363509]|[215.98297841]
380|[128.60549665]|[217.32545522]
381|[128.60549665]|[217.32545522]
382|[128.60549665]|[217.32545522]
383|[128.76258663]|[218.81720678]
384|[128.97174977]|[220.30255212]
385|[128.97174977]|[220.30255212]
386|[128.97174977]|[220.30255212]
387|[129.58373608]|[221.67203113]
388|[129.58373608]|[221.67203113]
389|[130.24877041]|[223.01654939]
390|[130.94458126]|[224.34540125]
391|[130.94458126]|[224.34540125]
392|[130.94458126]|[224.34540125]
393|[131.807406]|[225.57240307]
394|[131.807406]|[225.57240307]
395|[131.807406]|[225.57240307]
396|[132.73462284]|[226.75149973]
397|[132.73462284]|[226.75149973]
398|[133.37074531]|[228.10993567]
399|[134.06962401]|[229.43717662]
400|[134.06962401]|[229.43717662]
401|[134.93423832]|[230.66291807]
402|[135.73653787]|[231.93032307]
403|[136.57903994]|[233.17136709]
404|[136.57903994]|[233.17136709]
405|[137.61742757]|[234.25384163]
406|[137.61742757]|[234.25384163]
407|[138.86541628]|[235.08602202]
408|[140.1687975]|[235.8284487]
409|[140.1687975]|[235.8284487]
410|[141.5784681]|[236.34111703]
