|X_Positions|Y_Positions
0|[20.02387492]|[178.75588838]
1|[21.522899]|[178.70178843]
2|[22.94274072]|[178.21800183]
3|[24.29589229]|[177.57071455]
4|[25.61659779]|[176.85956267]
5|[26.92326937]|[176.12294242]
6|[28.22410279]|[175.37606063]
7|[29.52254273]|[174.62502552]
8|[30.820007]|[173.87230614]
9|[32.11707445]|[173.11890318]
10|[33.41398064]|[172.36522266]
11|[34.71082134]|[171.61142944]
12|[36.00763542]|[170.85759045]
13|[37.3044387]|[170.10373286]
14|[38.60123727]|[169.34986719]
15|[39.89803333]|[168.59599718]
16|[41.19482716]|[167.84212334]
17|[42.49161895]|[167.088246]
18|[43.78840917]|[166.33436595]
19|[45.08519721]|[165.58048215]
20|[46.38198314]|[164.82659472]
21|[47.67876688]|[164.07270354]
22|[48.97554767]|[163.31880727]
23|[50.27232426]|[162.56490377]
24|[51.56909593]|[161.81099183]
25|[52.86586275]|[161.05707151]
26|[54.16262387]|[160.30314143]
27|[55.45937881]|[159.54920069]
28|[56.75612668]|[158.7952478]
29|[58.05286795]|[158.04128356]
30|[59.34960185]|[157.28730664]
31|[60.64632699]|[156.53331466]
32|[61.94304327]|[155.77930744]
33|[63.2397512]|[155.02528586]
34|[64.53645065]|[154.27124969]
35|[65.83314087]|[153.51719766]
36|[67.12982093]|[152.76312815]
37|[68.42649075]|[152.00904103]
38|[69.72315107]|[151.25493758]
39|[71.01980053]|[150.50081545]
40|[72.31644056]|[149.74667712]
41|[73.61307234]|[148.99252459]
42|[74.90969628]|[148.2383586]
43|[76.20631261]|[147.4841795]
44|[77.50291989]|[146.72998486]
45|[78.79951908]|[145.9757763]
46|[80.09610968]|[145.22155299]
47|[81.39269132]|[144.46731428]
48|[82.68926177]|[143.71305631]
49|[83.98581879]|[142.95877526]
50|[85.28236263]|[142.20447157]
51|[86.5788922]|[141.45014333]
52|[87.87540792]|[140.69579131]
53|[89.17191001]|[139.94141586]
54|[90.46839662]|[139.18701378]
55|[91.76486674]|[138.43258339]
56|[93.06132263]|[137.67812854]
57|[94.35776449]|[136.92364958]
58|[95.65419277]|[136.16914727]
59|[96.95060794]|[135.41462245]
60|[98.24701002]|[134.66007514]
61|[99.54339728]|[133.90550236]
62|[99.79340762]|[132.42648416]
63|[99.54388011]|[130.94738443]
64|[99.09482386]|[129.51617917]
65|[98.56562417]|[128.11263092]
66|[98.00372981]|[126.72184887]
67|[97.42834956]|[125.33659165]
68|[96.84735126]|[123.95368132]
69|[96.26399253]|[122.57176504]
70|[95.67961964]|[121.19027732]
71|[95.09479792]|[119.80897954]
72|[94.50976216]|[118.4277724]
73|[93.92460975]|[117.04661468]
74|[93.35841417]|[115.65757812]
75|[92.81979745]|[114.25761668]
76|[92.31107706]|[112.84651656]
77|[91.83587229]|[111.42377961]
78|[91.39682816]|[109.98947132]
79|[90.99347355]|[108.54472046]
80|[90.62442112]|[107.09082902]
81|[90.29229144]|[105.62806114]
82|[89.99896355]|[104.15702112]
83|[89.7463897]|[102.67843854]
