|X_Positions|Y_Positions
929|[739.01948748]|[711.56355562]
930|[739.01948748]|[711.56355562]
931|[739.01948748]|[711.56355562]
932|[739.01948748]|[711.56355562]
933|[739.01948748]|[711.56355562]
934|[739.01948748]|[711.56355562]
935|[739.01948748]|[711.56355562]
936|[739.01948748]|[711.56355562]
937|[739.01948748]|[711.56355562]
938|[739.01948748]|[711.56355562]
939|[739.01948748]|[711.56355562]
940|[739.01948748]|[711.56355562]
941|[739.01948748]|[711.56355562]
942|[739.01948748]|[711.56355562]
943|[739.01948748]|[711.56355562]
944|[739.01948748]|[711.56355562]
945|[739.01948748]|[711.56355562]
946|[739.01948748]|[711.56355562]
947|[739.01948748]|[711.56355562]
948|[739.01948748]|[711.56355562]
949|[739.01948748]|[711.56355562]
950|[739.01948748]|[711.56355562]
951|[739.01948748]|[711.56355562]
952|[739.01948748]|[711.56355562]
953|[739.01948748]|[711.56355562]
954|[739.01948748]|[711.56355562]
955|[739.01948748]|[711.56355562]
956|[739.01948748]|[711.56355562]
957|[739.01948748]|[711.56355562]
958|[739.01948748]|[711.56355562]
959|[739.01948748]|[711.56355562]
960|[739.01948748]|[711.56355562]
961|[739.01948748]|[711.56355562]
962|[739.01948748]|[711.56355562]
963|[739.01948748]|[711.56355562]
964|[739.01948748]|[711.56355562]
965|[739.01948748]|[711.56355562]
966|[739.01948748]|[711.56355562]
967|[739.01948748]|[711.56355562]
968|[739.01948748]|[711.56355562]
969|[739.01948748]|[711.56355562]
970|[739.01948748]|[711.56355562]
971|[739.01948748]|[711.56355562]
972|[739.01948748]|[711.56355562]
973|[739.01948748]|[711.56355562]
974|[739.01948748]|[711.56355562]
975|[739.01948748]|[711.56355562]
976|[739.01948748]|[711.56355562]
977|[739.01948748]|[711.56355562]
978|[739.01948748]|[711.56355562]
979|[739.01948748]|[711.56355562]
980|[739.01948748]|[711.56355562]
981|[739.01948748]|[711.56355562]
982|[739.01948748]|[711.56355562]
983|[739.01948748]|[711.56355562]
984|[739.01948748]|[711.56355562]
