|X_Positions|Y_Positions
177|[87.91397432]|[118.32485684]
178|[87.87150127]|[116.82545828]
179|[87.82900648]|[115.32606034]
180|[87.78647596]|[113.82666341]
181|[88.00950495]|[115.3099901]
182|[88.15893033]|[116.80252889]
183|[88.2780953]|[118.29778797]
184|[88.32292189]|[116.79845793]
185|[88.2993604]|[115.29864299]
186|[88.24725029]|[113.79954841]
187|[88.18320389]|[112.30091635]
188|[88.11414185]|[110.80250705]
189|[88.04296066]|[109.30419692]
190|[88.22315067]|[110.79333478]
191|[88.35882961]|[112.28718592]
192|[88.47625078]|[113.78258295]
193|[88.58619005]|[115.27854864]
194|[88.6930644]|[116.77473642]
195|[88.79868471]|[118.27101325]
196|[88.9037904]|[119.76732632]
197|[89.00869002]|[121.26365385]
198|[89.11350619]|[122.75998722]
199|[89.21829601]|[124.25632244]
200|[89.32307545]|[125.75265839]
201|[89.42784671]|[127.24899491]
202|[89.53261722]|[128.74533148]
203|[89.63738432]|[130.2416683]
204|[89.74215204]|[131.73800506]
205|[89.84691244]|[133.23434234]
206|[89.95166864]|[134.73067992]
207|[90.05641554]|[136.22701815]
208|[90.16114858]|[137.72335734]
209|[90.26587347]|[139.21969711]
210|[90.37059724]|[140.71603695]
211|[90.47531503]|[142.21237722]
212|[90.58002828]|[143.7087178]
213|[90.68474272]|[145.2050583]
214|[90.78946519]|[146.70139823]
215|[90.89418374]|[148.19773844]
216|[90.99890215]|[149.69407866]
217|[91.10361936]|[151.19041897]
218|[91.20834029]|[152.68675901]
219|[91.31306847]|[154.18309855]
220|[91.41779053]|[155.67943851]
221|[91.52251208]|[157.17577851]
222|[91.62723016]|[158.67211876]
223|[91.73194199]|[160.16845944]
224|[91.83663628]|[161.66480135]
225|[91.94132248]|[163.16114382]
226|[92.04600701]|[164.65748641]
227|[92.15067161]|[166.1538304]
228|[92.25530581]|[167.65017651]
229|[92.35991317]|[169.14652449]
230|[92.46449166]|[170.6428745]
231|[92.56902339]|[172.13922777]
232|[92.69183836]|[173.63419148]
233|[92.8457985]|[175.12626932]
234|[93.03737743]|[176.61398485]
235|[93.16930418]|[175.11979767]
236|[93.16932076]|[173.61979767]
237|[93.11534344]|[172.12076917]
238|[93.03928933]|[170.62269849]
239|[92.95420439]|[169.12511358]
240|[92.8654202]|[167.62774343]
241|[92.77512171]|[166.13046384]
242|[92.68419914]|[164.63322201]
243|[92.59301977]|[163.1359958]
244|[92.50173758]|[161.63877586]
245|[92.41041309]|[160.14155849]
246|[92.31907564]|[158.64434192]
247|[92.22773308]|[157.14712565]
248|[92.13639004]|[155.64990942]
249|[92.04504377]|[154.15269338]
250|[91.95369626]|[152.65547742]
251|[91.86235327]|[151.15826119]
252|[91.77100644]|[149.66104519]
253|[91.67965638]|[148.16382938]
254|[91.58830478]|[146.66661367]
255|[91.4969526]|[145.16939799]
256|[91.40559941]|[143.67218238]
257|[91.31424746]|[142.17496669]
258|[91.22289524]|[140.67775102]
259|[91.13153999]|[139.18053553]
260|[91.04018362]|[137.68332011]
261|[90.94881829]|[136.18610524]
262|[90.85745072]|[134.6888905]
263|[90.76609071]|[133.1916753]
264|[90.67473201]|[131.69446002]
265|[90.58337213]|[130.19724482]
266|[90.49201189]|[128.70002963]
267|[90.40065116]|[127.20281448]
268|[90.30928735]|[125.70559952]
269|[90.21792241]|[124.20838462]
270|[90.12655762]|[122.71116971]
271|[90.03518823]|[121.21395509]
272|[89.94381875]|[119.71674047]
273|[89.85244147]|[118.21952632]
274|[89.76104754]|[116.72231319]
275|[89.69134778]|[115.22393342]
276|[89.63070949]|[113.72515959]
277|[89.57385922]|[112.2262373]
278|[89.5185943]|[110.72725571]
279|[89.46400505]|[109.22824937]
280|[89.40968255]|[107.72923334]
281|[89.37724577]|[106.22958409]
282|[89.3759683]|[104.72958464]
283|[89.38170963]|[103.22959562]
284|[89.40825647]|[101.72983055]
285|[89.47015353]|[100.23110818]
286|[89.51686001]|[98.73183552]
287|[89.53855846]|[97.23199247]
288|[89.56047058]|[95.73215253]
289|[89.60306011]|[94.23275727]
290|[89.67501466]|[92.73448408]
291|[89.75091137]|[91.23640542]
292|[89.79723795]|[89.73712097]
293|[89.8505274]|[88.23806786]
294|[89.88651332]|[86.73849958]
295|[89.93988532]|[85.23944941]
296|[90.0910375]|[83.7470845]
297|[90.27027288]|[82.25783144]
298|[90.46337085]|[80.77031231]
299|[90.60514523]|[79.27702733]
300|[90.84162818]|[77.79578602]
301|[91.10006548]|[76.31821702]
302|[91.38062151]|[74.84468781]
303|[91.68895105]|[73.37671884]
304|[91.95554339]|[71.90059943]
305|[92.25542184]|[70.43088078]
306|[92.53367348]|[68.95691469]
307|[92.9167396]|[67.50665253]
308|[93.34313769]|[66.06853408]
309|[93.78237584]|[64.6342852]
310|[94.21390043]|[63.19769669]
311|[94.62224785]|[61.75434907]
312|[95.04512713]|[60.31519198]
313|[95.5370048]|[58.89813293]
314|[95.5370048]|[58.89813293]
315|[95.88054046]|[57.43800168]
316|[96.20438293]|[55.9733768]
317|[96.20438293]|[55.9733768]
318|[96.62054017]|[54.53226155]
319|[97.1180305]|[53.11716319]
320|[97.74496692]|[51.7544634]
321|[97.74496692]|[51.7544634]
322|[97.74496692]|[51.7544634]
323|[98.76940028]|[50.65877352]
324|[99.84625317]|[49.61455714]
325|[101.01269134]|[48.67146543]
326|[102.21869764]|[47.77952999]
327|[102.21869764]|[47.77952999]
328|[103.54800691]|[47.08459341]
329|[103.54800691]|[47.08459341]
330|[105.0226695]|[46.810057]
331|[106.51489116]|[46.65749707]
332|[106.51489116]|[46.65749707]
333|[108.01488334]|[46.65265499]
334|[109.51009458]|[46.77241868]
335|[109.51009458]|[46.77241868]
336|[110.94433105]|[47.21169735]
337|[110.94433105]|[47.21169735]
338|[112.19954884]|[48.03293319]
339|[113.46267759]|[48.8419485]
340|[113.46267759]|[48.8419485]
341|[113.5708999]|[50.33803938]
342|[113.5708999]|[50.33803938]
343|[113.5708999]|[50.33803938]
344|[113.44286916]|[51.83256544]
345|[113.31483203]|[53.32709094]
346|[113.31483203]|[53.32709094]
347|[113.18677496]|[54.82161474]
348|[113.05871173]|[56.31613801]
349|[112.93064064]|[57.81066061]
350|[112.80255627]|[59.30518207]
351|[112.67445354]|[60.79970196]
352|[112.54633775]|[62.29422073]
353|[112.41820991]|[63.78873846]
354|[112.29006955]|[65.28325512]
355|[112.16191226]|[66.77777033]
356|[112.03373893]|[68.27228416]
357|[111.90555525]|[69.76679711]
358|[111.77735938]|[71.26130901]
359|[111.64914889]|[72.75581965]
360|[111.5209192]|[74.25032865]
361|[111.39267366]|[75.74483629]
362|[111.2644119]|[77.23934254]
363|[111.13613445]|[78.73384744]
364|[111.00783494]|[80.22835044]
365|[110.87701596]|[81.72263502]
366|[110.74515943]|[83.2168284]
367|[110.61286713]|[84.71098326]
368|[110.48038287]|[86.20512111]
369|[110.347812]|[87.69925128]
370|[110.21519369]|[89.19337724]
371|[110.08255088]|[90.68750103]
372|[109.94988287]|[92.18162257]
373|[109.81718778]|[93.67574172]
374|[109.68447197]|[95.16985902]
375|[109.55173706]|[96.66397462]
376|[109.41897631]|[98.15808794]
377|[109.28618864]|[99.65219885]
378|[109.15337268]|[101.14630726]
379|[109.02053331]|[102.64041358]
380|[108.88767145]|[104.1345179]
381|[108.75478759]|[105.62862027]
382|[108.62187726]|[107.12272028]
383|[108.48892782]|[108.61681681]
384|[108.35594202]|[110.11091011]
385|[108.22291629]|[111.60499985]
386|[108.08985889]|[113.09908677]
387|[107.95677589]|[114.59317141]
388|[107.82365699]|[116.08725285]
389|[107.69050514]|[117.58133136]
390|[107.55731198]|[119.07540618]
391|[107.42408397]|[120.5694779]
392|[107.29082195]|[122.06354659]
393|[107.15751742]|[123.55761148]
394|[107.02417154]|[125.05167268]
395|[106.89078931]|[126.54573064]
