,flock_gcm,avg_sheep_dist_from_gcm,furthest_sheep_from_gcm
0,"[126.63901378280003, 125.02547222053332]",54.88724865601147,90.65421464784725
1,"[126.62763938480003, 125.05288007573334]",54.85663465265556,90.63813650736907
2,"[126.59725267693338, 125.10996985986668]",54.84124489974348,90.60847872580776
3,"[126.59234481613336, 125.1089912166667]",54.790069411589634,90.61207719828057
4,"[126.58494006066668, 125.15265448213337]",54.78157802313052,90.58040044517669
5,"[126.58786404546667, 125.1815078108]",54.73562256428742,90.55502020266796
6,"[126.59174579613335, 125.2229261613333]",54.71093398470372,90.51877103152147
7,"[126.60778816160001, 125.24632256586668]",54.692528430287034,90.49040332851735
8,"[126.60582284146665, 125.28109889733334]",54.68847140712922,90.46294908808177
9,"[126.57588725960001, 125.29760756946663]",54.680781107715994,90.46645744085671
10,"[126.58490661786668, 125.32979324479997]",54.66986825061837,90.43487694030956
11,"[126.55601187533338, 125.34925060199998]",54.65548497439761,90.43538694159578
12,"[126.52490965173337, 125.3675844932]",54.64087754351932,90.43809330649783
13,"[126.50372860800005, 125.39979869186668]",54.62290556977106,90.4237538528687
14,"[126.49375458906671, 125.43808943919997]",54.564466954017604,90.39803560607028
15,"[126.49764330173338, 125.46944391386666]",54.531287972018625,90.37008881448999
16,"[126.49760647293338, 125.50050158973332]",54.5107574752143,90.3446332932095
17,"[126.48408441840004, 125.53926965293334]",54.48067795942994,90.32057501866933
18,"[126.47576056640006, 125.57746510693333]",54.43264159494822,90.29402196431248
19,"[126.45126329013338, 125.59882247440001]",54.384566866074465,90.29054450652266
20,"[126.43060445986671, 125.60902973280002]",54.32538657403649,90.29401590258391
21,"[126.42403586080005, 125.61332797946667]",54.302309660399864,90.29425814817982
22,"[126.37503831306668, 125.61486158573334]",54.267008154119615,89.41086820259532
23,"[126.33821913240003, 125.66498881693333]",54.257675231114305,89.3912122038855
24,"[126.33072379413338, 125.69069638426667]",54.257750488888256,89.37456426263364
25,"[126.29015372693335, 125.73882065653333]",54.22029282281733,89.35876490589662
26,"[126.25832989946667, 125.78114443413337]",54.183869280958675,89.34267123282814
27,"[126.22716218600002, 125.80647349173334]",54.13733853415176,89.34007668935388
28,"[126.20241049066667, 125.82655726533335]",54.10422228891839,89.33805446011502
29,"[126.18257109253332, 125.84607150120003]",54.077381445662695,89.3336585737762
30,"[126.1499617928, 125.89572940533336]",54.05810896514936,89.31213316680847
31,"[126.11929665719998, 125.90855470866666]",54.03499070798272,89.31949498589525
32,"[126.07694109133332, 125.95664206053334]",54.01223674892957,89.30496729987802
33,"[126.03309594653334, 126.00898828439999]",54.0033864534956,90.18822955270194
34,"[125.9717266033333, 126.04647673839999]",53.940417623324166,90.19313449840267
35,"[125.98782148693331, 126.09746289533335]",53.879607111495154,90.14223886456315
36,"[125.92020845346664, 126.1309360938667]",53.844766653154934,90.15410420629901
37,"[125.88716563853333, 126.16650141186668]",53.80501806804369,90.1442765431207
38,"[125.84073791973334, 126.20301858146671]",53.764282809128005,90.14146667982712
39,"[125.83383217173335, 126.23559479400001]",53.714956294082185,90.11895022803849
40,"[125.82402296826666, 126.26271737506669]",53.68741626954995,90.1025662547447
41,"[125.8138506356, 126.31698826653334]",53.63722765701347,90.06430580697831
42,"[125.72233422853334, 126.42448808133332]",53.56763460580662,90.03011918814948
43,"[125.6851405518667, 126.45333001973336]",53.5179884721549,90.0283492040007
44,"[125.60292793666667, 126.52017668586669]",53.466236097412086,90.0220114803219
45,"[125.55040512080001, 126.57957873106668]",53.404249615083764,90.00448011304289
46,"[125.48432070546664, 126.67332570893336]",53.353276933469324,89.9671070687284
47,"[125.45211952320001, 126.73311803426667]",53.281492801264115,90.01719381903466
48,"[125.39755046413336, 126.783273426]",53.19693606489366,90.00937922745298
49,"[125.36344831720002, 126.89486167213335]",53.077341383686274,89.94010669478432
50,"[125.34234500453337, 126.9627261978667]",53.03421940063436,89.89824220458041
51,"[125.23576408213337, 127.01980073413334]",52.96014222873031,89.9161606860748
52,"[125.16502250080002, 127.07685428253336]",52.867379858863615,89.91278759690145
53,"[125.081916178, 127.11119157146668]",52.81809503891445,89.93509972009343
54,"[125.0404185508, 127.16843885560003]",52.75883227260227,89.91419508114436
