,flock_gcm,avg_sheep_dist_from_gcm,furthest_sheep_from_gcm
0,"[125.0170975099, 122.06451391939999]",53.7162545118692,99.38717444982737
1,"[125.00232575459997, 122.03255904449998]",53.75609755372322,99.41936895870852
2,"[124.99767247649997, 122.0249034566]",53.74504689809536,99.42791899641466
3,"[124.99208255109995, 122.06630720310001]",53.73387048798453,99.40477814740025
4,"[124.99829420259994, 122.08744312729999]",53.74102216497006,99.38615989166529
5,"[125.00529042879994, 122.12517756839999]",53.70671253665144,99.35599945533438
6,"[125.01407433229996, 122.16157619280003]",53.69869397603774,99.32538251982332
7,"[125.04414737129993, 122.19767021140004]",53.66952736855476,99.27897044055636
8,"[125.06838812849992, 122.232224504]",53.616534663424424,99.23795808112146
9,"[125.08188220189993, 122.27663408699999]",53.56608297684671,99.19852595822289
10,"[125.11984920049994, 122.3320307814]",53.50974770990881,99.13345500991343
11,"[125.15756411799993, 122.38539205759997]",53.46000268032302,99.06991810549886
12,"[125.17921275699993, 122.44715149379998]",53.385666200855574,99.0129333259674
13,"[125.23389899629996, 122.49626391499994]",53.35266068285959,98.93943645422685
14,"[125.29709763189997, 122.57566763119998]",53.34032498828072,98.83957838501726
15,"[125.35100605779996, 122.6628919435]",53.26210380240299,98.74156370150178
16,"[125.40814309609996, 122.76515359550001]",53.17843029370698,98.6312288298212
17,"[125.4317742611, 122.86621727420003]",53.08553121842576,98.5469318583278
18,"[125.46715807299994, 122.9611990533]",52.99936652905677,98.45781395671051
19,"[125.52523429909998, 123.04895916380002]",52.9337464633463,98.35636049169526
20,"[125.53056134149998, 123.1591633824]",52.87170742821559,98.27994983624004
21,"[125.59025869029998, 123.23712910860002]",52.775331633075204,98.1837333138134
22,"[125.62951714499997, 123.32114169789999]",52.702001958552664,98.09897488241698
23,"[125.6620045009, 123.43897169479999]",52.60933556476074,97.99716678478215
24,"[125.69394765469995, 123.54107559079999]",52.53178382549751,97.90611976292321
25,"[125.71410955269998, 123.64219765959999]",52.47213214869143,97.82465267002253
26,"[125.7497223623, 123.74959036690001]",52.396429408180126,97.72743872812185
27,"[125.79074488639999, 123.86855536669998]",52.334749024544536,97.61859974695876
28,"[125.8413999069, 124.02155748819997]",52.28895923115885,97.48027453970532
29,"[125.87225638209995, 124.16839248279993]",52.2073597071944,97.36104713244951
30,"[125.95583694909999, 124.2784137739]",52.12642279347973,97.22592855399763
31,"[126.00405047679999, 124.3965764519]",52.04727717640145,97.11233130147178
32,"[126.09801124709999, 124.52072656099998]",51.98310528383947,96.96015872066786
33,"[126.19659403600001, 124.63042739319997]",51.93175963948916,96.81390080720539
34,"[126.29660864209998, 124.7708595986]",51.88671720218739,96.64655030459787
35,"[126.38398774770002, 124.90412907830003]",51.83224219298796,96.49347301442695
36,"[126.49451951560005, 125.05105577540002]",51.79065838964115,96.31394654012314
37,"[126.56674960340005, 125.17497639259996]",51.75242111070287,96.17849695094945
38,"[126.67128371970003, 125.33461238240001]",51.71786664206142,95.99530991037808
39,"[126.76786333340002, 125.44391785610001]",51.71843086395959,95.8508808833119
40,"[126.88432186010004, 125.57001138240004]",51.74899293269382,95.68043714882185
41,"[126.94665398379999, 125.68009997790003]",51.79594274659594,95.56156384883174
42,"[127.00903542489999, 125.77501285859995]",51.831245410333,95.45251566207898
43,"[127.06404824670004, 125.88408128379997]",51.86560250389845,95.33991068351014
44,"[127.11784274450002, 126.03884092839999]",51.88159398390557,95.19866094617768
45,"[127.17417705380004, 126.18188472149997]",51.86585660462215,95.0631270722314
46,"[127.23926881500005, 126.35182654359998]",51.88989175568334,94.9035801885236
47,"[127.27215733050004, 126.49577613219998]",51.89375433227972,94.78548758152219
48,"[127.31435081040003, 126.629821712]",51.917578088728554,94.66675445878285
49,"[127.34186845440001, 126.8173601848]",51.898513819187755,93.6392777258866
50,"[127.35897832859999, 127.00357876420001]",51.873601863516484,93.50570964683989
51,"[127.41819311840005, 127.18619575560005]",51.87597020473601,93.34250130980678
52,"[127.4397326314, 127.38232021529998]",51.89353880285875,93.1994859078888
53,"[127.48204123329998, 127.55042656759998]",51.8982414618405,92.46038984011756
54,"[127.50378418930006, 127.71095687859999]",51.94854743943101,92.34139544925601
55,"[127.54502311440001, 127.90039406819999]",51.966032894508935,92.1891100764006
56,"[127.53223386460004, 128.0652351161]",52.001274011907135,92.09435103149067
57,"[127.50787797289999, 128.23285345540003]",52.02331692433364,92.0069872016908
58,"[127.48453408919998, 128.41424555519995]",52.068746282218086,91.91036645117826
59,"[127.45010465059997, 128.60093259279995]",52.14365583037505,91.81927658843111
60,"[127.4471380555, 128.75148619639995]",52.229887561437366,91.72676313071828
61,"[127.40855474030002, 128.90051778809996]",52.30552530667869,91.66307171298253
62,"[127.39642270550002, 129.03106993249997]",52.39258582132802,91.5905769855142
63,"[127.36516014509998, 129.18532576049992]",52.45072093830237,91.51828814155853
64,"[127.33197637570004, 129.32185786989993]",52.49129328339113,91.45878760065055
65,"[127.33278653279999, 129.4819717622]",52.60539448298982,91.35818497800351
66,"[127.38064697619998, 129.57327591369992]",52.688375190873415,91.26383011256655
67,"[127.44851592849994, 129.70713756019995]",52.737715575009126,91.12732886823161
68,"[127.52886754230002, 129.79443740129997]",52.854688809685655,91.2912297360745
69,"[127.54501675050001, 129.90856925039995]",52.973563065339356,91.2083889759734
70,"[127.59988856020001, 130.01460930589997]",53.042887486972724,91.09999474947246
71,"[127.68520427629997, 130.1237016486]",53.13632565033942,90.96570429751635
72,"[127.7519489773, 130.30068338439995]",53.268858367455394,90.80452265647872
73,"[127.82526064510004, 130.46746432339992]",53.36185228342248,91.37252723726354
74,"[127.8917172121, 130.65668576419998]",53.49438464431035,91.2051316685825
75,"[127.96921327930004, 130.82439637809995]",53.61918109031807,91.04205448876647
76,"[128.0544642745, 131.00808356549996]",53.72337051085356,90.86324019617881
77,"[128.1028239658, 131.1913021063]",53.832260925330864,90.71426500336096
78,"[128.11434678440003, 131.37154792659996]",53.90874333787658,90.59667485823664
79,"[128.16118116170003, 131.53828458919995]",54.01779863018204,90.45913395975015
80,"[128.18026613920003, 131.72538776069996]",54.139641738003085,90.33174905398735
81,"[128.20975915090003, 131.87752621319996]",54.236657276526756,90.21712063754879
82,"[128.235520234, 132.03466885419996]",54.37033355401677,90.10262194211636
83,"[128.2560875053, 132.20619692739996]",54.507219596024576,89.98386376684176
84,"[128.27273173869995, 132.38254390579993]",54.624775054422756,89.8655714357978
85,"[128.2878792468, 132.6137655549]",54.78063786482131,89.71613978154635
86,"[128.30208794650002, 132.82783752559996]",54.91120994513904,89.64717649549372
87,"[128.254762388, 132.99049294049996]",55.06081139918966,89.66628634752433
88,"[128.19671337040003, 133.18471658229998]",55.22132378076125,89.8585614348924
89,"[128.1555854413, 133.38017466959994]",55.37346554530699,90.04217761982652
90,"[128.1165492885, 133.58615994579998]",55.51289728365408,89.66823267522295
91,"[128.09823544550002, 133.73893323619998]",55.63383843820148,89.80493872017017
92,"[128.12059207609997, 133.89904880830002]",55.78061773800739,89.92499522045016
93,"[128.1124634672, 134.08136595310003]",55.92635490606884,90.08063453577887
94,"[128.1619134587, 134.21739990460003]",56.04075715169593,90.16583140663856
95,"[128.1933106391, 134.34892500410004]",56.152767369688306,90.25749393484371
96,"[128.23342980500001, 134.41707989180003]",56.19389091418796,90.29175928953947
97,"[128.2627528848, 134.42427628750002]",56.25879618736869,90.28142196446976
98,"[128.3126560066, 134.42013794350004]",56.347895559565394,90.25022976371487
99,"[128.3542979584, 134.38721736290006]",56.44280038780215,90.1997162066131
100,"[128.35876920080003, 134.31805251460008]",56.530705028887986,90.13974009678358
101,"[128.35260124450002, 134.20773110680003]",56.65704323389383,90.05150674993288
102,"[128.3374630278, 134.15372201980006]",56.745059098253336,90.01508014112336
103,"[128.33445637100002, 134.02381604200005]",56.81521955916121,89.90890929894705
104,"[128.34438212450002, 133.92417785270004]",56.92708388551783,90.59391372493057
105,"[128.31589903589997, 133.86951258180005]",56.98311547959428,91.2482822370855
106,"[128.34351803720006, 133.7922589711]",57.07114586815917,91.6523435987811
107,"[128.3713654823, 133.68814938480003]",57.18664557205504,92.4630559133169
108,"[128.38743308870002, 133.58407068210005]",57.278174083833974,92.69301677835341
109,"[128.4196564389, 133.45535369860002]",57.392806808554525,92.68715543919419
110,"[128.42564973440003, 133.3814197156]",57.474532084935646,93.44167233879847
111,"[128.44491861440002, 133.27024621730004]",57.61409751073981,94.10535367973752
112,"[128.48966111310003, 133.1367308709]",57.77153560334736,94.92707856281133
113,"[128.5404286199, 133.01577343900001]",57.8744452767052,95.33196565941833
114,"[128.57062595320002, 132.9187984505]",57.99871687892162,96.16558286709872
115,"[128.62155986969998, 132.81807584540005]",58.13684156692823,96.84475789957153
116,"[128.67713545330002, 132.7414489364]",58.24768294503854,97.73977716366068
117,"[128.76300129760003, 132.63142230710002]",58.39296983211339,98.22950151916785
118,"[128.79709936600003, 132.5268067942]",58.538815689549864,98.8898773605827
119,"[128.81294187280002, 132.44547722180002]",58.64921103881413,99.43891682978084
120,"[128.81247665120003, 132.33832583720007]",58.74754343887608,99.57486995389134
121,"[128.8520783435, 132.20061815020006]",58.91063787734771,99.49674674465126
122,"[128.86965810870004, 132.13287705130003]",59.034931157527865,100.29334457600201
123,"[128.90506192700005, 132.0146924276]",59.16836121338116,100.75719052209547
124,"[128.94453108110005, 131.934636644]",59.285763297249005,100.90610952177643
125,"[128.97469134460005, 131.86295562240005]",59.38387128402958,101.80886407958212
126,"[129.01728598660003, 131.76486634560004]",59.50967970260637,102.45736410695508
127,"[129.0679737358, 131.66412498640003]",59.63925277731124,103.17393442570862
128,"[129.16641734220005, 131.5851620319]",59.784989353398856,103.58217490814376
129,"[129.210794191, 131.5105682279]",59.912651315137445,103.43147788715366
130,"[129.2523444578, 131.41682697060003]",60.04024565816692,104.3122566823272
131,"[129.3210290729, 131.2850993081]",60.23017726760772,105.16358487071257
132,"[129.4005910887, 131.17990315240002]",60.37413125967278,105.7679189929446
133,"[129.4451192679, 131.0535937092]",60.488743633738316,106.60456658780784
134,"[129.52463836729999, 131.0016581215]",60.61920149150971,107.34444328337104
135,"[129.55945378959998, 130.904226895]",60.75135451533642,107.68584459724448
136,"[129.6107891464, 130.788551882]",60.8852904562717,108.28423403088631
137,"[129.70843512399998, 130.7085628522]",61.07695247195518,108.21022477554293
138,"[129.76040029309996, 130.60667147710004]",61.22178460928333,109.06628480048933
139,"[129.82418891479998, 130.4858533431]",61.39082295355277,109.77945303675219
140,"[129.8697166008, 130.38757759840004]",61.504322869675796,110.62167450699529
141,"[129.9356282975, 130.2567838424]",61.67063196231882,111.385749947726
142,"[130.02149092259998, 130.1925835909]",61.79604523467144,112.08602344622523
143,"[130.08178103209997, 130.10572423619996]",61.92925792959413,112.39522446371708
144,"[130.09781873079996, 130.0143789898]",62.03644023022859,113.22301939601363
145,"[130.14775186799997, 129.89494473739998]",62.20024613743944,113.87935077240299
146,"[130.17088284089996, 129.766069848]",62.33817943333565,113.98123774735586
147,"[130.2224604588, 129.6707981021]",62.50105469028844,114.8731462236189
148,"[130.25855867439998, 129.5580856433]",62.617734043229795,115.71705341218363
149,"[130.2896149229, 129.43017060479994]",62.77904959570544,116.4613316832336
150,"[130.34193292070003, 129.30403646390002]",62.942077889001865,116.83320222137556
151,"[130.3763558532, 129.201134158]",63.06899308383977,116.57007292477637
152,"[130.39371820269997, 129.1180232289]",63.205703864091994,116.73078096040578
153,"[130.38566625770002, 129.01575967699998]",63.322832856591056,116.07252456855997
154,"[130.4187096915, 128.91594217519997]",63.3920566575741,116.78476976136228
155,"[130.4607273707, 128.82017296319998]",63.484516377800304,117.67819734744593
156,"[130.5086868, 128.72449394429998]",63.6590103733779,118.56901461608585
157,"[130.52774030330002, 128.62962692719998]",63.78084031022933,119.45786811766092
158,"[130.5583500625, 128.5367666809]",63.919695393820184,120.06130899062774
159,"[130.625763122, 128.46708329409998]",64.06179874844342,120.1126921720466
160,"[130.71306293190003, 128.3896061998]",64.22787576866678,119.88475785519427
161,"[130.7675685849, 128.3139341031]",64.36275155252369,120.75733455012221
162,"[130.8036843741, 128.2285392953]",64.52513637934439,121.17163367297262
163,"[130.81960172049997, 128.16997212249998]",64.62124052030386,120.9073382446843
164,"[130.8631164865, 128.06933375839998]",64.78392693360806,121.78942418307169
165,"[130.90461691899998, 127.96667025019995]",64.91135720935716,122.6777530050531
166,"[130.9318295999, 127.8986960025]",65.03272192397691,123.2892464349928
167,"[131.0142354793, 127.79025460879998]",65.1718987009559,124.05023184487163
168,"[131.0559427594, 127.67480554959997]",65.29586750663653,124.59394711389109
169,"[131.1021929737, 127.57450456019998]",65.44818868980539,125.41870502601712
170,"[131.15996376199996, 127.4830297013]",65.61474161639852,126.09252998924825
171,"[131.20931520939996, 127.40041071689998]",65.75540278819017,126.68295015969441
172,"[131.2337166336, 127.29746160109998]",65.87740143575374,127.47526451908264
173,"[131.2824608725, 127.22772158939998]",65.98724354620475,127.94139732020015
174,"[131.33374162149997, 127.13651229839999]",66.11450610958207,128.32611924814114
175,"[131.4009264272, 127.05722978689995]",66.26217948759042,129.06958938165528
176,"[131.434771498, 126.956482999]",66.39890645144386,129.9557937197263
177,"[131.4623747997, 126.88569800189997]",66.519067566908,130.83123117138024
178,"[131.50162548539998, 126.77950063679997]",66.66659359867137,131.26833564027817
179,"[131.5599071648, 126.6960104942]",66.8093140828371,131.5701221897837
180,"[131.6020676019, 126.60766697129999]",66.98262476229701,132.3889379664464
181,"[131.66360048619998, 126.50984755649999]",67.1055409750313,132.80284765673215
182,"[131.7340447624, 126.35146362629997]",67.30591153965561,133.6125325696915
183,"[131.7770065496, 126.25368510770001]",67.45859702608917,134.14313806877166
184,"[131.79373129249998, 126.13332652700001]",67.57709688398923,134.84786609499002
185,"[131.8883643915, 126.07173125120002]",67.74893359503497,135.74589536992994
186,"[131.9533185958, 126.0023617235]",67.90038970184366,136.585485393335
187,"[132.0392554597, 125.87959812550004]",68.09168094561215,137.3002284086018
188,"[132.0844583965, 125.79940781129999]",68.26383334616352,137.80457587592292
189,"[132.14362338239997, 125.67448716599996]",68.43303212087007,138.10992196464844
190,"[132.16811142019998, 125.57470749310001]",68.56864933964611,138.63322089509936
191,"[132.22093697229997, 125.4707683688]",68.70376311165033,139.4625444193843
192,"[132.28378964439997, 125.3591014408]",68.88755026392059,140.2925859964092
193,"[132.35460282069997, 125.25049282400003]",69.04706466209568,141.13632898159796
194,"[132.41201911599998, 125.15887784600004]",69.18004299306067,141.9925670418407
195,"[132.47033920249999, 125.09131435770001]",69.29505629038196,140.2664363186905
196,"[132.52938820409997, 125.02679614030001]",69.41048361698402,139.19922814538458
197,"[132.51578959709997, 124.9683790409]",69.47489956204704,139.78694351534622
198,"[132.57327113639994, 124.93550006990003]",69.59291931491464,139.732016586306
199,"[132.62034439459995, 124.87005324260002]",69.68589298492458,139.6280637748364
200,"[132.66191836509998, 124.84511158920004]",69.80378876712638,140.57084684287025
201,"[132.69214328470002, 124.80380606359999]",69.89954365131558,141.3903172062809
202,"[132.7383358228, 124.7561730614]",70.00276246587998,139.80444807210017
203,"[132.78655983450005, 124.68048558379996]",70.08581181339486,140.61231641497798
204,"[132.82676452520002, 124.68064605200001]",70.11884224675443,141.39953671513192
205,"[132.8729283442, 124.63595569689998]",70.21600772771205,142.16873990652178
206,"[132.89934999200005, 124.67854434559999]",70.19642504978643,140.3696483110563
207,"[132.93213821680004, 124.65953836749998]",70.23267701607146,140.45850496320125
208,"[132.94106510500004, 124.65706726679998]",70.27002567967855,141.33697405520846
209,"[132.97185603400004, 124.6149422811]",70.35407127614279,142.15041916115337
210,"[133.02679705479994, 124.60284377720004]",70.42326336661989,142.70175496209063
211,"[133.02016837239998, 124.60784544559998]",70.43602626711123,143.56830956371994
212,"[133.05055490240002, 124.66431667329998]",70.38214954555876,142.18377836651138
213,"[133.1038786835, 124.67419181629997]",70.40755238225609,143.1125499644489
214,"[133.1488792513, 124.7144689668]",70.42087263657938,141.68925477110946
215,"[133.20809269469999, 124.7660873767]",70.39216633178384,142.64326011333497
216,"[133.26142251570002, 124.74980817480002]",70.45583565255922,143.1096307743289
217,"[133.31271561320003, 124.71095466640001]",70.51142577923626,143.4159425861213
218,"[133.3519261798, 124.68769572560001]",70.54483095527729,144.20012354645056
219,"[133.3809157419, 124.75498967880003]",70.48332355628963,142.7687368174561
220,"[133.42547782070002, 124.80916872140001]",70.4748255458577,143.06904717055787
221,"[133.50271178760005, 124.79528012600002]",70.4878229403136,144.0144350870751
222,"[133.5466715591, 124.76170437690003]",70.568436396892,143.6479778018908
223,"[133.62024338589998, 124.79741670930001]",70.5542658842347,144.5110689231387
224,"[133.6810135587, 124.77455738]",70.593391552828,143.2966874630093
