|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[113.4339373  107.2114573  157.18641602 147.40142412 100.40252642
 163.81725522 119.58940157 116.26093883  97.64781882 141.50754954
 182.53141935  82.37389342  68.20888931 103.59359317 139.30098706
  70.40794766 178.22007694 169.31368782  88.35035528  90.82267486
 141.98275992  53.95415152 115.74560979 170.243064   152.46702089
 116.04670759  56.71136142 192.61144047  79.6832761  111.74918904
  64.82290591  84.69991909 131.00674876 187.28388031  86.24261861
 163.96569854 194.55186182  75.06824474  65.73519705 101.99897215
 144.54475666 148.70019235 147.67136964 146.70602001 151.68269538
  65.49659484  97.56728444 105.99269898  67.18177531 170.15109354
  93.00048092 106.67272794 106.17523856 109.50087129 163.18807718
 123.29402795  65.11693787  51.42573933 122.93936986  76.68133745
  98.0331676  110.27603023 133.37714812 164.26465992 115.15170165
 140.80419941 111.5099436   86.81803702 135.69217689  66.64336563
  78.42257708 122.55985255 135.13734874 137.62909095 173.07201036]"|"[141.83908585 102.7813791  139.43010345 196.58519283 198.31866105
 179.28906091 110.94020542 137.05172749 170.79919453 189.02720508
 188.04994968  84.08874155 179.1727541   96.54799078 131.74103688
 146.94357448 187.98639886  91.57501079  82.33434998 123.12496655
 183.22323877 180.20121381 182.61050969  80.5579621  190.87361952
 142.70719093 103.43995652 194.28636263  66.3613735  141.39168903
  80.40846767 105.00575738 185.04125283 104.635703    81.73537526
 190.61663241 100.1752376   52.52942635 132.70206097 191.4754004
  84.85250368 123.32135018  85.84005123 101.49879643  70.85380281
 111.911217   110.67148134  94.26424794 158.40262924  51.0753266
  94.21027079 152.81913309 191.28973784 152.70545948 185.81690325
  57.71224268 118.36833048 156.13460617 129.25689344  80.3142099
  66.25318065 103.25587092 149.32534586  64.339103   153.91995341
  87.36478788 108.31767212 197.81734968 191.14843847 197.54120325
 187.99133283 139.59348557 184.27047998  78.02840549 119.51321986]"|[146.60082717 113.76342177]|[10.77400666 14.13918656]
1|"[113.4339373  107.2114573  157.18641602 147.40142412 100.40252642
 163.81725522 119.58940157 116.26093883  97.64781882 141.50754954
 183.39030453  82.37389342  68.20888931 103.59359317 139.12109448
  70.40794766 178.22007694 169.31368782  88.7893013   90.82267486
 141.98275992  53.95415152 115.74560979 170.243064   152.46702089
 116.04670759  56.71136142 192.61144047  79.42248858 111.74918904
  64.82290591  84.69991909 131.00674876 187.28388031  86.24261861
 163.96569854 194.55186182  74.6251364   65.73519705 101.99897215
 144.54475666 149.5340426  147.67136964 146.70602001 152.0264885
  65.49659484  97.56728444 105.99269898  67.18177531 170.26249995
  92.03103109 106.67272794 106.17523856 109.50087129 163.18807718
 123.75259908  65.11693787  51.42573933 122.93936986  76.68133745
  97.37532333 110.27603023 133.37714812 163.79107783 115.15170165
 140.80419941 111.5099436   86.81803702 135.69217689  66.64336563
  78.42257708 122.55985255 135.13734874 137.62909095 173.07201036]"|"[141.83908585 102.7813791  139.43010345 196.58519283 198.31866105
 179.28906091 110.94020542 137.05172749 170.79919453 189.02720508
 187.5377815   84.08874155 179.1727541   96.54799078 130.75735062
 146.94357448 187.98639886  91.57501079  83.23286341 123.12496655
 183.22323877 180.20121381 182.61050969  80.5579621  190.87361952
 142.70719093 103.43995652 194.28636263  67.32676973 141.39168903
  80.40846767 105.00575738 185.04125283 104.635703    81.73537526
 190.61663241 100.1752376   53.42589442 132.70206097 191.4754004
  84.85250368 122.76935945  85.84005123 101.49879643  71.79284822
 111.911217   110.67148134  94.26424794 158.40262924  52.06910153
  94.45556048 152.81913309 191.28973784 152.70545948 185.81690325
  58.60090039 118.36833048 156.13460617 129.25689344  80.3142099
  67.00633462 103.25587092 149.32534586  65.21985268 153.91995341
  87.36478788 108.31767212 197.81734968 191.14843847 197.54120325
 187.99133283 139.59348557 184.27047998  78.02840549 119.51321986]"|[147.93180535 112.88915123]|[11.46574148 15.35805941]
2|"[112.73503738 107.2114573  157.18641602 147.40142412 100.40252642
 163.81725522 119.58940157 116.26093883  97.64781882 141.50754954
 183.39030453  82.37389342  68.20888931 103.59359317 139.12109448
  70.40794766 178.22007694 169.31368782  88.7893013   90.82267486
 141.98275992  53.95415152 115.74560979 170.243064   152.46702089
 116.04670759  55.96099458 192.61144047  79.26721772 111.74918904
  64.82290591  84.69991909 131.00674876 187.28388031  86.24261861
 163.96569854 194.55186182  74.22621874  65.97694691 101.99897215
 144.54475666 149.5340426  147.67136964 146.70602001 151.98318173
  65.49659484  97.56728444 105.99269898  67.18177531 170.44436264
  92.03103109 106.67272794 106.17523856 109.50087129 163.18807718
 123.96413403  65.11693787  51.42573933 122.93936986  76.68133745
  96.89017251 110.27603023 133.37714812 163.51980482 115.15170165
 140.80419941 111.41361094  86.81803702 135.69217689  66.64336563
  78.42257708 122.55985255 135.13734874 137.62909095 173.07201036]"|"[142.55430533 102.7813791  139.43010345 196.58519283 198.31866105
 179.28906091 110.94020542 137.05172749 170.79919453 189.02720508
 187.5377815   84.08874155 179.1727541   96.54799078 130.75735062
 146.94357448 187.98639886  91.57501079  83.23286341 123.12496655
 183.22323877 180.20121381 182.61050969  80.5579621  190.87361952
 142.70719093 102.77893489 194.28636263  68.31464166 141.39168903
  80.40846767 105.00575738 185.04125283 104.635703    81.73537526
 190.61663241 100.1752376   54.34288117 133.67239957 191.4754004
  84.85250368 122.76935945  85.84005123 101.49879643  72.79191004
 111.911217   110.67148134  94.26424794 158.40262924  53.05242546
  94.45556048 152.81913309 191.28973784 152.70545948 185.81690325
  59.57827082 118.36833048 156.13460617 129.25689344  80.3142099
  67.88076511 103.25587092 149.32534586  66.18235512 153.91995341
  87.36478788 107.32232292 197.81734968 191.14843847 197.54120325
 187.99133283 139.59348557 184.27047998  78.02840549 119.51321986]"|[149.24452004 112.02611302]|[12.1915377  16.58491109]
3|"[112.73503738 107.2114573  157.18641602 147.40142412 100.40252642
 163.81725522 119.58940157 116.30141207  97.64781882 141.50754954
 183.39030453  82.37389342  68.20888931 103.59359317 139.12109448
  70.40794766 178.22007694 169.31368782  88.7893013   90.82267486
 141.98275992  53.95415152 115.74560979 170.243064   152.46702089
 116.04670759  55.96099458 192.61144047  79.33334512 111.74918904
  64.82290591  84.69991909 131.00674876 187.28388031  86.24261861
 163.96569854 194.55186182  73.84414264  65.97694691 101.99897215
 144.54475666 149.5340426  147.67136964 146.70602001 152.06119774
  65.49659484  97.56728444 105.99269898  67.18177531 170.41991284
  92.03103109 106.67272794 106.17523856 109.50087129 163.18807718
 124.12096923  65.11693787  50.90768816 122.93936986  76.68133745
  96.52556019 110.27603023 133.37714812 163.41983937 115.15170165
 140.80419941 111.41361094  86.81803702 135.69217689  66.64336563
  79.06461429 122.55985255 135.13734874 137.62909095 173.07201036]"|"[142.55430533 102.7813791  139.43010345 196.58519283 198.31866105
 179.28906091 110.94020542 138.05090812 170.79919453 189.02720508
 187.5377815   84.08874155 179.1727541   96.54799078 130.75735062
 146.94357448 187.98639886  91.57501079  83.23286341 123.12496655
 183.22323877 180.20121381 182.61050969  80.5579621  190.87361952
 142.70719093 102.77893489 194.28636263  69.31245285 141.39168903
  80.40846767 105.00575738 185.04125283 104.635703    81.73537526
 190.61663241 100.1752376   55.26701203 133.67239957 191.4754004
  84.85250368 122.76935945  85.84005123 101.49879643  73.78886215
 111.911217   110.67148134  94.26424794 158.40262924  54.05212652
  94.45556048 152.81913309 191.28973784 152.70545948 185.81690325
  60.56589561 118.36833048 155.27925653 129.25689344  80.3142099
  68.81192453 103.25587092 149.32534586  67.17734603 153.91995341
  87.36478788 107.32232292 197.81734968 191.14843847 197.54120325
 187.22465935 139.59348557 184.27047998  78.02840549 119.51321986]"|[150.53895232 111.18370187]|[12.94945925 17.82601683]
4|"[112.73503738 107.2114573  157.18641602 147.40142412 100.40252642
 163.81725522 119.58940157 116.30141207  97.64781882 141.50754954
 183.39030453  82.37389342  68.20888931 103.59359317 139.12109448
  70.40794766 177.5722338  169.31368782  88.7893013   90.82267486
 141.98275992  53.95415152 115.74560979 170.243064   152.46702089
 116.04670759  55.96099458 192.61144047  79.45864027 111.74918904
  64.82290591  84.69991909 131.00674876 187.28388031  86.24261861
 163.96569854 194.55186182  73.48841275  65.97694691 101.99897215
 144.54475666 149.5340426  147.67136964 146.70602001 152.15297797
  65.49659484  97.56728444 105.99269898  67.18177531 170.3321142
  92.03103109 106.67272794 106.17523856 109.50087129 163.18807718
 124.24848341  65.11693787  50.90768816 122.93936986  76.68133745
  96.11664675 110.27603023 133.37714812 163.20005474 115.15170165
 140.80419941 111.41361094  86.81803702 135.69217689  66.64336563
  79.06461429 122.55985255 135.13734874 137.62909095 173.07201036]"|"[142.55430533 102.7813791  139.43010345 196.58519283 198.31866105
 179.28906091 110.94020542 138.05090812 170.79919453 189.02720508
 187.5377815   84.08874155 179.1727541   96.54799078 130.75735062
 146.94357448 188.74817262  91.57501079  83.23286341 123.12496655
 183.22323877 180.20121381 182.61050969  80.5579621  190.87361952
 142.70719093 102.77893489 194.28636263  70.30457236 141.39168903
  80.40846767 105.00575738 185.04125283 104.635703    81.73537526
 190.61663241 100.1752376   56.20160084 133.67239957 191.4754004
  84.85250368 122.76935945  85.84005123 101.49879643  74.78464144
 111.911217   110.67148134  94.26424794 158.40262924  55.04826477
  94.45556048 152.81913309 191.28973784 152.70545948 185.81690325
  61.55773236 118.36833048 155.27925653 129.25689344  80.3142099
  69.7244977  103.25587092 149.32534586  68.15289445 153.91995341
  87.36478788 107.32232292 197.81734968 191.14843847 197.54120325
 187.22465935 139.59348557 184.27047998  78.02840549 119.51321986]"|[151.81517068 110.36957906]|[13.73766398 19.0858597 ]
5|"[112.73503738 107.2114573  157.18641602 147.40142412 100.40252642
 163.81725522 119.58940157 116.30141207  97.64781882 141.50754954
 183.39030453  82.37389342  68.20888931 103.59359317 139.12109448
  70.40794766 177.5722338  170.25668351  88.7893013   90.82267486
 141.98275992  53.95415152 115.74560979 170.243064   152.46702089
 116.04670759  55.96099458 192.61144047  79.60494663 111.74918904
  64.82290591  84.69991909 131.99098684 187.28388031  86.24261861
 163.96569854 194.55186182  73.38814945  65.97694691 101.99897215
 145.26012996 149.5340426  147.67136964 146.70602001 152.2251832
  64.63833145  97.56728444 106.6987776   67.18177531 170.38542217
  92.03103109 106.67272794 106.17523856 109.50087129 163.18807718
 124.32353755  65.11693787  50.90768816 122.93936986  76.68133745
  95.7196279  110.27603023 133.37714812 162.85879124 115.15170165
 140.80419941 111.41361094  86.81803702 135.69217689  66.64336563
  79.06461429 122.55985255 135.13734874 137.68927909 173.07201036]"|"[142.55430533 102.7813791  139.43010345 196.58519283 198.31866105
 179.28906091 110.94020542 138.05090812 170.79919453 189.02720508
 187.5377815   84.08874155 179.1727541   96.54799078 130.75735062
 146.94357448 188.74817262  91.24220586  83.23286341 123.12496655
 183.22323877 180.20121381 182.61050969  80.5579621  190.87361952
 142.70719093 102.77893489 194.28636263  71.29381169 141.39168903
  80.40846767 105.00575738 184.86440432 104.635703    81.73537526
 190.61663241 100.1752376   57.19656178 133.67239957 191.4754004
  85.55124615 122.76935945  85.84005123 101.49879643  75.78203123
 112.42442647 110.67148134  93.55611448 158.40262924  56.04684288
  94.45556048 152.81913309 191.28973784 152.70545948 185.81690325
  62.55491182 118.36833048 155.27925653 129.25689344  80.3142099
  70.64230815 103.25587092 149.32534586  69.09286212 153.91995341
  87.36478788 107.32232292 197.81734968 191.14843847 197.54120325
 187.22465935 139.59348557 184.27047998  79.02659254 119.51321986]"|[153.07330293 109.58955854]|[14.55442786 20.36709659]
6|"[112.73503738 107.2114573  157.18641602 148.09994394 100.40252642
 163.81725522 119.58940157 116.30141207  97.64781882 141.50754954
 183.39030453  82.37389342  68.20888931 103.59359317 139.12109448
  70.40794766 177.5722338  170.25668351  88.7893013   90.82267486
 141.98275992  54.88634582 115.74560979 170.243064   152.46702089
 116.04670759  55.96099458 192.61144047  79.44566691 111.74918904
  64.82290591  84.69991909 131.99098684 188.09107457  86.24261861
 163.96569854 194.55186182  73.34106671  65.97694691 101.99897215
 145.26012996 149.5340426  147.67136964 146.70602001 152.24286807
  64.63833145  97.56728444 106.6987776   67.18177531 170.4348198
  92.03103109 106.67272794 106.34726981 109.50087129 163.18807718
 124.32082408  65.11693787  50.90768816 122.93936986  76.68133745
  95.55754418 110.27603023 133.37714812 162.63362835 115.15170165
 140.80419941 111.41361094  86.81803702 135.69217689  66.64336563
  79.06461429 122.55985255 135.13734874 137.68927909 173.07201036]"|"[142.55430533 102.7813791  139.43010345 197.30078354 198.31866105
 179.28906091 110.94020542 138.05090812 170.79919453 189.02720508
 187.5377815   84.08874155 179.1727541   96.54799078 130.75735062
 146.94357448 188.74817262  91.24220586  83.23286341 123.12496655
 183.22323877 179.83925553 182.61050969  80.5579621  190.87361952
 142.70719093 102.77893489 194.28636263  72.28104519 141.39168903
  80.40846767 105.00575738 184.86440432 104.04541711  81.73537526
 190.61663241 100.1752376   58.19545278 133.67239957 191.4754004
  85.55124615 122.76935945  85.84005123 101.49879643  76.78187484
 112.42442647 110.67148134  93.55611448 158.40262924  57.04562208
  94.45556048 152.81913309 190.30464635 152.70545948 185.81690325
  63.55490814 118.36833048 155.27925653 129.25689344  80.3142099
  71.62908516 103.25587092 149.32534586  70.06718326 153.91995341
  87.36478788 107.32232292 197.81734968 191.14843847 197.54120325
 187.22465935 139.59348557 184.27047998  79.02659254 119.51321986]"|[154.31351799 108.84778362]|[15.39814973 21.67084886]
7|"[112.73503738 107.2114573  157.18641602 148.09994394 100.40252642
 163.81725522 119.58940157 116.30141207  97.64781882 141.50754954
 183.39030453  82.37389342  68.20888931 103.59359317 139.12109448
  70.40794766 177.5722338  170.25668351  88.59203448  90.82267486
 141.98275992  54.88634582 115.74560979 170.243064   152.46702089
 116.04670759  55.96099458 192.61144047  79.22141127 111.74918904
  64.82290591  85.25978126 131.99098684 188.09107457  86.11961146
 163.96569854 194.55186182  73.13909164  65.97694691 101.99897215
 145.26012996 149.5340426  147.58398457 146.70602001 152.05737614
  64.63833145  97.56728444 106.6987776   67.18177531 170.35762821
  92.03103109 106.67272794 106.34726981 109.50087129 163.15739546
 124.32253876  65.11693787  50.90768816 122.93936986  76.68133745
  95.32048024 110.27603023 133.37714812 162.41604852 115.15170165
 140.80419941 111.41361094  86.81803702 135.69217689  66.64336563
  79.06461429 122.55985255 135.13734874 137.75552101 173.07201036]"|"[142.55430533 102.7813791  139.43010345 197.30078354 198.31866105
 179.28906091 110.94020542 138.05090812 170.79919453 189.02720508
 187.5377815   84.08874155 179.1727541   96.54799078 130.75735062
 146.94357448 188.74817262  91.24220586  84.21321325 123.12496655
 183.22323877 179.83925553 182.61050969  80.5579621  190.87361952
 142.70719093 102.77893489 194.28636263  73.25557554 141.39168903
  80.40846767 104.17717162 184.86440432 104.04541711  82.72778105
 190.61663241 100.1752376   59.17484344 133.67239957 191.4754004
  85.55124615 122.76935945  86.83622584 101.49879643  77.76452063
 112.42442647 110.67148134  93.55611448 158.40262924  58.04263835
  94.45556048 152.81913309 190.30464635 152.70545948 186.81643245
  64.55490667 118.36833048 155.27925653 129.25689344  80.3142099
  72.60057921 103.25587092 149.32534586  71.04322579 153.91995341
  87.36478788 107.32232292 197.81734968 191.14843847 197.54120325
 187.22465935 139.59348557 184.27047998  80.02439613 119.51321986]"|[155.53601409 108.14698903]|[16.26734666 22.99707921]
8|"[112.73503738 107.2114573  157.18641602 148.09994394 100.40252642
 163.81725522 119.58940157 116.30141207  97.64781882 141.50754954
 183.39030453  82.37389342  68.20888931 103.59359317 139.12109448
  70.40794766 177.5722338  170.25668351  88.511402    90.82267486
 141.98275992  54.88634582 115.74560979 170.243064   152.46702089
 116.04670759  55.96099458 192.61144047  79.23356334 111.74918904
  64.82290591  85.25978126 131.02772546 188.09107457  86.08622241
 163.96569854 194.55186182  72.95116179  65.97694691 101.99897215
 145.26012996 149.5340426  147.58398457 146.70602001 152.01976402
  64.63833145  97.56728444 106.6987776   67.18177531 170.13209004
  92.03103109 106.67272794 106.34726981 109.50087129 163.15739546
 124.47886407  65.11693787  50.90768816 122.93936986  76.68133745
  95.23373242 110.27603023 133.37714812 162.05044977 115.15170165
 140.80419941 111.41361094  86.81803702 135.69217689  66.64336563
  79.06461429 122.55985255 135.13734874 138.01532387 173.07201036]"|"[142.55430533 102.7813791  139.43010345 197.30078354 198.31866105
 179.28906091 110.94020542 138.05090812 170.79919453 189.02720508
 187.5377815   84.08874155 179.1727541   96.54799078 130.75735062
 146.94357448 188.74817262  91.24220586  85.20995715 123.12496655
 183.22323877 179.83925553 182.61050969  80.5579621  190.87361952
 142.70719093 102.77893489 194.28636263  74.2555017  141.39168903
  80.40846767 104.17717162 184.59583867 104.04541711  83.72722348
 190.61663241 100.1752376   60.15702589 133.67239957 191.4754004
  85.55124615 122.76935945  86.83622584 101.49879643  78.76381305
 112.42442647 110.67148134  93.55611448 158.40262924  59.01687269
  94.45556048 152.81913309 190.30464635 152.70545948 186.81643245
  65.54261229 118.36833048 155.27925653 129.25689344  80.3142099
  73.59680952 103.25587092 149.32534586  71.97399834 153.91995341
  87.36478788 107.32232292 197.81734968 191.14843847 197.54120325
 187.22465935 139.59348557 184.27047998  80.99005781 119.51321986]"|[156.74101078 107.48876769]|[17.16064559 24.34494592]
9|"[112.73503738 107.2114573  157.18641602 148.09994394 100.40252642
 163.81725522 119.58940157 116.30141207  97.64781882 141.50754954
 183.39030453  82.52569545  68.20888931 103.59359317 139.12109448
  70.40794766 177.5722338  170.25668351  88.3036587   90.82267486
 141.98275992  54.88634582 115.74560979 169.79095479 152.46702089
 116.04670759  55.96099458 192.61144047  79.30525816 111.74918904
  64.82290591  85.25978126 131.02772546 188.09107457  86.14371484
 163.96569854 194.55186182  72.71055586  65.97694691 101.99897215
 145.26012996 149.5340426  147.58398457 146.70602001 152.01792144
  64.63833145  97.56728444 106.6987776   67.18177531 169.84826854
  92.5386296  106.67272794 106.34726981 109.50087129 163.15739546
 124.49146932  65.11693787  50.90768816 122.93936986  76.76998883
  94.95478976 110.27603023 133.37714812 161.62251926 115.15170165
 140.80419941 111.41361094  86.81803702 135.69217689  66.64336563
  79.06461429 122.55985255 135.13734874 138.25849686 173.07201036]"|"[142.55430533 102.7813791  139.43010345 197.30078354 198.31866105
 179.28906091 110.94020542 138.05090812 170.79919453 189.02720508
 187.5377815   85.07715247 179.1727541   96.54799078 130.75735062
 146.94357448 188.74817262  91.24220586  86.18814053 123.12496655
 183.22323877 179.83925553 182.61050969  81.44992469 190.87361952
 142.70719093 102.77893489 194.28636263  75.25292832 141.39168903
  80.40846767 104.17717162 184.59583867 104.04541711  84.72556942
 190.61663241 100.1752376   61.12764878 133.67239957 191.4754004
  85.55124615 122.76935945  86.83622584 101.49879643  79.76381135
 112.42442647 110.67148134  93.55611448 158.40262924  59.97574982
  95.31715421 152.81913309 190.30464635 152.70545948 186.81643245
  66.54253284 118.36833048 155.27925653 129.25689344  81.31027262
  74.55711728 103.25587092 149.32534586  72.87780998 153.91995341
  87.36478788 107.32232292 197.81734968 191.14843847 197.54120325
 187.22465935 139.59348557 184.27047998  81.96004074 119.51321986]"|[157.92874329 106.8738133 ]|[18.07677413 25.71309471]
