|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[ 87.96055125 137.7898424   63.42706197  51.93235539  57.20373225
 173.59245441  75.82331764 173.18112788  70.64485309 109.38176518
 166.25677437  98.80144834 104.59192316 130.27926534 146.72200938
 181.1907656   71.23310265  77.77574848 109.41325958 163.35938817
  70.55029589 166.03696625 104.41658226  65.50362938  84.86864232
 156.11975737 152.47167805  62.68184744  86.94348624  63.54712449
 168.661476   143.47364065 161.93630534 144.57857395 118.59169968
  73.76819485 168.61611888 176.26097962 113.10360714 113.73485407
 115.57654492 180.66397119 138.54930893 187.50096076 104.21012784
 115.79565948 193.16053168 132.18374049 162.83541483 120.06009484
 160.80434998 123.14600695 166.31073625  94.46438289  81.89063918
  58.7719901  158.77181624 114.2845832  107.78532066 150.59412567
 151.07060909  66.57649717  93.15093559  90.30490753 155.82079009
 153.23020668  84.60124558 111.86994935  70.58674292 111.71738766
 113.73034261 120.54439864 141.43666445  70.54810339 164.98031404]"|"[ 80.82239194 183.37481864 179.16392905 177.51264085 138.15865092
 197.49347918  66.2271231  137.10981454 123.62355194  81.09356205
 192.96088292 140.35417185 170.77503924 146.84994281 131.50043417
  64.75403409 154.09304619  55.53666349  50.96716639 182.03646702
 178.59445508 100.08162247  60.42915722 170.61284749  83.28948086
 118.9922151   58.57329662 131.49052361 199.99310008 191.40107938
 194.99624902 181.71209909 102.90927254 127.52849729 114.05835169
  76.74064279 138.66261858  83.34028237 199.27333522 188.11166541
  54.29610668 103.89362043 124.53345736 145.4836188  133.69664891
 190.171927   100.83691907 105.16713817 138.51941659 194.68498343
 138.95754578  84.17045998 147.54755345 196.52762063  72.33182051
 157.29563441 153.24319452 103.5172543  114.30779189 109.52802617
 117.02610849  65.48671607  54.73511016 137.11877491 103.67311179
  93.75538451 199.13887256 129.61969816 129.24243157  69.76049122
  70.18082986  90.11937177 199.66550667 110.70570394  88.88116774]"|[180.15652234 173.09922545]|[11.18105152 12.92993861]
1|"[ 87.96055125 137.7898424   63.42706197  51.93235539  57.20373225
 173.59245441  75.82331764 173.18112788  70.64485309 109.38176518
 166.76628045  98.80144834 103.90023253 130.27926534 146.72200938
 181.43895023  71.23310265  77.77574848 109.41325958 163.35938817
  70.55029589 166.03696625 104.41658226  65.50362938  84.86864232
 156.11975737 152.18856847  62.68184744  86.94348624  63.54712449
 168.661476   143.47364065 162.05802234 144.57857395 118.59169968
  73.76819485 168.61611888 176.26097962 113.10360714 113.73485407
 115.57654492 180.66397119 138.54930893 187.50096076 104.21012784
 115.79565948 193.16053168 132.18374049 162.83541483 120.06009484
 160.80434998 123.14600695 166.31073625  94.46438289  81.89063918
  58.7719901  158.77181624 114.2845832  107.78532066 150.59412567
 151.07060909  66.57649717  93.15093559  90.30490753 155.82079009
 153.23020668  84.60124558 111.86994935  70.58674292 111.71738766
 113.73034261 120.54439864 141.43666445  70.54810339 164.98031404]"|"[ 80.82239194 183.37481864 179.16392905 177.51264085 138.15865092
 197.49347918  66.2271231  137.10981454 123.62355194  81.09356205
 193.82134997 140.35417185 170.05284532 146.84994281 131.50043417
  65.72274684 154.09304619  55.53666349  50.96716639 182.03646702
 178.59445508 100.08162247  60.42915722 170.61284749  83.28948086
 118.9922151   59.53238419 131.49052361 199.99310008 191.40107938
 194.99624902 181.71209909 103.90183739 127.52849729 114.05835169
  76.74064279 138.66261858  83.34028237 199.27333522 188.11166541
  54.29610668 103.89362043 124.53345736 145.4836188  133.69664891
 190.171927   100.83691907 105.16713817 138.51941659 194.68498343
 138.95754578  84.17045998 147.54755345 196.52762063  72.33182051
 157.29563441 153.24319452 103.5172543  114.30779189 109.52802617
 117.02610849  65.48671607  54.73511016 137.11877491 103.67311179
  93.75538451 199.13887256 129.61969816 129.24243157  69.76049122
  70.18082986  90.11937177 199.66550667 110.70570394  88.88116774]"|[181.64248156 172.10352842]|[11.3858079  14.05180644]
2|"[ 87.96055125 137.7898424   63.42706197  51.93235539  57.20373225
 173.59245441  75.82331764 173.18112788  70.64485309 109.38176518
 166.36367812  98.80144834 103.90023253 130.27926534 146.72200938
 181.32695549  71.23310265  77.77574848 109.41325958 163.35938817
  70.55029589 166.03696625 104.92368871  65.50362938  84.86864232
 156.11975737 151.94340921  62.68184744  87.21017968  63.54712449
 168.661476   142.79195449 162.05802234 144.57857395 118.59169968
  73.76819485 168.61611888 176.26097962 113.10360714 114.30709971
 115.57654492 180.66397119 138.54930893 187.50096076 104.21012784
 115.79565948 193.16053168 132.18374049 162.83541483 120.06009484
 160.80434998 123.14600695 166.68930685  94.46438289  81.89063918
  58.7719901  158.77181624 114.2845832  107.78532066 150.59412567
 151.07060909  66.57649717  93.15093559  90.30490753 155.82079009
 153.23020668  84.60124558 111.27219538  70.58674292 111.71738766
 113.73034261 120.54439864 141.06371248  70.54810339 164.98031404]"|"[ 80.82239194 183.37481864 179.16392905 177.51264085 138.15865092
 197.49347918  66.2271231  137.10981454 123.62355194  81.09356205
 192.90597498 140.35417185 170.05284532 146.84994281 131.50043417
  66.71645564 154.09304619  55.53666349  50.96716639 182.03646702
 178.59445508 100.08162247  59.56727378 170.61284749  83.28948086
 118.9922151   60.50186701 131.49052361 200.95688149 191.40107938
 194.99624902 180.98045438 103.90183739 127.52849729 114.05835169
  76.74064279 138.66261858  83.34028237 199.27333522 188.93174768
  54.29610668 103.89362043 124.53345736 145.4836188  133.69664891
 190.171927   100.83691907 105.16713817 138.51941659 194.68498343
 138.95754578  84.17045998 146.62198103 196.52762063  72.33182051
 157.29563441 153.24319452 103.5172543  114.30779189 109.52802617
 117.02610849  65.48671607  54.73511016 137.11877491 103.67311179
  93.75538451 199.13887256 130.42137776 129.24243157  69.76049122
  70.18082986  90.11937177 200.59335732 110.70570394  88.88116774]"|[183.06993983 171.76319247]|[11.84663639 15.5126868 ]
3|"[ 87.96055125 137.7898424   63.42706197  51.93235539  57.20373225
 173.59245441  75.82331764 173.18112788  70.64485309 109.38176518
 166.36367812  98.80144834 103.90023253 130.27926534 146.72200938
 181.03523185  71.23310265  77.77574848 109.41325958 163.35938817
  70.55029589 166.03696625 104.92368871  65.50362938  84.86864232
 156.11975737 151.56747197  62.68184744  87.21017968  63.54712449
 168.661476   142.79195449 162.05802234 144.57857395 118.59169968
  73.76819485 168.61611888 176.26097962 113.10360714 114.30709971
 116.42883381 180.66397119 138.54930893 187.50096076 104.21012784
 115.79565948 193.16053168 132.18374049 162.83541483 120.06009484
 160.80434998 123.14600695 166.68930685  95.4451365   81.89063918
  58.7719901  158.77181624 114.2845832  107.78532066 150.59412567
 151.07060909  66.57649717  93.15093559  91.18557811 155.82079009
 153.23020668  84.60124558 111.27219538  70.58674292 111.71738766
 113.73034261 120.54439864 141.06371248  70.54810339 164.98031404]"|"[ 80.82239194 183.37481864 179.16392905 177.51264085 138.15865092
 197.49347918  66.2271231  137.10981454 123.62355194  81.09356205
 192.90597498 140.35417185 170.05284532 146.84994281 131.50043417
  67.67295829 154.09304619  55.53666349  50.96716639 182.03646702
 178.59445508 100.08162247  59.56727378 170.61284749  83.28948086
 118.9922151   61.42851214 131.49052361 200.95688149 191.40107938
 194.99624902 180.98045438 103.90183739 127.52849729 114.05835169
  76.74064279 138.66261858  83.34028237 199.27333522 188.93174768
  54.81917804 103.89362043 124.53345736 145.4836188  133.69664891
 190.171927   100.83691907 105.16713817 138.51941659 194.68498343
 138.95754578  84.17045998 146.62198103 196.33237115  72.33182051
 157.29563441 153.24319452 103.5172543  114.30779189 109.52802617
 117.02610849  65.48671607  54.73511016 136.64504572 103.67311179
  93.75538451 199.13887256 130.42137776 129.24243157  69.76049122
  70.18082986  90.11937177 200.59335732 110.70570394  88.88116774]"|[184.43907554 171.84848184]|[12.45939034 17.01026008]
4|"[ 87.96055125 137.7898424   64.32470751  51.93235539  57.20373225
 173.59245441  75.82331764 173.18112788  70.64485309 109.38176518
 166.36367812  98.80144834 103.90023253 130.27926534 146.72200938
 180.73478228  71.23310265  77.77574848 109.41325958 163.35938817
  70.55029589 166.03696625 104.92368871  65.50362938  84.86864232
 156.11975737 151.24876721  62.68184744  87.21017968  63.54712449
 168.661476   143.44848958 162.05802234 144.57857395 118.59169968
  74.29878698 168.61611888 176.26097962 113.10360714 114.30709971
 116.42883381 180.66397119 138.54930893 187.50096076 104.21012784
 115.79565948 193.16053168 132.18374049 162.83541483 120.06009484
 160.80434998 123.14600695 166.68930685  95.4451365   81.89063918
  58.7719901  158.77181624 114.2845832  107.78532066 150.59412567
 151.07060909  66.57649717  93.15093559  91.18557811 155.82079009
 153.23020668  84.60124558 111.27219538  70.58674292 111.71738766
 113.73034261 120.54439864 141.06371248  70.54810339 164.98031404]"|"[ 80.82239194 183.37481864 179.60464719 177.51264085 138.15865092
 197.49347918  66.2271231  137.10981454 123.62355194  81.09356205
 192.90597498 140.35417185 170.05284532 146.84994281 131.50043417
  68.62675599 154.09304619  55.53666349  50.96716639 182.03646702
 178.59445508 100.08162247  59.56727378 170.61284749  83.28948086
 118.9922151   62.37636617 131.49052361 200.95688149 191.40107938
 194.99624902 181.73474987 103.90183739 127.52849729 114.05835169
  77.58827007 138.66261858  83.34028237 199.27333522 188.93174768
  54.81917804 103.89362043 124.53345736 145.4836188  133.69664891
 190.171927   100.83691907 105.16713817 138.51941659 194.68498343
 138.95754578  84.17045998 146.62198103 196.33237115  72.33182051
 157.29563441 153.24319452 103.5172543  114.30779189 109.52802617
 117.02610849  65.48671607  54.73511016 136.64504572 103.67311179
  93.75538451 199.13887256 130.42137776 129.24243157  69.76049122
  70.18082986  90.11937177 200.59335732 110.70570394  88.88116774]"|[185.7594657  172.14477488]|[13.17112754 18.48070574]
5|"[ 87.96055125 137.7898424   64.32470751  51.93235539  57.20373225
 173.59245441  75.82331764 173.18112788  70.64485309 109.38176518
 166.36367812  98.80144834 103.90023253 130.27926534 146.72200938
 180.58393779  71.23310265  77.77574848 109.41325958 163.35938817
  69.96640772 166.03696625 104.92368871  65.50362938  84.86864232
 156.11975737 150.7958893   62.68184744  87.21017968  63.54712449
 168.25560362 143.44848958 162.05802234 144.57857395 118.59169968
  74.29878698 168.61611888 176.03344974 113.10360714 114.30709971
 116.42883381 180.66397119 138.54930893 187.50096076 104.21012784
 115.79565948 193.16053168 132.18374049 162.83541483 119.83127365
 160.80434998 123.14600695 166.68930685  95.4451365   81.89063918
  58.7719901  158.77181624 114.2845832  107.78532066 150.59412567
 151.07060909  66.57649717  94.0935241   91.18557811 155.82079009
 153.23020668  84.60124558 111.27219538  70.58674292 111.71738766
 113.73034261 120.54439864 141.06371248  70.54810339 164.98031404]"|"[ 80.82239194 183.37481864 179.60464719 177.51264085 138.15865092
 197.49347918  66.2271231  137.10981454 123.62355194  81.09356205
 192.90597498 140.35417185 170.05284532 146.84994281 131.50043417
  69.6153135  154.09304619  55.53666349  50.96716639 182.03646702
 179.40628918 100.08162247  59.56727378 170.61284749  83.28948086
 118.9922151   63.26793871 131.49052361 200.95688149 191.40107938
 195.91017878 181.73474987 103.90183739 127.52849729 114.05835169
  77.58827007 138.66261858  84.31405347 199.27333522 188.93174768
  54.81917804 103.89362043 124.53345736 145.4836188  133.69664891
 190.171927   100.83691907 105.16713817 138.51941659 195.6584519
 138.95754578  84.17045998 146.62198103 196.33237115  72.33182051
 157.29563441 153.24319452 103.5172543  114.30779189 109.52802617
 117.02610849  65.48671607  55.06906659 136.64504572 103.67311179
  93.75538451 199.13887256 130.42137776 129.24243157  69.76049122
  70.18082986  90.11937177 200.59335732 110.70570394  88.88116774]"|[187.03786703 172.58180497]|[13.95578672 19.91562898]
6|"[ 87.96055125 137.7898424   64.32470751  51.93235539  57.20373225
 173.59245441  75.82331764 173.18112788  70.64485309 109.38176518
 166.36367812  98.80144834 103.90023253 130.27926534 146.72200938
 180.24743783  71.23310265  77.77574848 109.41325958 163.35938817
  69.96640772 166.03696625 104.92368871  65.50362938  84.86864232
 156.11975737 150.26191459  62.68184744  87.21017968  63.54712449
 168.25560362 143.44848958 162.05802234 144.57857395 118.59169968
  74.29878698 168.61611888 175.80038778 113.10360714 114.30709971
 116.42883381 180.66397119 138.54930893 187.50096076 104.21012784
 115.79565948 193.16053168 132.18374049 162.83541483 119.83127365
 160.80434998 123.14600695 166.68930685  95.4451365   81.89063918
  58.7719901  159.61168846 114.2845832  107.78532066 150.59412567
 151.07060909  66.57649717  94.0935241   91.03642029 155.82079009
 153.23020668  84.60124558 111.27219538  70.58674292 110.73870982
 113.73034261 120.54439864 141.06371248  70.54810339 164.98031404]"|"[ 80.82239194 183.37481864 179.60464719 177.51264085 138.15865092
 197.49347918  66.2271231  137.10981454 123.62355194  81.09356205
 192.90597498 140.35417185 170.05284532 146.84994281 131.50043417
  70.55699698 154.09304619  55.53666349  50.96716639 182.03646702
 179.40628918 100.08162247  59.56727378 170.61284749  83.28948086
 118.9922151   64.11343916 131.49052361 200.95688149 191.40107938
 195.91017878 181.73474987 103.90183739 127.52849729 114.05835169
  77.58827007 138.66261858  85.28651536 199.27333522 188.93174768
  54.81917804 103.89362043 124.53345736 145.4836188  133.69664891
 190.171927   100.83691907 105.16713817 138.51941659 195.6584519
 138.95754578  84.17045998 146.62198103 196.33237115  72.33182051
 157.29563441 152.70041035 103.5172543  114.30779189 109.52802617
 117.02610849  65.48671607  55.06906659 135.65623232 103.67311179
  93.75538451 199.13887256 130.42137776 129.24243157  69.55508993
  70.18082986  90.11937177 200.59335732 110.70570394  88.88116774]"|[188.27993046 173.08505623]|[14.7967852  21.32868884]
7|"[ 87.96055125 137.7898424   64.32470751  51.93235539  57.20373225
 173.59245441  75.82331764 173.18112788  70.64485309 109.38176518
 166.36367812  98.80144834 103.90023253 130.27926534 146.72200938
 179.88105493  71.23310265  77.77574848 109.41325958 162.49380888
  69.96640772 166.03696625 104.92368871  65.50362938  84.86864232
 156.11975737 149.90558539  62.68184744  87.21017968  63.54712449
 168.25560362 143.53877077 162.05802234 144.57857395 118.59169968
  74.29878698 168.61611888 175.33974333 113.10360714 114.30709971
 116.42883381 180.66397119 138.54930893 187.50096076 104.21012784
 115.79565948 193.16053168 132.18374049 162.83541483 119.83127365
 160.80434998 123.14600695 166.68930685  95.4451365   81.89063918
  58.7719901  159.61168846 114.2845832  107.78532066 150.59412567
 151.07060909  66.57649717  94.0935241   91.03642029 155.82079009
 153.23020668  84.60124558 111.27219538  70.58674292 110.73870982
 113.73034261 121.42289965 141.06371248  71.15667978 164.98031404]"|"[ 80.82239194 183.37481864 179.60464719 177.51264085 138.15865092
 197.49347918  66.2271231  137.10981454 123.62355194  81.09356205
 192.90597498 140.35417185 170.05284532 146.84994281 131.50043417
  71.48746115 154.09304619  55.53666349  50.96716639 181.53569513
 179.40628918 100.08162247  59.56727378 170.61284749  83.28948086
 118.9922151   65.04779964 131.49052361 200.95688149 191.40107938
 195.91017878 182.73066618 103.90183739 127.52849729 114.05835169
  77.58827007 138.66261858  86.17410011 199.27333522 188.93174768
  54.81917804 103.89362043 124.53345736 145.4836188  133.69664891
 190.171927   100.83691907 105.16713817 138.51941659 195.6584519
 138.95754578  84.17045998 146.62198103 196.33237115  72.33182051
 157.29563441 152.70041035 103.5172543  114.30779189 109.52802617
 117.02610849  65.48671607  55.06906659 135.65623232 103.67311179
  93.75538451 199.13887256 130.42137776 129.24243157  69.55508993
  70.18082986  90.59711226 200.59335732 109.91220865  88.88116774]"|[189.48910471 173.64287683]|[15.68442118 22.72110982]
8|"[ 87.96055125 137.7898424   64.32470751  51.93235539  57.20373225
 173.59245441  75.82331764 173.18112788  70.64485309 109.38176518
 166.36367812  98.80144834 103.90023253 130.27926534 146.72200938
 179.52781916  71.23310265  77.77574848 109.41325958 162.49380888
  69.96640772 166.03696625 104.92368871  65.50362938  84.86864232
 156.11975737 149.37254167  62.68184744  87.21017968  63.54712449
 168.25560362 143.53877077 162.05802234 144.57857395 118.59169968
  74.29878698 168.61611888 175.04112517 113.10360714 114.30709971
 116.42883381 180.66397119 138.54930893 187.50096076 104.21012784
 115.79565948 193.16053168 132.18374049 162.83541483 119.83127365
 160.80434998 123.14600695 166.68930685  95.4451365   81.89063918
  58.7719901  159.61168846 114.2845832  107.78532066 150.59412567
 151.07060909  67.03674185  94.0935241   91.03642029 155.82079009
 153.23020668  84.60124558 111.27219538  70.58674292 110.73870982
 113.73034261 121.42289965 141.06371248  71.15667978 164.98031404]"|"[ 80.82239194 183.37481864 179.60464719 177.51264085 138.15865092
 197.49347918  66.2271231  137.10981454 123.62355194  81.09356205
 192.90597498 140.35417185 170.05284532 146.84994281 131.50043417
  72.42299548 154.09304619  55.53666349  50.96716639 181.53569513
 179.40628918 100.08162247  59.56727378 170.61284749  83.28948086
 118.9922151   65.89388734 131.49052361 200.95688149 191.40107938
 195.91017878 182.73066618 103.90183739 127.52849729 114.05835169
  77.58827007 138.66261858  87.12847278 199.27333522 188.93174768
  54.81917804 103.89362043 124.53345736 145.4836188  133.69664891
 190.171927   100.83691907 105.16713817 138.51941659 195.6584519
 138.95754578  84.17045998 146.62198103 196.33237115  72.33182051
 157.29563441 152.70041035 103.5172543  114.30779189 109.52802617
 117.02610849  66.37450818  55.06906659 135.65623232 103.67311179
  93.75538451 199.13887256 130.42137776 129.24243157  69.55508993
  70.18082986  90.59711226 200.59335732 109.91220865  88.88116774]"|[190.66633945 174.25906042]|[16.61400085 24.08870544]
9|"[ 87.96055125 137.7898424   64.32470751  51.93235539  57.20373225
 173.59245441  75.82331764 173.18112788  70.64485309 109.38176518
 166.36367812  98.80144834 103.90023253 130.27926534 146.72200938
 179.29850253  71.23310265  77.77574848 109.41325958 162.49380888
  69.96640772 166.03696625 104.92368871  65.50362938  84.86864232
 156.11975737 148.80719144  62.68184744  87.21017968  63.54712449
 168.25560362 143.53877077 162.05802234 144.57857395 118.59169968
  74.29878698 168.61611888 174.74700863 113.10360714 114.30709971
 116.42883381 180.66397119 139.43266717 187.50096076 104.21012784
 115.79565948 193.16053168 132.18374049 162.83541483 119.83127365
 160.80434998 123.14600695 166.68930685  95.4451365   81.89063918
  58.7719901  159.61168846 114.2845832  107.78532066 150.59412567
 151.07060909  67.03674185  94.0935241   91.03642029 155.82079009
 153.23020668  84.60124558 111.27219538  70.58674292 110.73870982
 113.73034261 121.42289965 141.06371248  71.15667978 164.98031404]"|"[ 80.82239194 183.37481864 179.60464719 177.51264085 138.15865092
 197.49347918  66.2271231  137.10981454 123.62355194  81.09356205
 192.90597498 140.35417185 170.05284532 146.84994281 131.50043417
  73.39634736 154.09304619  55.53666349  50.96716639 181.53569513
 179.40628918 100.08162247  59.56727378 170.61284749  83.28948086
 118.9922151   66.71873831 131.49052361 200.95688149 191.40107938
 195.91017878 182.73066618 103.90183739 127.52849729 114.05835169
  77.58827007 138.66261858  88.08424234 199.27333522 188.93174768
  54.81917804 103.89362043 124.06475892 145.4836188  133.69664891
 190.171927   100.83691907 105.16713817 138.51941659 195.6584519
 138.95754578  84.17045998 146.62198103 196.33237115  72.33182051
 157.29563441 152.70041035 103.5172543  114.30779189 109.52802617
 117.02610849  66.37450818  55.06906659 135.65623232 103.67311179
  93.75538451 199.13887256 130.42137776 129.24243157  69.55508993
  70.18082986  90.59711226 200.59335732 109.91220865  88.88116774]"|[191.81655149 174.88986143]|[17.57681561 25.4496206 ]
