|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[ 74.47409357 115.00306149 195.2293411  112.88495982 129.92358973
  97.97724194 141.41737525  79.17985479 146.89090307  91.25884261
 181.71019627 143.67274311 163.3450543  139.41230578 175.07978567
  61.80807736  67.16465366 184.15008823  56.07853576 122.15954374
 198.17459488  85.04764391  88.8979009  105.45139207 157.96362867
 167.85030657 119.27198233 106.28148543  57.06250162 114.46660216
  68.93432299  99.13480335  67.67274519 158.38197989 138.91707788
 196.44560587 111.85088885 152.10173927 185.43684736 181.95238075
 156.75648935 138.30930159 171.64869465 107.06468817 126.89864013
 117.68934265 108.42223644 143.9140923  146.67726273  91.32062795
  93.29783382  70.52987276 120.06100983  67.76597371  77.40709815
 183.03626036  71.22460936 102.08997053  56.61232322  93.347288
 185.96374979  68.68993017 119.10440601 172.36393056  64.65104051
 115.43176664  96.50467638  78.14660832  69.95541388 187.82801133
 148.4925203   93.78400279 121.80159624 174.20348415 137.8233977
 182.80012314 191.78850344  76.08817475 194.91230309 176.32762189
 125.6887508  123.5740047  160.25082559 157.84288138 124.73706554
 196.38185808 123.28505906 187.75096821 151.72371175  97.74408576
 196.67499285 152.25267192 108.8415761  139.99319256  53.20757785
 167.69734699 147.25721669 134.04574897 187.16406384  62.09566596]"|"[119.56149807 106.96082853 105.6647279  187.11744487 194.03647893
 107.51111105  86.06645783 171.32786865 165.89825231 175.03388226
 105.78975353 185.67245665 146.10213356 174.46590822  50.05570052
 101.76363226 167.03067427 193.99723441 156.70720457  93.79149607
  70.71153744  67.31406015 193.25495322 101.76722883  68.1998538
 138.71083059  97.47937375  62.88455308  76.16931326 163.70775305
 193.67870976  60.51746762 111.72614999 133.88855033 128.22056109
  67.27347288 134.44786459 102.59440457  80.34232625 109.17756003
  82.52605167 179.12542299 192.44191485  86.14382061 130.36506941
 119.04477269 136.19548808  62.427064    69.25024036 123.21698011
  96.75912363 167.85277294  65.14893386 165.9277176   92.08588121
 139.21499345 180.32843659  78.42468632 102.17629939 173.39775672
  58.34069306  66.9212804  149.99790179  67.92843717 126.60533054
  90.33915456 171.40041055  67.17269846 144.02946781 115.57064399
 188.89554087 196.91059579  95.52837425  69.7487401  179.0458891
  61.64940575  54.35547818  71.09684712 135.83114561  50.8675283
  59.70664315 168.13614906 108.1910987  126.76235206 185.39111918
 196.04572276 105.85242558 163.43250752 101.16653626 171.9320888
  81.22640873 126.81764053  73.40513171 138.69436563  70.79803262
  76.16086397  94.05391736 155.09015012 122.9248306   93.62970893]"|[165.58610934 147.26767071 146.49115448  70.90538945]|[10.28867468 13.78371644 12.20323767 12.9885987 ]
1|"[ 74.47409357 115.00306149 195.2293411  112.88495982 129.92358973
  97.97724194 141.41737525  79.17985479 146.89090307  91.25884261
 181.71019627 143.67274311 163.3450543  139.41230578 174.17191533
  61.80807736  67.16465366 184.15008823  56.07853576 122.15954374
 198.17459488  85.04764391  88.8979009  105.45139207 158.81844332
 167.85030657 119.27198233 106.28148543  57.06250162 114.46660216
  68.93432299  99.13480335  67.67274519 158.38197989 138.91707788
 196.44560587 111.85088885 152.10173927 185.43684736 181.95238075
 156.75648935 138.30930159 171.64869465 107.06468817 126.89864013
 118.40842005 108.42223644 143.9140923  146.67726273  91.32062795
  93.29783382  70.52987276 120.06100983  67.76597371  77.40709815
 183.03626036  71.22460936 102.08997053  56.61232322  92.51939458
 185.96374979  68.68993017 119.10440601 171.75501799  64.65104051
 115.43176664  96.50467638  78.14660832  69.95541388 187.82801133
 148.4925203   93.78400279 121.00705183 174.20348415 137.8233977
 182.80012314 191.78850344  76.08817475 194.91230309 176.77812009
 125.6887508  123.5740047  160.25082559 157.84288138 124.73706554
 196.38185808 123.28505906 187.75096821 151.72371175  97.74408576
 196.67499285 152.25267192 108.8415761  139.99319256  53.20757785
 168.15186393 147.25721669 134.04574897 187.16406384  61.97969187]"|"[119.56149807 106.96082853 105.6647279  187.11744487 194.03647893
 107.51111105  86.06645783 171.32786865 165.89825231 175.03388226
 105.78975353 185.67245665 146.10213356 174.46590822  50.47495156
 101.76363226 167.03067427 193.99723441 156.70720457  93.79149607
  70.71153744  67.31406015 193.25495322 101.76722883  67.68092035
 138.71083059  97.47937375  62.88455308  76.16931326 163.70775305
 193.67870976  60.51746762 111.72614999 133.88855033 128.22056109
  67.27347288 134.44786459 102.59440457  80.34232625 109.17756003
  82.52605167 179.12542299 192.44191485  86.14382061 130.36506941
 118.34984271 136.19548808  62.427064    69.25024036 123.21698011
  96.75912363 167.85277294  65.14893386 165.9277176   92.08588121
 139.21499345 180.32843659  78.42468632 102.17629939 173.95864218
  58.34069306  66.9212804  149.99790179  67.13519983 126.60533054
  90.33915456 171.40041055  67.17269846 144.02946781 115.57064399
 188.89554087 196.91059579  94.9211682   69.7487401  179.0458891
  61.64940575  54.35547818  71.09684712 135.83114561  51.76030563
  59.70664315 168.13614906 108.1910987  126.76235206 185.39111918
 196.04572276 105.85242558 163.43250752 101.16653626 171.9320888
  81.22640873 126.81764053  73.40513171 138.69436563  70.79803262
  77.05160206  94.05391736 155.09015012 122.9248306   92.6364567 ]"|[166.9108934  147.99868796 145.91577206  69.84420238]|[10.99219951 15.09353084 10.81798135 14.04873172]
2|"[ 73.50102796 115.00306149 195.2293411  112.88495982 129.92358973
  97.97724194 141.41737525  79.17985479 147.70643426  91.25884261
 181.71019627 143.67274311 163.3450543  139.41230578 174.28884595
  61.80807736  67.16465366 184.15008823  56.07853576 122.15954374
 198.17459488  85.04764391  88.8979009  105.45139207 158.53730942
 167.85030657 119.27198233 106.28148543  57.06250162 114.46660216
  68.93432299  99.13480335  67.67274519 158.38197989 138.91707788
 196.44560587 111.85088885 152.10173927 185.43684736 181.95238075
 156.75648935 138.30930159 171.64869465 107.06468817 126.89864013
 118.40842005 108.42223644 143.9140923  146.67726273  91.32062795
  93.29783382  70.52987276 120.06100983  67.76597371  77.40709815
 183.03626036  71.22460936 102.08997053  56.61232322  91.53196243
 185.96374979  68.68993017 119.10440601 171.75501799  64.65104051
 116.40600647  96.50467638  78.14660832  69.95541388 187.82801133
 148.4925203   93.78400279 121.00705183 174.20348415 137.8233977
 183.55206141 191.78850344  76.08817475 194.91230309 176.99686994
 125.6887508  123.5740047  160.25082559 157.84288138 124.73706554
 196.38185808 123.28505906 187.98765314 151.72371175  97.74408576
 196.67499285 152.25267192 108.8415761  139.27026283  53.20757785
 168.15186393 147.25721669 134.04574897 187.16406384  61.97969187]"|"[119.79202644 106.96082853 105.6647279  187.11744487 194.03647893
 107.51111105  86.06645783 171.32786865 165.31953919 175.03388226
 105.78975353 185.67245665 146.10213356 174.46590822  51.46809165
 101.76363226 167.03067427 193.99723441 156.70720457  93.79149607
  70.71153744  67.31406015 193.25495322 101.76722883  68.6405889
 138.71083059  97.47937375  62.88455308  76.16931326 163.70775305
 193.67870976  60.51746762 111.72614999 133.88855033 128.22056109
  67.27347288 134.44786459 102.59440457  80.34232625 109.17756003
  82.52605167 179.12542299 192.44191485  86.14382061 130.36506941
 118.34984271 136.19548808  62.427064    69.25024036 123.21698011
  96.75912363 167.85277294  65.14893386 165.9277176   92.08588121
 139.21499345 180.32843659  78.42468632 102.17629939 173.80059871
  58.34069306  66.9212804  149.99790179  67.13519983 126.60533054
  90.11364015 171.40041055  67.17269846 144.02946781 115.57064399
 188.89554087 196.91059579  94.9211682   69.7487401  179.0458891
  62.30863927  54.35547818  71.09684712 135.83114561  52.7360866
  59.70664315 168.13614906 108.1910987  126.76235206 185.39111918
 196.04572276 105.85242558 162.46092107 101.16653626 171.9320888
  81.22640873 126.81764053  73.40513171 138.00344407  70.79803262
  77.05160206  94.05391736 155.09015012 122.9248306   92.6364567 ]"|[168.21534551 148.96203543 146.64331537  68.79932611]|[11.73274302 16.24329676  9.50623414 15.12494432]
3|"[ 73.50102796 115.00306149 195.2293411  112.88495982 129.92358973
  97.97724194 141.41737525  79.17985479 147.70643426  91.25884261
 181.71019627 143.67274311 163.3450543  139.41230578 174.65370834
  61.80807736  67.16465366 184.15008823  56.07853576 122.15954374
 198.17459488  85.04764391  88.8979009  105.45139207 158.53730942
 167.85030657 119.27198233 106.28148543  57.06250162 114.46660216
  68.93432299  99.13480335  67.67274519 158.38197989 138.91707788
 196.44560587 111.85088885 152.10173927 185.43684736 181.95238075
 156.40296034 138.30930159 171.64869465 107.06468817 126.89864013
 118.40842005 108.42223644 143.9140923  146.67726273  91.32062795
  93.29783382  70.52987276 120.06100983  67.76597371  77.40709815
 183.03626036  71.22460936 102.08997053  56.61232322  91.53196243
 185.96374979  68.68993017 119.10440601 171.75501799  65.64602465
 116.40600647  96.50467638  78.14660832  69.95541388 187.82801133
 147.63192249  93.78400279 121.00705183 174.20348415 137.8233977
 183.55206141 191.78850344  76.89358852 194.91230309 177.21180332
 125.6887508  123.5740047  160.25082559 157.84288138 124.73706554
 196.38185808 123.28505906 187.98765314 151.72371175  97.74408576
 196.67499285 152.25267192 108.8415761  139.27026283  53.20757785
 168.15186393 147.25721669 134.04574897 187.16406384  61.97969187]"|"[119.79202644 106.96082853 105.6647279  187.11744487 194.03647893
 107.51111105  86.06645783 171.32786865 165.31953919 175.03388226
 105.78975353 185.67245665 146.10213356 174.46590822  52.39915311
 101.76363226 167.03067427 193.99723441 156.70720457  93.79149607
  70.71153744  67.31406015 193.25495322 101.76722883  68.6405889
 138.71083059  97.47937375  62.88455308  76.16931326 163.70775305
 193.67870976  60.51746762 111.72614999 133.88855033 128.22056109
  67.27347288 134.44786459 102.59440457  80.34232625 109.17756003
  81.59062811 179.12542299 192.44191485  86.14382061 130.36506941
 118.34984271 136.19548808  62.427064    69.25024036 123.21698011
  96.75912363 167.85277294  65.14893386 165.9277176   92.08588121
 139.21499345 180.32843659  78.42468632 102.17629939 173.80059871
  58.34069306  66.9212804  149.99790179  67.13519983 126.70536333
  90.11364015 171.40041055  67.17269846 144.02946781 115.57064399
 188.38625566 196.91059579  94.9211682   69.7487401  179.0458891
  62.30863927  54.35547818  71.68956008 135.83114561  53.71271532
  59.70664315 168.13614906 108.1910987  126.76235206 185.39111918
 196.04572276 105.85242558 162.46092107 101.16653626 171.9320888
  81.22640873 126.81764053  73.40513171 138.00344407  70.79803262
  77.05160206  94.05391736 155.09015012 122.9248306   92.6364567 ]"|[169.50308631 149.9853841  148.08487059  67.77101801]|[12.50197876 17.33999977  9.09160353 16.21699855]
4|"[ 73.50102796 115.00306149 195.2293411  112.88495982 129.92358973
  97.97724194 141.41737525  79.17985479 147.70643426  91.25884261
 181.71019627 143.67274311 163.3450543  139.41230578 175.08044115
  61.80807736  67.16465366 184.15008823  56.07853576 122.15954374
 198.17459488  85.04764391  88.8979009  105.45139207 158.53730942
 167.85030657 119.27198233 106.28148543  57.06250162 114.46660216
  68.93432299  99.13480335  67.67274519 158.38197989 138.91707788
 196.44560587 111.85088885 152.10173927 185.43684736 181.95238075
 156.40296034 138.30930159 171.64869465 107.06468817 126.89864013
 118.40842005 108.42223644 143.9140923  146.67726273  91.32062795
  93.29783382  71.10321062 120.06100983  67.76597371  77.40709815
 183.03626036  71.22460936 102.43599206  56.61232322  91.53196243
 185.04549021  68.68993017 119.10440601 171.75501799  65.64602465
 116.40600647  96.50467638  78.14660832  69.95541388 187.82801133
 147.63192249  94.55726525 121.00705183 174.20348415 137.8233977
 183.55206141 191.78850344  76.89358852 194.91230309 177.43984647
 125.6887508  123.5740047  160.25082559 157.84288138 124.73706554
 196.38185808 123.28505906 187.98765314 151.72371175  97.74408576
 196.67499285 152.25267192 108.8415761  139.27026283  53.20757785
 168.15186393 147.25721669 134.04574897 187.16406384  61.97969187]"|"[119.79202644 106.96082853 105.6647279  187.11744487 194.03647893
 107.51111105  86.06645783 171.32786865 165.31953919 175.03388226
 105.78975353 185.67245665 146.10213356 174.46590822  53.30353085
 101.76363226 167.03067427 193.99723441 156.70720457  93.79149607
  70.71153744  67.31406015 193.25495322 101.76722883  68.6405889
 138.71083059  97.47937375  62.88455308  76.16931326 163.70775305
 193.67870976  60.51746762 111.72614999 133.88855033 128.22056109
  67.27347288 134.44786459 102.59440457  80.34232625 109.17756003
  81.59062811 179.12542299 192.44191485  86.14382061 130.36506941
 118.34984271 136.19548808  62.427064    69.25024036 123.21698011
  96.75912363 167.0334539   65.14893386 165.9277176   92.08588121
 139.21499345 180.32843659  79.3629129  102.17629939 173.80059871
  57.94471408  66.9212804  149.99790179  67.13519983 126.70536333
  90.11364015 171.40041055  67.17269846 144.02946781 115.57064399
 188.38625566 197.54468188  94.9211682   69.7487401  179.0458891
  62.30863927  54.35547818  71.68956008 135.83114561  54.68636634
  59.70664315 168.13614906 108.1910987  126.76235206 185.39111918
 196.04572276 105.85242558 162.46092107 101.16653626 171.9320888
  81.22640873 126.81764053  73.40513171 138.00344407  70.79803262
  77.05160206  94.05391736 155.09015012 122.9248306   92.6364567 ]"|[170.79852668 151.09827188 149.57970519  66.75820489]|[13.258176   18.34572379  8.96722707 17.3234386 ]
5|"[ 73.50102796 115.00306149 195.2293411  112.88495982 129.92358973
  97.97724194 141.41737525  79.17985479 147.70643426  91.25884261
 181.71019627 143.67274311 163.3450543  139.41230578 175.52790353
  61.80807736  67.16465366 184.15008823  55.9538126  122.15954374
 198.17459488  85.04764391  88.8979009  105.45139207 158.53730942
 167.85030657 119.27198233 106.28148543  57.06250162 114.46660216
  68.93432299  99.13480335  67.67274519 158.38197989 138.91707788
 196.44560587 111.85088885 152.10173927 185.43684736 181.16054802
 156.40296034 138.30930159 171.64869465 107.06468817 126.89864013
 118.40842005 108.42223644 143.90392489 146.67726273  91.32062795
  93.29783382  71.10321062 120.06100983  67.76597371  77.40709815
 183.03626036  71.22460936 102.43599206  56.61232322  91.53196243
 185.04549021  68.68993017 119.10440601 171.75501799  66.06906784
 116.40600647  96.50467638  78.14660832  69.95541388 187.82801133
 147.63192249  94.55726525 121.00705183 174.20348415 137.8233977
 183.55206141 191.78850344  76.89358852 194.91230309 177.7624127
 125.6887508  123.5740047  160.25082559 157.84288138 124.73706554
 196.38185808 123.28505906 187.98765314 151.72371175  97.74408576
 196.67499285 152.25267192 108.8415761  139.27026283  53.20757785
 168.15186393 146.71035419 134.04574897 187.16406384  61.97969187]"|"[119.79202644 106.96082853 105.6647279  187.11744487 194.03647893
 107.51111105  86.06645783 171.32786865 165.31953919 175.03388226
 105.78975353 185.67245665 146.10213356 174.46590822  54.19783361
 101.76363226 167.03067427 193.99723441 157.69939615  93.79149607
  70.71153744  67.31406015 193.25495322 101.76722883  68.6405889
 138.71083059  97.47937375  62.88455308  76.16931326 163.70775305
 193.67870976  60.51746762 111.72614999 133.88855033 128.22056109
  67.27347288 134.44786459 102.59440457  80.34232625 108.566822
  81.59062811 179.12542299 192.44191485  86.14382061 130.36506941
 118.34984271 136.19548808  63.42701231  69.25024036 123.21698011
  96.75912363 167.0334539   65.14893386 165.9277176   92.08588121
 139.21499345 180.32843659  79.3629129  102.17629939 173.80059871
  57.94471408  66.9212804  149.99790179  67.13519983 127.61147284
  90.11364015 171.40041055  67.17269846 144.02946781 115.57064399
 188.38625566 197.54468188  94.9211682   69.7487401  179.0458891
  62.30863927  54.35547818  71.68956008 135.83114561  55.63291324
  59.70664315 168.13614906 108.1910987  126.76235206 185.39111918
 196.04572276 105.85242558 162.46092107 101.16653626 171.9320888
  81.22640873 126.81764053  73.40513171 138.00344407  70.79803262
  77.05160206  94.89113979 155.09015012 122.9248306   92.6364567 ]"|[172.08041128 152.217893   151.07934909  65.76225029]|[14.03713163 19.34394647  8.99990998 18.44507778]
6|"[ 73.50102796 115.00306149 195.2293411  112.88495982 129.92358973
  97.97724194 141.41737525  79.17985479 147.70643426  91.25884261
 181.71019627 143.67274311 163.3450543  139.41230578 175.90796264
  61.80807736  67.16465366 184.15008823  55.9538126  122.15954374
 198.17459488  85.70897288  88.8979009  105.45139207 158.53730942
 167.85030657 119.27198233 106.28148543  57.06250162 114.46660216
  68.93432299  99.13480335  67.67274519 158.38197989 138.91707788
 196.44560587 111.85088885 152.10173927 185.43684736 181.16054802
 156.60026737 138.30930159 171.64869465 107.06468817 126.89864013
 118.40842005 108.42223644 143.86415954 146.67726273  91.32062795
  93.29783382  71.10321062 120.06100983  67.76597371  77.40709815
 183.03626036  71.22460936 102.43599206  56.61232322  91.87090985
 185.04549021  68.68993017 119.10440601 171.75501799  66.06906784
 116.01478937  97.20492425  78.14660832  69.95541388 187.82801133
 147.63192249  94.55726525 121.00705183 174.20348415 137.8233977
 183.55206141 191.60935163  76.89358852 194.91230309 178.05975307
 125.6887508  123.5740047  160.25082559 157.84288138 124.73706554
 196.38185808 123.28505906 187.98765314 151.72371175  97.74408576
 196.67499285 152.25267192 108.8415761  138.69089473  53.20757785
 168.15186393 146.71035419 134.04574897 187.16406384  61.97969187]"|"[119.79202644 106.96082853 105.6647279  187.11744487 194.03647893
 107.51111105  86.06645783 171.32786865 165.31953919 175.03388226
 105.78975353 185.67245665 146.10213356 174.46590822  55.12279581
 101.76363226 167.03067427 193.99723441 157.69939615  93.79149607
  70.71153744  68.06415614 193.25495322 101.76722883  68.6405889
 138.71083059  97.47937375  62.88455308  76.16931326 163.70775305
 193.67870976  60.51746762 111.72614999 133.88855033 128.22056109
  67.27347288 134.44786459 102.59440457  80.34232625 108.566822
  80.61028637 179.12542299 192.44191485  86.14382061 130.36506941
 118.34984271 136.19548808  64.42622136  69.25024036 123.21698011
  96.75912363 167.0334539   65.14893386 165.9277176   92.08588121
 139.21499345 180.32843659  79.3629129  102.17629939 174.74140402
  57.94471408  66.9212804  149.99790179  67.13519983 127.61147284
  91.03393857 172.11431034  67.17269846 144.02946781 115.57064399
 188.38625566 197.54468188  94.9211682   69.7487401  179.0458891
  62.30863927  55.33929962  71.68956008 135.83114561  56.58768479
  59.70664315 168.13614906 108.1910987  126.76235206 185.39111918
 196.04572276 105.85242558 162.46092107 101.16653626 171.9320888
  81.22640873 126.81764053  73.40513171 138.81851009  70.79803262
  77.05160206  94.89113979 155.09015012 122.9248306   92.6364567 ]"|[173.34883627 153.33860171 152.57260208  64.78322989]|[14.8378176  20.34094797  9.14202085 19.58152798]
7|"[ 73.50102796 115.00306149 195.2293411  112.88495982 129.92358973
  97.97724194 141.41737525  79.17985479 147.70643426  91.25884261
 181.71019627 143.67274311 163.3450543  139.41230578 176.36321738
  61.80807736  67.16465366 184.15008823  55.9538126  122.15954374
 198.17459488  85.70897288  88.8979009  105.45139207 158.53730942
 167.85030657 119.27198233 106.28148543  57.06250162 114.46660216
  68.93432299  99.13480335  67.67274519 158.38197989 138.91707788
 196.44560587 111.85088885 152.10173927 185.43684736 181.16054802
 156.60026737 138.30930159 171.64869465 107.06468817 126.89864013
 118.40842005 108.42223644 143.86415954 146.67726273  91.32062795
  93.29783382  71.10321062 120.06100983  67.76597371  77.40709815
 183.03626036  71.22460936 102.43599206  56.61232322  91.87090985
 184.9348691   68.68993017 119.10440601 171.75501799  66.06906784
 116.01478937  97.20492425  78.14660832  69.95541388 187.82801133
 147.63192249  94.55726525 121.00705183 174.20348415 137.8233977
 183.55206141 191.57657892  76.4078298  194.91230309 178.48999785
 125.6887508  123.5740047  160.25082559 157.84288138 124.73706554
 196.38185808 123.28505906 187.98765314 151.72371175  97.74408576
 196.67499285 152.25267192 108.8415761  138.69089473  53.20757785
 168.15186393 146.71035419 134.04574897 187.16406384  61.97969187]"|"[119.79202644 106.96082853 105.6647279  187.11744487 194.03647893
 107.51111105  86.06645783 171.32786865 165.31953919 175.03388226
 105.78975353 185.67245665 146.10213356 174.46590822  56.01315704
 101.76363226 167.03067427 193.99723441 157.69939615  93.79149607
  70.71153744  68.06415614 193.25495322 101.76722883  68.6405889
 138.71083059  97.47937375  62.88455308  76.16931326 163.70775305
 193.67870976  60.51746762 111.72614999 133.88855033 128.22056109
  67.27347288 134.44786459 102.59440457  80.34232625 108.566822
  80.61028637 179.12542299 192.44191485  86.14382061 130.36506941
 118.34984271 136.19548808  64.42622136  69.25024036 123.21698011
  96.75912363 167.0334539   65.14893386 165.9277176   92.08588121
 139.21499345 180.32843659  79.3629129  102.17629939 174.74140402
  58.93857673  66.9212804  149.99790179  67.13519983 127.61147284
  91.03393857 172.11431034  67.17269846 144.02946781 115.57064399
 188.38625566 197.54468188  94.9211682   69.7487401  179.0458891
  62.30863927  56.33876245  70.81546714 135.83114561  57.49039705
  59.70664315 168.13614906 108.1910987  126.76235206 185.39111918
 196.04572276 105.85242558 162.46092107 101.16653626 171.9320888
  81.22640873 126.81764053  73.40513171 138.81851009  70.79803262
  77.05160206  94.89113979 155.09015012 122.9248306   92.6364567 ]"|[174.6037952  154.45662747 154.05541198  63.82122453]|[15.65944896 21.34095718  9.36846026 20.73241707]
8|"[ 73.50102796 115.00306149 195.2293411  112.88495982 130.28490738
  97.97724194 141.41737525  79.17985479 147.70643426  91.25884261
 181.71019627 143.67274311 163.3450543  139.41230578 176.81817773
  61.80807736  67.16465366 184.15008823  55.9538126  122.15954374
 198.17459488  85.70897288  88.8979009  105.45139207 158.53730942
 167.85030657 119.27198233 106.28148543  57.06250162 114.14155227
  68.93432299  99.13480335  67.67274519 158.38197989 138.91707788
 196.44560587 111.85088885 152.10173927 185.43684736 181.16054802
 156.60026737 138.30930159 171.64869465 107.06468817 127.52135265
 118.40842005 108.42223644 143.52555871 146.67726273  91.32062795
  93.86389327  71.10321062 120.06100983  67.76597371  77.40709815
 183.03626036  71.22460936 102.43599206  56.61232322  91.87090985
 185.01149383  68.68993017 119.10440601 171.75501799  66.06906784
 116.01478937  97.20492425  78.14660832  69.95541388 187.82801133
 147.97844521  94.55726525 121.00705183 174.20348415 137.8233977
 183.55206141 191.52643448  76.4078298  194.91230309 178.82203945
 125.6887508  123.5740047  160.25082559 157.84288138 124.73706554
 196.38185808 123.28505906 187.98765314 151.72371175  97.74408576
 196.67499285 152.25267192 108.8415761  138.69089473  53.20757785
 168.15186393 146.71035419 134.04574897 187.16406384  61.97969187]"|"[119.79202644 106.96082853 105.6647279  187.11744487 193.10403614
 107.51111105  86.06645783 171.32786865 165.31953919 175.03388226
 105.78975353 185.67245665 146.10213356 174.46590822  56.90366874
 101.76363226 167.03067427 193.99723441 157.69939615  93.79149607
  70.71153744  68.06415614 193.25495322 101.76722883  68.6405889
 138.71083059  97.47937375  62.88455308  76.16931326 162.76205618
 193.67870976  60.51746762 111.72614999 133.88855033 128.22056109
  67.27347288 134.44786459 102.59440457  80.34232625 108.566822
  80.61028637 179.12542299 192.44191485  86.14382061 131.14752013
 118.34984271 136.19548808  65.36715147  69.25024036 123.21698011
  95.93475921 167.0334539   65.14893386 165.9277176   92.08588121
 139.21499345 180.32843659  79.3629129  102.17629939 174.74140402
  59.93563673  66.9212804  149.99790179  67.13519983 127.61147284
  91.03393857 172.11431034  67.17269846 144.02946781 115.57064399
 187.44821408 197.54468188  94.9211682   69.7487401  179.0458891
  62.30863927  57.33750443  70.81546714 135.83114561  58.43366179
  59.70664315 168.13614906 108.1910987  126.76235206 185.39111918
 196.04572276 105.85242558 162.46092107 101.16653626 171.9320888
  81.22640873 126.81764053  73.40513171 138.81851009  70.79803262
  77.05160206  94.89113979 155.09015012 122.9248306   92.6364567 ]"|[175.84523377 155.50164575 155.52601321  62.91638995]|[16.50136955 22.41703189  9.66398017 21.92877586]
9|"[ 73.50102796 115.00306149 195.2293411  112.88495982 130.28490738
  97.97724194 141.41737525  79.17985479 147.70643426  91.25884261
 181.71019627 143.67274311 163.3450543  139.41230578 177.19431967
  61.80807736  67.16465366 184.15008823  55.9538126  122.15954374
 198.17459488  85.70897288  88.8979009  105.45139207 158.53730942
 167.85030657 119.27198233 106.28148543  57.06250162 113.4346656
  68.93432299  99.13480335  67.67274519 158.38197989 138.91707788
 196.44560587 111.85088885 152.10173927 185.43684736 181.16054802
 156.60026737 138.30930159 171.64869465 107.06468817 127.52135265
 118.40842005 108.42223644 143.34397406 146.67726273  91.32062795
  93.86389327  71.10321062 120.06100983  67.76597371  77.40709815
 183.03626036  71.22460936 102.43599206  56.61232322  91.87090985
 185.11112903  68.68993017 119.10440601 171.23260794  66.06906784
 116.01478937  97.20492425  78.14660832  69.95541388 187.82801133
 147.97844521  94.55726525 120.16912756 174.20348415 137.8233977
 183.55206141 191.44864042  76.4078298  194.91230309 179.23974024
 125.6887508  123.5740047  160.25082559 157.84288138 124.73706554
 196.38185808 123.28505906 187.98765314 151.72371175  97.74408576
 196.67499285 152.25267192 108.8415761  138.69089473  53.20757785
 168.15186393 146.71035419 134.04574897 187.16406384  61.97969187]"|"[119.79202644 106.96082853 105.6647279  187.11744487 193.10403614
 107.51111105  86.06645783 171.32786865 165.31953919 175.03388226
 105.78975353 185.67245665 146.10213356 174.46590822  57.83023079
 101.76363226 167.03067427 193.99723441 157.69939615  93.79149607
  70.71153744  68.06415614 193.25495322 101.76722883  68.6405889
 138.71083059  97.47937375  62.88455308  76.16931326 162.05472935
 193.67870976  60.51746762 111.72614999 133.88855033 128.22056109
  67.27347288 134.44786459 102.59440457  80.34232625 108.566822
  80.61028637 179.12542299 192.44191485  86.14382061 131.14752013
 118.34984271 136.19548808  66.35052679  69.25024036 123.21698011
  95.93475921 167.0334539   65.14893386 165.9277176   92.08588121
 139.21499345 180.32843659  79.3629129  102.17629939 174.74140402
  60.93066077  66.9212804  149.99790179  66.28250543 127.61147284
  91.03393857 172.11431034  67.17269846 144.02946781 115.57064399
 187.44821408 197.54468188  95.46695471  69.7487401  179.0458891
  62.30863927  58.33447388  70.81546714 135.83114561  59.34224643
  59.70664315 168.13614906 108.1910987  126.76235206 185.39111918
 196.04572276 105.85242558 162.46092107 101.16653626 171.9320888
  81.22640873 126.81764053  73.40513171 138.81851009  70.79803262
  77.05160206  94.89113979 155.09015012 122.9248306   92.6364567 ]"|[177.03142349 156.5389983  156.91149718  62.02880722]|[17.41949479 23.50049841 10.23881421 23.1379892 ]
