|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[174.38873499 141.42788267 109.08388821  53.64145015  98.09669305
  63.86280792 152.16393281  59.2641155   62.83482863  97.9281799
  78.62807851 170.71828428 180.37051562 104.92538177  54.96644155
  77.22259519 151.72255987  57.86846861  50.58035926 128.57110678
 129.41931954 104.7723799  100.90637208  85.81719226 162.85758839
  92.66033724 163.97424355  63.09636375 112.83356933 190.4526034
 112.6781795   85.43654746 144.61601218  82.58422437 147.21519488
 146.12645395 164.63245387 183.82710923 198.08678177  91.35895674
 169.44753912 149.02914452 154.8719565  179.60408133 111.75628884
 184.60603515 115.15122386 143.30783056  97.89304568 197.10520487
 169.05733859  54.72914031 124.67244677  96.74951037 193.21220737
  52.74848039 110.88619463  62.1741024  140.5447363  172.40437738
  57.16376551 110.63568933  58.64105248 154.93059133 108.51802561
  55.16872807 193.99632821 105.68862192 198.9649265  193.72896326
 100.06464824  73.8806129  184.69164533 162.57437497  88.6746549
 145.85817984 174.21215193  74.88571316 146.49974046 154.0307345
  90.0438149   81.13182515  78.92731144 110.533487   125.06198132
 132.98575169  62.87533725  91.68237113 151.69972591 120.31934624
  74.61470348 166.7599182  167.27848762 145.75765221  84.40052689
  81.70373304 194.89914103 101.99223947 184.40127941  97.7628894 ]"|"[146.70628326 113.89783551 110.03887103 152.13730348 132.04794583
 179.12549645  75.86980757 176.14080096 125.54358235 117.92375904
 155.8236106  113.82023063 151.51399376  60.13462893  93.13845718
 141.93720542 177.072225   119.56984773  89.37382435 142.51080977
 119.21726607 112.16045883 160.60913979  96.3318495   57.40356824
 187.72830349 169.19892224 165.36885801 197.52172472 193.0386474
 144.99880301 148.21962937 145.38895711 106.3303791  181.20785789
  84.08515154 131.48866608  68.86025466 120.87808057 123.46660301
 148.66158236 180.59053538  52.17307095 166.90385085 190.1550755
  64.66760716 141.39943619  92.35646426  88.92860805  85.34289316
 159.75704363  87.53840444 160.07845114 101.74760075  98.16620144
 178.95318026  92.19354284 168.57228904 129.72134633  56.89349525
  93.29262342 104.92081789 137.72487395  99.23751326  68.52392522
  86.28666203 178.48444293 112.77465609 154.28134096 116.50292859
 142.13413247  78.16545     70.27471323 121.1094652  175.42170607
 143.5582617  167.30368661 177.25928616 187.40660921 173.56275854
 187.24490746 110.04886834  86.74326159 199.38142517 134.17556421
 107.64811694 161.28907864 188.45771803  55.93012112 171.72595338
 193.38400018  55.39995784 157.99325099  98.66031049 168.3681294
 196.21712114  59.51917059 128.43460037  92.43254529 186.27798093]"|[115.26202539 108.64005929 188.99502288  97.30386152]|[12.91156835 13.86914326 12.90210718 13.29242358]
1|"[174.38873499 141.42788267 109.08388821  53.64145015  98.09669305
  63.86280792 152.16393281  59.2641155   62.83482863  97.9281799
  78.62807851 169.89945672 180.37051562 104.92538177  54.96644155
  77.22259519 151.72255987  57.86846861  50.58035926 128.57110678
 129.41931954 104.7723799  100.90637208  85.81719226 162.85758839
  92.66033724 163.07094664  63.09636375 111.87291191 190.4526034
 112.6781795   85.43654746 144.61601218  82.58422437 147.21519488
 146.12645395 164.63245387 183.82710923 198.08678177  91.35895674
 169.44753912 149.02914452 154.8719565  179.60408133 111.75628884
 184.60603515 115.15122386 143.30783056  97.89304568 197.10520487
 169.05733859  54.72914031 124.67244677  96.20969722 193.21220737
  52.74848039 110.88619463  62.1741024  139.70554457 172.40437738
  57.16376551 110.63568933  58.64105248 154.93059133 108.51802561
  55.16872807 193.99632821 105.68862192 198.9649265  193.72896326
 100.06464824  73.8806129  184.69164533 162.57437497  89.50081491
 145.85817984 174.21215193  74.88571316 146.49974046 154.0307345
  90.0438149   81.81392191  78.92731144 110.533487   125.06198132
 132.98575169  62.87533725  91.68237113 151.69972591 120.31934624
  74.61470348 166.7599182  167.27848762 145.77534198  84.60489373
  81.70373304 194.89914103 101.99223947 184.40127941  97.7628894 ]"|"[146.70628326 113.89783551 110.03887103 152.13730348 132.04794583
 179.12549645  75.86980757 176.14080096 125.54358235 117.92375904
 155.8236106  114.39427019 151.51399376  60.13462893  93.13845718
 141.93720542 177.072225   119.56984773  89.37382435 142.51080977
 119.21726607 112.16045883 160.60913979  96.3318495   57.40356824
 187.72830349 169.6279382  165.36885801 197.24398867 193.0386474
 144.99880301 148.21962937 145.38895711 106.3303791  181.20785789
  84.08515154 131.48866608  68.86025466 120.87808057 123.46660301
 148.66158236 180.59053538  52.17307095 166.90385085 190.1550755
  64.66760716 141.39943619  92.35646426  88.92860805  85.34289316
 159.75704363  87.53840444 160.07845114 102.58938562  98.16620144
 178.95318026  92.19354284 168.57228904 130.265182    56.89349525
  93.29262342 104.92081789 137.72487395  99.23751326  68.52392522
  86.28666203 178.48444293 112.77465609 154.28134096 116.50292859
 142.13413247  78.16545     70.27471323 121.1094652  174.85827051
 143.5582617  167.30368661 177.25928616 187.40660921 173.56275854
 187.24490746 109.3176064   86.74326159 199.38142517 134.17556421
 107.64811694 161.28907864 188.45771803  55.93012112 171.72595338
 193.38400018  55.39995784 157.99325099  97.66046697 169.34702377
 196.21712114  59.51917059 128.43460037  92.43254529 186.27798093]"|[113.83149683 107.18987789 190.05445768  95.8780934 ]|[13.36277564 14.25251504 13.96399131 13.75845499]
2|"[174.38873499 141.42788267 109.08388821  53.00390702  98.09669305
  63.86280792 152.16393281  59.2641155   62.83482863  97.9281799
  79.60161891 169.89945672 180.37051562 104.92538177  54.96644155
  77.22259519 151.72255987  58.49928558  50.58035926 128.57110678
 129.41931954 104.7723799  100.90637208  85.81719226 162.85758839
  93.34347673 163.07094664  63.09636375 111.87291191 190.4526034
 112.6781795   85.43654746 144.61601218  82.58422437 147.21519488
 146.12645395 164.63245387 183.82710923 198.08678177  91.35895674
 169.44753912 149.02914452 154.8719565  179.60408133 111.75628884
 184.60603515 115.15122386 143.30783056  97.89304568 197.10520487
 169.05733859  54.72914031 124.67244677  96.20969722 193.21220737
  52.74848039 110.88619463  62.1741024  139.70554457 172.40437738
  57.16376551 110.63568933  58.64105248 154.93059133 108.51802561
  55.16872807 193.99632821 105.68862192 198.9649265  193.72896326
 100.06464824  73.8806129  184.69164533 162.57437497  89.50081491
 145.85817984 174.21215193  74.88571316 146.49974046 154.0307345
  90.0438149   81.81392191  78.92731144 110.533487   125.06198132
 132.98575169  62.87533725  91.68237113 151.69972591 120.31934624
  74.61470348 166.7599182  167.27848762 145.77534198  85.55690569
  81.70373304 194.89914103 102.04467524 184.40127941  97.7628894 ]"|"[146.70628326 113.89783551 110.03887103 152.90771814 132.04794583
 179.12549645  75.86980757 176.14080096 125.54358235 117.92375904
 155.59509563 114.39427019 151.51399376  60.13462893  93.13845718
 141.93720542 177.072225   120.34577939  89.37382435 142.51080977
 119.21726607 112.16045883 160.60913979  96.3318495   57.40356824
 186.99801557 169.6279382  165.36885801 197.24398867 193.0386474
 144.99880301 148.21962937 145.38895711 106.3303791  181.20785789
  84.08515154 131.48866608  68.86025466 120.87808057 123.46660301
 148.66158236 180.59053538  52.17307095 166.90385085 190.1550755
  64.66760716 141.39943619  92.35646426  88.92860805  85.34289316
 159.75704363  87.53840444 160.07845114 102.58938562  98.16620144
 178.95318026  92.19354284 168.57228904 130.265182    56.89349525
  93.29262342 104.92081789 137.72487395  99.23751326  68.52392522
  86.28666203 178.48444293 112.77465609 154.28134096 116.50292859
 142.13413247  78.16545     70.27471323 121.1094652  174.85827051
 143.5582617  167.30368661 177.25928616 187.40660921 173.56275854
 187.24490746 109.3176064   86.74326159 199.38142517 134.17556421
 107.64811694 161.28907864 188.45771803  55.93012112 171.72595338
 193.38400018  55.39995784 157.99325099  97.66046697 169.65308459
 196.21712114  59.51917059 127.43597607  92.43254529 186.27798093]"|[112.37799186 105.74579492 191.09779901  94.46040151]|[13.73334726 14.65825433 15.04169205 14.24850571]
3|"[174.38873499 141.42788267 108.32220889  53.80206506  98.09669305
  63.86280792 152.16393281  59.2641155   62.83482863  97.9281799
  79.60161891 169.89945672 180.05976295 104.92538177  54.96644155
  76.25608824 151.72255987  58.49928558  50.58035926 128.57110678
 129.41931954 104.7723799  100.90637208  85.81719226 162.85758839
  93.34347673 163.4246526   62.31633359 111.87291191 190.4526034
 112.6781795   85.43654746 144.61601218  82.58422437 147.21519488
 146.12645395 164.63245387 183.82710923 198.08678177  91.35895674
 169.11984954 149.02914452 154.8719565  179.60408133 111.75628884
 184.60603515 115.15122386 143.30783056  97.89304568 197.10520487
 169.05733859  54.72914031 124.67244677  96.20969722 193.21220737
  52.74848039 110.88619463  62.1741024  139.70554457 172.40437738
  57.16376551 110.63568933  58.64105248 154.93059133 108.51802561
  55.16872807 193.99632821 105.68862192 198.9649265  193.72896326
 100.06464824  73.8806129  184.69164533 162.57437497  90.40467742
 145.85817984 174.21215193  74.88571316 146.49974046 154.0307345
  90.0438149   81.81392191  79.72619902 111.1318009  125.06198132
 132.98575169  62.87533725  91.68237113 151.69972591 120.31934624
  74.61470348 166.7599182  167.27848762 145.8159516   85.55690569
  81.70373304 194.35995979 102.04467524 184.40127941  97.7628894 ]"|"[146.70628326 113.89783551 109.39091685 152.30527003 132.04794583
 179.12549645  75.86980757 176.14080096 125.54358235 117.92375904
 155.59509563 114.39427019 150.56350295  60.13462893  93.13845718
 142.19384585 177.072225   120.34577939  89.37382435 142.51080977
 119.21726607 112.16045883 160.60913979  96.3318495   57.40356824
 186.99801557 168.69258153 165.99459993 197.24398867 193.0386474
 144.99880301 148.21962937 145.38895711 106.3303791  181.20785789
  84.08515154 131.48866608  68.86025466 120.87808057 123.46660301
 149.6063678  180.59053538  52.17307095 166.90385085 190.1550755
  64.66760716 141.39943619  92.35646426  88.92860805  85.34289316
 159.75704363  87.53840444 160.07845114 102.58938562  98.16620144
 178.95318026  92.19354284 168.57228904 130.265182    56.89349525
  93.29262342 104.92081789 137.72487395  99.23751326  68.52392522
  86.28666203 178.48444293 112.77465609 154.28134096 116.50292859
 142.13413247  78.16545     70.27471323 121.1094652  175.28609358
 143.5582617  167.30368661 177.25928616 187.40660921 173.56275854
 187.24490746 109.3176064   87.34474196 198.58016337 134.17556421
 107.64811694 161.28907864 188.45771803  55.93012112 171.72595338
 193.38400018  55.39995784 157.99325099  98.65964206 169.65308459
 196.21712114  60.36136034 127.43597607  92.43254529 186.27798093]"|[110.96093622 104.31039835 192.12488985  93.05107416]|[14.22523475 15.09372726 16.1348912  14.76211686]
4|"[174.38873499 141.42788267 108.32220889  53.80206506  98.09669305
  63.86280792 152.16393281  59.2641155   62.83482863  97.9281799
  79.60161891 169.89945672 180.05976295 104.92538177  54.96644155
  76.25608824 151.72255987  58.49928558  50.58035926 128.57110678
 129.41931954 104.7723799  100.90637208  85.81719226 162.85758839
  93.34347673 162.98817458  62.31633359 111.87291191 190.4526034
 112.6781795   85.43654746 144.61601218  82.58422437 147.21519488
 146.12645395 164.63245387 183.82710923 198.08678177  91.35895674
 169.08645916 149.02914452 154.8719565  179.60408133 111.75628884
 184.60603515 116.11098891 143.30783056  97.89304568 197.10520487
 169.40339245  54.72914031 124.67244677  96.20969722 193.21220737
  52.74848039 110.88619463  62.1741024  139.70554457 172.40437738
  57.16376551 110.63568933  58.64105248 155.92999398 108.51802561
  55.16872807 193.99632821 105.68862192 198.9649265  193.72896326
 100.06464824  73.8806129  184.69164533 162.57437497  90.40467742
 145.85817984 174.21215193  74.88571316 146.49974046 154.0307345
  90.0438149   81.81392191  79.72619902 112.0296245  125.06198132
 132.98575169  62.87533725  91.68237113 151.69972591 120.31934624
  74.61470348 166.7599182  167.27848762 145.8159516   85.55690569
  81.70373304 193.79292357 102.04467524 184.40127941  97.7628894 ]"|"[146.70628326 113.89783551 109.39091685 152.30527003 132.04794583
 179.12549645  75.86980757 176.14080096 125.54358235 117.92375904
 155.59509563 114.39427019 150.56350295  60.13462893  93.13845718
 142.19384585 177.072225   120.34577939  89.37382435 142.51080977
 119.21726607 112.16045883 160.60913979  96.3318495   57.40356824
 186.99801557 169.59229645 165.99459993 197.24398867 193.0386474
 144.99880301 148.21962937 145.38895711 106.3303791  181.20785789
  84.08515154 131.48866608  68.86025466 120.87808057 123.46660301
 148.60692542 180.59053538  52.17307095 166.90385085 190.1550755
  64.66760716 141.68024045  92.35646426  88.92860805  85.34289316
 160.69525828  87.53840444 160.07845114 102.58938562  98.16620144
 178.95318026  92.19354284 168.57228904 130.265182    56.89349525
  93.29262342 104.92081789 137.72487395  99.2720727   68.52392522
  86.28666203 178.48444293 112.77465609 154.28134096 116.50292859
 142.13413247  78.16545     70.27471323 121.1094652  175.28609358
 143.5582617  167.30368661 177.25928616 187.40660921 173.56275854
 187.24490746 109.3176064   87.34474196 198.13980808 134.17556421
 107.64811694 161.28907864 188.45771803  55.93012112 171.72595338
 193.38400018  55.39995784 157.99325099  98.65964206 169.65308459
 196.21712114  61.18505321 127.43597607  92.43254529 186.27798093]"|[109.59543133 102.8815205  193.13558136  91.65008018]|[14.84603777 15.5501351  17.2432696  15.2980421 ]
5|"[174.38873499 141.42788267 108.32220889  53.80206506  98.89812345
  63.86280792 152.16393281  59.2641155   62.83482863  97.9281799
  79.60161891 169.89945672 180.05976295 105.28598789  54.96644155
  76.25608824 151.72255987  58.49928558  50.58035926 128.57110678
 129.41931954 104.7723799  100.90637208  85.81719226 162.85758839
  93.34347673 162.98817458  62.31633359 111.87291191 190.4526034
 112.6781795   85.43654746 144.61601218  82.58422437 147.21519488
 146.12645395 164.63245387 183.82710923 198.08678177  91.35895674
 169.08645916 149.02914452 154.8719565  179.60408133 111.75628884
 184.60603515 116.11098891 143.30783056  97.89304568 197.10520487
 169.40339245  54.72914031 124.67244677  96.20969722 194.1672512
  52.74848039 110.88619463  62.32332459 139.70554457 172.34975425
  57.16376551 110.63568933  58.64105248 155.92999398 108.51802561
  55.16872807 193.99632821 105.68862192 198.9649265  193.72896326
 100.06464824  73.8806129  184.54209466 162.57437497  90.40467742
 145.85817984 174.21215193  74.88571316 146.49974046 154.0307345
  90.0438149   81.81392191  79.72619902 111.03005467 125.06198132
 132.98575169  62.87533725  91.68237113 152.55633533 120.31934624
  74.61470348 166.7599182  167.27848762 145.8159516   85.55690569
  81.70373304 193.29197607 102.04467524 184.40127941  97.7628894 ]"|"[146.70628326 113.89783551 109.39091685 152.30527003 131.44985778
 179.12549645  75.86980757 176.14080096 125.54358235 117.92375904
 155.59509563 114.39427019 150.56350295  61.06734712  93.13845718
 142.19384585 177.072225   120.34577939  89.37382435 142.51080977
 119.21726607 112.16045883 160.60913979  96.3318495   57.40356824
 186.99801557 169.59229645 165.99459993 197.24398867 193.0386474
 144.99880301 148.21962937 145.38895711 106.3303791  181.20785789
  84.08515154 131.48866608  68.86025466 120.87808057 123.46660301
 148.60692542 180.59053538  52.17307095 166.90385085 190.1550755
  64.66760716 141.68024045  92.35646426  88.92860805  85.34289316
 160.69525828  87.53840444 160.07845114 102.58938562  97.8697368
 178.95318026  92.19354284 167.58348535 130.265182    57.89200229
  93.29262342 104.92081789 137.72487395  99.2720727   68.52392522
  86.28666203 178.48444293 112.77465609 154.28134096 116.50292859
 142.13413247  78.16545     69.28595917 121.1094652  175.28609358
 143.5582617  167.30368661 177.25928616 187.40660921 173.56275854
 187.24490746 109.3176064   87.34474196 198.16913642 134.17556421
 107.64811694 161.28907864 188.45771803  55.4141557  171.72595338
 193.38400018  55.39995784 157.99325099  98.65964206 169.65308459
 196.21712114  62.05053087 127.43597607  92.43254529 186.27798093]"|[108.29456918 101.4564893  194.13460569  90.23838929]|[15.59286952 16.018415   18.3621755  15.80512083]
6|"[174.38873499 141.42788267 108.32220889  53.80206506  98.89812345
  63.86280792 152.16393281  59.2641155   62.83482863  97.9281799
  79.60161891 169.89945672 180.05976295 105.28598789  54.96644155
  76.25608824 151.97898028  58.49928558  50.58035926 128.57110678
 129.04915627 104.7723799  100.90637208  85.81719226 162.85758839
  93.34347673 162.98817458  62.31633359 111.87291191 190.4526034
 112.6781795   85.43654746 144.61601218  82.58422437 147.21519488
 146.12645395 164.63245387 183.82710923 198.08678177  91.35895674
 169.08645916 149.02914452 154.8719565  179.60408133 111.75628884
 184.60603515 116.11098891 143.30783056  97.89304568 197.10520487
 169.40339245  54.72914031 124.67244677  96.20969722 194.1672512
  52.74848039 110.88619463  62.32332459 139.70554457 172.34975425
  57.16376551 109.86703247  58.64105248 155.92999398 108.51802561
  55.16872807 193.99632821 105.68862192 198.9649265  193.72896326
  99.0681051   73.8806129  184.54209466 162.57437497  90.40467742
 145.85817984 173.28476526  74.88571316 146.49974046 154.0307345
  90.0438149   81.81392191  79.72619902 111.03005467 125.06198132
 132.98575169  62.87533725  91.68237113 152.55633533 120.31934624
  74.61470348 166.7599182  167.27848762 145.8159516   85.55690569
  81.70373304 192.7734196  102.04467524 184.40127941  97.7628894 ]"|"[146.70628326 113.89783551 109.39091685 152.30527003 131.44985778
 179.12549645  75.86980757 176.14080096 125.54358235 117.92375904
 155.59509563 114.39427019 150.56350295  61.06734712  93.13845718
 142.19384585 176.10565965 120.34577939  89.37382435 142.51080977
 118.28829936 112.16045883 160.60913979  96.3318495   57.40356824
 186.99801557 169.59229645 165.99459993 197.24398867 193.0386474
 144.99880301 148.21962937 145.38895711 106.3303791  181.20785789
  84.08515154 131.48866608  68.86025466 120.87808057 123.46660301
 148.60692542 180.59053538  52.17307095 166.90385085 190.1550755
  64.66760716 141.68024045  92.35646426  88.92860805  85.34289316
 160.69525828  87.53840444 160.07845114 102.58938562  97.8697368
 178.95318026  92.19354284 167.58348535 130.265182    57.89200229
  93.29262342 105.56047924 137.72487395  99.2720727   68.52392522
  86.28666203 178.48444293 112.77465609 154.28134096 116.50292859
 142.21720938  78.16545     69.28595917 121.1094652  175.28609358
 143.5582617  167.67779083 177.25928616 187.40660921 173.56275854
 187.24490746 109.3176064   87.34474196 198.16913642 134.17556421
 107.64811694 161.28907864 188.45771803  55.4141557  171.72595338
 193.38400018  55.39995784 157.99325099  98.65964206 169.65308459
 196.21712114  62.90557426 127.43597607  92.43254529 186.27798093]"|[107.06088615 100.03316838 195.11858924  88.83327103]|[16.44611403 16.49186782 19.49433112 16.33013766]
7|"[174.56241118 141.42788267 108.32220889  53.80206506  98.89812345
  63.86280792 152.16393281  59.2641155   62.83482863  97.9281799
  79.60161891 169.02213077 180.05976295 105.48341163  54.96644155
  76.25608824 151.97898028  58.49928558  50.58035926 128.57110678
 129.04915627 104.7723799  100.20351286  85.81719226 162.85758839
  93.44521907 162.98817458  62.31633359 111.87291191 190.4526034
 112.6781795   85.43654746 144.61601218  82.58422437 147.10942792
 146.12645395 164.63245387 183.82710923 198.08678177  91.35895674
 169.08645916 149.02914452 154.8719565  179.60408133 111.75628884
 184.60603515 116.11098891 143.30783056  97.89304568 197.10520487
 169.40339245  54.72914031 124.67244677  96.20969722 194.1672512
  52.74848039 110.88619463  62.32332459 139.04684575 171.75999298
  57.16376551 109.86703247  58.64105248 155.92999398 108.51802561
  55.16872807 193.99632821 105.68862192 198.9649265  193.72896326
  99.0681051   73.8806129  184.54209466 162.57437497  89.65183176
 145.85817984 173.28476526  74.88571316 146.49974046 154.0307345
  90.0438149   81.81392191  79.72619902 111.03005467 125.06198132
 132.98575169  62.87533725  91.68237113 152.55633533 120.31934624
  74.61470348 166.7599182  167.27848762 145.8159516   85.55690569
  81.70373304 192.2941738  102.04467524 184.40127941  97.7628894 ]"|"[145.72148045 113.89783551 109.39091685 152.30527003 131.44985778
 179.12549645  75.86980757 176.14080096 125.54358235 117.92375904
 155.59509563 114.87416517 150.56350295  62.04766537  93.13845718
 142.19384585 176.10565965 120.34577939  89.37382435 142.51080977
 118.28829936 112.16045883 159.89781081  96.3318495   57.40356824
 187.99282635 169.59229645 165.99459993 197.24398867 193.0386474
 144.99880301 148.21962937 145.38895711 106.3303791  180.21346694
  84.08515154 131.48866608  68.86025466 120.87808057 123.46660301
 148.60692542 180.59053538  52.17307095 166.90385085 190.1550755
  64.66760716 141.68024045  92.35646426  88.92860805  85.34289316
 160.69525828  87.53840444 160.07845114 102.58938562  97.8697368
 178.95318026  92.19354284 167.58348535 129.51277529  58.69957993
  93.29262342 105.56047924 137.72487395  99.2720727   68.52392522
  86.28666203 178.48444293 112.77465609 154.28134096 116.50292859
 142.21720938  78.16545     69.28595917 121.1094652  175.94429067
 143.5582617  167.67779083 177.25928616 187.40660921 173.56275854
 187.24490746 109.3176064   87.34474196 198.16913642 134.17556421
 107.64811694 161.28907864 188.45771803  55.4141557  171.72595338
 193.38400018  55.39995784 157.99325099  98.65964206 169.65308459
 196.21712114  63.78325499 127.43597607  92.43254529 186.27798093]"|[105.88176834  98.61063634 196.08745835  87.43481679]|[17.37330397 16.96768562 20.639448   16.87265563]
8|"[174.56241118 141.42788267 108.32220889  53.80206506  98.89812345
  63.86280792 152.16393281  59.27540681  62.83482863  97.25043737
  79.60161891 169.02213077 180.05976295 105.75161671  54.96644155
  76.25608824 151.97898028  58.49928558  50.58035926 128.57110678
 129.04915627 104.7723799  100.20351286  85.81719226 162.85758839
  93.44521907 162.98817458  62.31633359 111.87291191 190.4526034
 112.6781795   85.43654746 144.61601218  81.8845222  147.10942792
 146.12645395 164.63245387 183.82710923 198.08678177  91.35895674
 169.08645916 149.02914452 154.8719565  179.60408133 111.75628884
 184.60603515 116.11098891 142.48264169  97.89304568 197.10520487
 169.40339245  54.72914031 124.67244677  96.20969722 194.1672512
  52.74848039 110.88619463  62.32332459 139.04684575 171.75999298
  57.16376551 109.86703247  58.64105248 155.92999398 108.51802561
  55.16872807 193.99632821 105.68862192 199.73763067 193.72896326
  99.0681051   73.8806129  184.54209466 162.57437497  89.65183176
 145.85817984 173.28476526  74.88571316 146.49974046 154.0307345
  90.0438149   81.81392191  79.72619902 111.03005467 125.06198132
 132.98575169  62.87533725  91.68237113 152.55633533 120.31934624
  74.61470348 166.7599182  167.27848762 145.8159516   85.55690569
  81.70373304 191.695486   102.04467524 184.40127941  97.7628894 ]"|"[145.72148045 113.89783551 109.39091685 152.30527003 131.44985778
 179.12549645  75.86980757 177.14073721 125.54358235 117.18845973
 155.59509563 114.87416517 150.56350295  63.01102721  93.13845718
 142.19384585 176.10565965 120.34577939  89.37382435 142.51080977
 118.28829936 112.16045883 159.89781081  96.3318495   57.40356824
 187.99282635 169.59229645 165.99459993 197.24398867 193.0386474
 144.99880301 148.21962937 145.38895711 107.04481376 180.21346694
  84.08515154 131.48866608  68.86025466 120.87808057 123.46660301
 148.60692542 180.59053538  52.17307095 166.90385085 190.1550755
  64.66760716 141.68024045  91.79160735  88.92860805  85.34289316
 160.69525828  87.53840444 160.07845114 102.58938562  97.8697368
 178.95318026  92.19354284 167.58348535 129.51277529  58.69957993
  93.29262342 105.56047924 137.72487395  99.2720727   68.52392522
  86.28666203 178.48444293 112.77465609 154.91610727 116.50292859
 142.21720938  78.16545     69.28595917 121.1094652  175.94429067
 143.5582617  167.67779083 177.25928616 187.40660921 173.56275854
 187.24490746 109.3176064   87.34474196 198.16913642 134.17556421
 107.64811694 161.28907864 188.45771803  55.4141557  171.72595338
 193.38400018  55.39995784 157.99325099  98.65964206 169.65308459
 196.21712114  64.58423746 127.43597607  92.43254529 186.27798093]"|[104.73759669  97.18976571 197.0411309   86.04323129]|[18.34328914 17.44844197 21.79725137 17.43255721]
9|"[174.56241118 141.42788267 108.32220889  53.80206506  98.89812345
  63.86280792 152.16393281  59.27540681  62.83482863  97.25043737
  79.60161891 169.02213077 180.05976295 106.11459893  54.96644155
  76.25608824 151.97898028  58.49928558  50.58035926 128.57110678
 129.04915627 104.7723799  100.20351286  85.81719226 162.85758839
  93.44521907 162.98817458  62.31633359 111.87291191 190.4526034
 112.6781795   85.43654746 144.61601218  81.8845222  147.10942792
 146.12645395 164.63245387 183.82710923 198.08678177  91.35895674
 169.08645916 149.02914452 154.19905197 178.9349197  111.75628884
 183.82192633 116.11098891 142.48264169  97.89304568 197.10520487
 169.40339245  54.72914031 124.67244677  96.20969722 194.1672512
  52.74848039 110.88619463  62.32332459 139.04684575 171.23637444
  57.16376551 109.86703247  58.64105248 155.92999398 108.51802561
  55.16872807 193.99632821 105.68862192 199.73763067 193.72896326
  99.0681051   73.8806129  184.54209466 162.57437497  89.65183176
 145.85817984 173.28476526  74.88571316 146.49974046 154.0307345
  90.0438149   81.81392191  79.72619902 111.03005467 125.06198132
 132.98575169  62.87533725  91.68237113 152.55633533 120.31934624
  74.61470348 166.73896175 167.27848762 145.8159516   85.55690569
  81.70373304 191.01682339 102.04467524 184.40127941  97.7628894 ]"|"[145.72148045 113.89783551 109.39091685 152.30527003 131.44985778
 179.12549645  75.86980757 177.14073721 125.54358235 117.18845973
 155.59509563 114.87416517 150.56350295  63.94282327  93.13845718
 142.19384585 176.10565965 120.34577939  89.37382435 142.51080977
 118.28829936 112.16045883 159.89781081  96.3318495   57.40356824
 187.99282635 169.59229645 165.99459993 197.24398867 193.0386474
 144.99880301 148.21962937 145.38895711 107.04481376 180.21346694
  84.08515154 131.48866608  68.86025466 120.87808057 123.46660301
 148.60692542 180.59053538  52.91280028 167.64696774 190.1550755
  65.28823052 141.68024045  91.79160735  88.92860805  85.34289316
 160.69525828  87.53840444 160.07845114 102.58938562  97.8697368
 178.95318026  92.19354284 167.58348535 129.51277529  59.55153276
  93.29262342 105.56047924 137.72487395  99.2720727   68.52392522
  86.28666203 178.48444293 112.77465609 154.91610727 116.50292859
 142.21720938  78.16545     69.28595917 121.1094652  175.94429067
 143.5582617  167.67779083 177.25928616 187.40660921 173.56275854
 187.24490746 109.3176064   87.34474196 198.16913642 134.17556421
 107.64811694 161.28907864 188.45771803  55.4141557  171.72595338
 193.38400018  54.40017745 157.99325099  98.65964206 169.65308459
 196.21712114  65.31868764 127.43597607  92.43254529 186.27798093]"|[103.61203223  95.77269698 198.01177074  84.65877379]|[19.33480547 17.94029174 22.9408677  18.00985907]
